x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.5767454455370837e-6;3.594622288362467e-6;3.572599375427721e-6;3.7626968797648553e-6;3.5625707922458334e-6;3.5598774452014924e-6;3.567114424588177e-6;3.5645264175101675e-6
6.759407286956452e-6;6.828558326871044e-6;6.743386016673369e-6;6.857852667688508e-6;6.737960114265032e-6;6.732606768148511e-6;6.740527947833849e-6;6.733298576901692e-6
8.428130562673528e-6;8.639003051762778e-6;8.379227677222672e-6;8.3981861844236e-6;8.395227876323571e-6;8.384604977028805e-6;8.386593100568128e-6;8.36705430993708e-6
9.407074873385696e-6;9.853536883179128e-6;9.299870773990045e-6;9.282456041848082e-6;9.372319867013692e-6;9.354708638772676e-6;9.338059971637464e-6;9.297469904411182e-6
9.87647966782286e-6;1.0743467782922632e-5;9.633652525307094e-6;9.602188600057745e-6;9.851501865694418e-6;9.818930920946252e-6;9.757987931928718e-6;9.669436210885748e-6
1.0267711449747473e-5;1.0261242390600325e-5;9.727724574939975e-6;9.68249715565358e-6;1.0216234898132444e-5;1.0155601481344877e-5;1.0043024471615405e-5;9.852138951748934e-6
1.0837604000759662e-5;9.981199709542708e-6;9.748457765562893e-6;9.674867889596923e-6;9.98177927251394e-6;9.940593930220636e-6;1.0408425727135639e-5;1.005865538740868e-5
1.0273270803513396e-5;9.844545269105832e-6;9.746897295137212e-6;9.60853027159905e-6;9.842035070374053e-6;9.796592069532862e-6;1.0049756886657688e-5;1.0393295527259775e-5
9.976454525927495e-6;9.78057684909522e-6;9.734477386785439e-6;9.447849318164401e-6;9.767790053357113e-6;9.684631216137707e-6;9.82361354195234e-6;1.0063377648498048e-5
9.837596944459074e-6;9.750230471273185e-6;9.70748235842909e-6;9.093687489230049e-6;9.711365589498842e-6;9.53296467196885e-6;9.651212968051182e-6;9.883690757209907e-6
9.77464169768447e-6;9.73551275982181e-6;9.650871662688415e-6;8.463344524274108e-6;9.632349856094175e-6;9.291628542968412e-6;9.420725805651779e-6;9.801781147876314e-6
9.745594584293067e-6;9.727987736745453e-6;9.550339367964369e-6;9.09468655728593e-6;9.477907030368671e-6;9.555244209818831e-6;9.056725906263004e-6;9.765626075181141e-6
9.731054546036267e-6;9.72376385118298e-6;9.664408760173922e-6;9.491017199467553e-6;9.203401439373979e-6;9.747676804961467e-6;9.449953950879536e-6;9.74945463530957e-6
9.721761292934914e-6;9.720572205871397e-6;9.746465203888377e-6;9.722798107658003e-6;9.474800939224113e-6;9.935940474078852e-6;9.736943543023538e-6;9.741560670977475e-6
9.711691328577376e-6;9.716702583604522e-6;9.826931084563796e-6;9.937492511782092e-6;9.627829263060192e-6;1.0196132412642886e-5;1.0013826203363329e-5;9.736112920321142e-6
9.694228208810822e-6;9.710041505348122e-6;9.938419870187982e-6;1.0276504872810116e-5;9.695978927610522e-6;9.965813246900918e-6;1.0393041716361834e-5;9.72905693961696e-6
9.657403533023204e-6;9.696309182782155e-6;9.83398239941447e-6;1.0855556612690962e-5;9.723313905015745e-6;9.83360309370409e-6;1.0049838393866157e-5;9.716370722061876e-6
9.574958233979757e-6;9.665204110114308e-6;9.766697020678283e-6;1.0229692017707994e-5;9.727886608529395e-6;9.761139915258805e-6;9.844470311231675e-6;9.687250704911016e-6
9.3850029652453e-6;9.593614159818882e-6;9.712904808439579e-6;9.84876495056638e-6;9.711738643705065e-6;9.698659989914112e-6;9.707569615688703e-6;9.618676551289302e-6
8.958146632341102e-6;9.427447943517778e-6;9.633946015954343e-6;9.538136211496437e-6;9.660567598229569e-6;9.597392638615307e-6;9.543049764982787e-6;9.457631036571398e-6
8.159290310515247e-6;9.03834638998189e-6;9.472396692014966e-6;9.08148278708653e-6;9.534848881263475e-6;9.378560054535731e-6;9.226800812595111e-6;9.089322354183433e-6
8.337223393133507e-6;8.119021929745036e-6;9.118996513038597e-6;8.119822648720667e-6;9.247713566271473e-6;8.880098777260996e-6;8.535199712007694e-6;8.357888981756408e-6
7.867137551215024e-6;6.174080090562374e-6;8.388102854254542e-6;6.134118585806706e-6;8.659918112914883e-6;7.835637393893385e-6;7.209335888554639e-6;7.954598185683232e-6
