x1;x2;x3;x4;x5;x6;x7;x8
4.193890173197925e-6;4.201161229454681e-6;4.2533457919102e-6;4.131106376403326e-6;4.1744182423171225e-6;4.147896065596079e-6;4.1874540389496955e-6;4.179391816001e-6
3.3664756267412523e-6;3.372802820125538e-6;3.4258074107385423e-6;3.299487456367928e-6;3.36829504310931e-6;3.3548603847920848e-6;3.36356095007519e-6;3.36873681561759e-6
2.7382339140510353e-6;2.7416877755819736e-6;2.7207890452135686e-6;2.6704955776729207e-6;2.765421430758153e-6;2.7489124536921236e-6;2.73912492410687e-6;2.753013828554796e-6
2.9247370662005996e-6;2.9243480273787495e-6;2.9233185410027184e-6;2.8369769015773996e-6;3.011359949871665e-6;2.9322582209362953e-6;2.9246044761606953e-6;2.9410480555657594e-6
2.9590509210865993e-6;2.958444684247661e-6;2.937897372036841e-6;2.868253129430639e-6;3.1599979229156753e-6;2.9765543208504943e-6;2.9601895767970766e-6;2.992834025078429e-6
2.9513790833928355e-6;2.9505966999957497e-6;2.92278260136468e-6;2.856161537102781e-6;2.693464825761227e-6;2.972054895311278e-6;2.9530634009958955e-6;3.006289589645849e-6
2.94185311151286e-6;2.940797575034912e-6;2.9090710655819627e-6;2.8246575415568004e-6;2.799130391278119e-6;2.9647396946528447e-6;2.9438388706336237e-6;2.9160897124228175e-6
2.936744857308276e-6;2.9339710803516876e-6;2.8994741056230223e-6;2.7442606894808044e-6;2.7604280838439063e-6;2.961062111735775e-6;2.938575176112251e-6;2.9358361166835764e-6
2.934145803509448e-6;2.925733964710471e-6;2.8927602307616393e-6;2.619501906285585e-6;2.651478534373624e-6;2.9597558720677923e-6;2.935974661200355e-6;2.939971844036808e-6
2.932435375094432e-6;2.9077201251592737e-6;2.887916768204072e-6;3.1348774100991857e-6;3.119577690595568e-6;2.9590784714597908e-6;2.9347166160222234e-6;2.9402369576403505e-6
2.9308813463777865e-6;2.880028522570687e-6;2.884416927243618e-6;2.976769630459293e-6;2.975801390988765e-6;2.958699830824556e-6;2.9338937440279793e-6;2.939467543369199e-6
2.9304974208335233e-6;2.991191931299432e-6;2.8814574979480685e-6;2.9373645108468917e-6;2.9404860570290424e-6;2.959331914260867e-6;2.93331625682947e-6;2.9390823291323067e-6
2.9307972630707716e-6;2.9621055314897594e-6;2.8811754263152547e-6;2.9317757604067945e-6;2.9394154018535865e-6;2.9618780309979832e-6;2.9335100700502183e-6;2.939323597117391e-6
2.9308642641273655e-6;2.969088039617678e-6;2.891782661264124e-6;2.9323582366529944e-6;2.9593533928031057e-6;2.9708102495510528e-6;2.9376733652851745e-6;2.939265271393165e-6
2.9306907783195037e-6;2.9947518297926824e-6;2.9406410863195335e-6;2.937235330311222e-6;3.0242757196281335e-6;2.9883809337055613e-6;2.959327540559721e-6;2.939470135767683e-6
2.9305565562798854e-6;2.889482564796855e-6;3.099226431545902e-6;2.958828068877492e-6;3.136145205207819e-6;2.940664667735415e-6;3.0301551152305684e-6;2.9395353327140876e-6
2.9308899814995798e-6;2.9473849059593674e-6;3.38801339806763e-6;3.02971308477478e-6;2.6795661817807575e-6;3.005258378397112e-6;3.1505188949379677e-6;2.9393284810417975e-6
2.931439350419119e-6;3.0370360517950687e-6;2.2308279752765175e-6;3.1531754608090487e-6;2.8142548536842967e-6;3.086561024217689e-6;2.6218660838925065e-6;2.9395776377528965e-6
2.930305689733864e-6;3.1803240784178885e-6;2.5547761780715076e-6;2.6523849593498902e-6;2.849279362023122e-6;2.7480758526143437e-6;2.6942844529311515e-6;2.938305616151003e-6
2.9241450429937516e-6;2.6005726996701554e-6;2.6438482036659577e-6;2.794807906421154e-6;2.85015498024238e-6;2.792224017255588e-6;2.603457588473461e-6;2.9300187168948116e-6
2.894325977069653e-6;2.7231072138517014e-6;2.6013066917857054e-6;2.788815357212448e-6;2.8082636649599515e-6;2.7138932711882914e-6;3.1028150084800347e-6;2.895084923654679e-6
2.792022847239381e-6;2.547788816194414e-6;2.234529442531483e-6;2.5956706432399165e-6;2.620704961475078e-6;2.9575307238074547e-6;2.8443186291106756e-6;2.7983208487209214e-6
2.5971833737052054e-6;2.0230405594812784e-6;1.3464541464558914e-6;2.1162586562976227e-6;2.172030436824146e-6;2.679728177759964e-6;2.604716279951625e-6;2.7287383301509393e-6
3.0306580510655405e-6;1.8606950742336305e-6;9.072496869792849e-7;1.995557964302307e-6;2.081349592010636e-6;2.9109535070302113e-6;2.860989583699778e-6;3.025486643395532e-6
