x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0181345988978695e-6;1.8139945947224168e-6;2.0168510295751255e-6;1.4850783540665315e-6;1.9699133556116144e-6;1.919471670186306e-6;1.9806482409414244e-6;1.916895623728354e-6
2.3879321252614583e-6;2.3079568889191913e-6;2.375972321049844e-6;1.91273739571341e-6;2.336883631147221e-6;2.3289993969261534e-6;2.4081409528255414e-6;2.3005330413338578e-6
2.4903742591465124e-6;2.4818205645515825e-6;2.4652249190343324e-6;2.1106523754173193e-6;2.3834679460118984e-6;2.4537166455481735e-6;2.4724023275272207e-6;2.4341864327297822e-6
2.406949781937435e-6;2.4767174613511422e-6;2.4180852303612475e-6;2.9226738260954273e-6;2.609582388293335e-6;2.440441408384188e-6;2.501940054353459e-6;2.421353206923353e-6
2.2733625755166287e-6;2.4263064695190677e-6;2.7335370528515878e-6;2.9813212930277727e-6;2.580030903419256e-6;2.4223027262660764e-6;2.484107390274409e-6;2.3986029287084984e-6
2.6103577789411107e-6;2.3609272787554223e-6;2.396804944441232e-6;2.106651948601234e-6;2.5775582849287924e-6;2.42571440179779e-6;2.4672338812787224e-6;2.384838643523806e-6
2.5208075551632174e-6;2.5393878009921187e-6;2.3736388351917517e-6;2.159211628790643e-6;2.312279467459904e-6;2.471356867818899e-6;2.4601775751247e-6;2.377424675907736e-6
2.44082489671981e-6;2.497191418767611e-6;2.4187132858271463e-6;2.340638631089064e-6;2.354097364676459e-6;2.5459004834661347e-6;2.4577606698622456e-6;2.3734408726498852e-6
2.4706388627290517e-6;2.455426912474207e-6;2.4375013482870194e-6;2.4074536339588376e-6;2.4233073578908674e-6;2.2877711469565396e-6;2.4569649608177645e-6;2.3712661985507845e-6
2.5512924867737884e-6;2.472658634344246e-6;2.441312433438736e-6;2.4193691809386744e-6;2.4483439322654534e-6;2.3256290579492678e-6;2.4564775223874165e-6;2.369994253897143e-6
2.120422049493685e-6;2.52517829717517e-6;2.441118564392424e-6;2.4114231026095847e-6;2.453703874727771e-6;2.3549718293624883e-6;2.4540926726819e-6;2.369205698176501e-6
2.094141512644273e-6;2.339000462576752e-6;2.44013405834748e-6;2.37381003488854e-6;2.453873308397462e-6;2.3054181861154714e-6;2.442411627551037e-6;2.3686756980542817e-6
2.5462782660225508e-6;2.3781431544597163e-6;2.435913794664122e-6;2.2588765932170947e-6;2.4510464256306915e-6;2.558704365406023e-6;2.4044458198881586e-6;2.368377179815692e-6
2.500277136529706e-6;2.4336605293844953e-6;2.418209720082246e-6;2.066878433479e-6;2.4378099027462766e-6;2.5006382394318358e-6;2.3428524995420687e-6;2.3683274525011076e-6
2.410408060201538e-6;2.453403373723632e-6;2.3691799899984924e-6;2.684524685075401e-6;2.3930307633110903e-6;2.429196781237789e-6;2.5419270908461567e-6;2.3685505214424363e-6
2.3735831961870563e-6;2.4573194080742232e-6;2.3282243188368926e-6;2.5202469563272437e-6;2.3228723158994646e-6;2.4041003934115183e-6;2.4945933761081503e-6;2.3663970683528005e-6
2.365389518847345e-6;2.457787866593886e-6;2.820906820779938e-6;2.351859246181111e-6;2.5547621087186417e-6;2.397417429286679e-6;2.4373599654501574e-6;2.3667226867143766e-6
2.368664298847451e-6;2.461584319402744e-6;2.356030890900414e-6;2.294497162881434e-6;2.519114516530989e-6;2.4008559124195993e-6;2.421201079896135e-6;2.371083533414902e-6
2.411029458016409e-6;2.4831429609940173e-6;2.358961929485824e-6;2.335295646357497e-6;2.5277120253244185e-6;2.4368525045560216e-6;2.448937592033161e-6;2.4129749352636935e-6
2.6093907975539074e-6;2.563191797522678e-6;2.525501931286845e-6;2.641615860574506e-6;2.6707840953873307e-6;2.5954175195624636e-6;2.5878740916776246e-6;2.608751564886268e-6
3.1054121003606728e-6;2.7239835928532166e-6;2.756692126871892e-6;3.468415477824508e-6;2.6053971538227437e-6;2.9759068372101763e-6;2.9156006869771205e-6;3.0976626015634224e-6
3.106192096965466e-6;2.4482602825126286e-6;2.487190853648243e-6;3.669099114296478e-6;2.3767424503008276e-6;2.900527388004232e-6;2.80331234329151e-6;3.0937709526776658e-6
