x1;x2;x3;x4;x5;x6;x7;x8
4.021581383913491e-6;3.886522463575927e-6;4.021305797639328e-6;3.6957712255649925e-6;4.011832769828258e-6;3.985977407400203e-6;3.9899756990672815e-6;3.991119521540741e-6
3.5969232099306474e-6;3.360970989562909e-6;3.596710552458306e-6;3.004052775138404e-6;3.5950853529922486e-6;3.534775924226225e-6;3.549892552773401e-6;3.5426885667222517e-6
3.2891777079032348e-6;3.292178753098459e-6;3.285016404480108e-6;3.5454089866996367e-6;3.314549622905559e-6;3.2237884652111254e-6;3.2415692639336484e-6;3.21555121013842e-6
3.12202656950989e-6;3.1188740365219995e-6;3.1158954509119202e-6;3.3926531844270407e-6;3.163081278317606e-6;3.042787923395161e-6;3.070411462190292e-6;3.034429871527192e-6
2.9695111163317144e-6;2.934803557688365e-6;2.956205306755903e-6;3.264487202301674e-6;3.0320934218087847e-6;2.8542143414561077e-6;2.95452732975256e-6;2.8436366973625265e-6
2.9718222322910607e-6;2.896221180514833e-6;2.9168484822200482e-6;2.1799238763260944e-6;2.6468519534347677e-6;2.7971004086895865e-6;2.8465903367776496e-6;2.7827350978226526e-6
3.0376424824266654e-6;2.9055048786405853e-6;2.4902620109831784e-6;2.1430156955804585e-6;2.650714311608196e-6;2.7663177555513704e-6;2.834151323854919e-6;2.7587062122911024e-6
2.5404397664319477e-6;2.9392708382224163e-6;2.8881370642749e-6;3.0862155173690227e-6;2.6092941218401905e-6;2.733438870569626e-6;2.826851179340069e-6;2.745601025084023e-6
2.62337392424487e-6;2.68042500330299e-6;2.842465485812059e-6;2.928041511102087e-6;2.9345183522695755e-6;2.6830810430278616e-6;2.8225982012470863e-6;2.737651560258537e-6
2.6420139216301437e-6;2.7222887017531277e-6;2.8196625064133847e-6;2.851406144639394e-6;2.8712549558795363e-6;2.6186522997603504e-6;2.821193342532643e-6;2.732881616907669e-6
2.6122901188166964e-6;2.7292642464929757e-6;2.808814496142307e-6;2.8186352864136412e-6;2.841410888788088e-6;2.9705717635614326e-6;2.821445166759591e-6;2.7300990439971034e-6
2.5591613781102844e-6;2.7070420156448616e-6;2.8042138665882977e-6;2.8120862776988024e-6;2.8281370234176946e-6;2.919432105882421e-6;2.8249657086003064e-6;2.7285187681799756e-6
3.114306003393088e-6;2.664136182011992e-6;2.8033420044772516e-6;2.8280839819887656e-6;2.8233608759240117e-6;2.9279503726873246e-6;2.8330277611664916e-6;2.7274858171664863e-6
3.1047427258786425e-6;2.9173356201732873e-6;2.805530399217996e-6;2.875900076036294e-6;2.824209324663256e-6;2.9757225660827374e-6;2.8498824663234706e-6;2.7266167485110324e-6
2.573739061328735e-6;2.865535332804155e-6;2.81247000025819e-6;2.9786134883296927e-6;2.8312719469412624e-6;2.6287345116624016e-6;2.8847062898331085e-6;2.7253905782702057e-6
2.650820893895799e-6;2.8401913537212043e-6;2.828473929459515e-6;3.1409356999824696e-6;2.848615628102757e-6;2.6954647658903365e-6;2.9356848034914305e-6;2.723253875490632e-6
2.683912377347845e-6;2.826999815669138e-6;2.8602481047839e-6;2.282989394867548e-6;2.8847992007789514e-6;2.7241931274186217e-6;2.6605453616363207e-6;2.7191442118170754e-6
2.6927884595099965e-6;2.818233758357542e-6;2.886834066703934e-6;2.4496847669003863e-6;2.936275373885606e-6;2.7319030818469035e-6;2.712319127644375e-6;2.7107435967684705e-6
2.6819085069537725e-6;2.8081745035637665e-6;2.276315120229034e-6;2.505600495842664e-6;2.6030399673862446e-6;2.7245310483610706e-6;2.7262284647986286e-6;2.6918973771847295e-6
2.645022010997713e-6;2.7906360280903478e-6;2.8680223462175344e-6;2.4862109957712224e-6;2.6292648442061516e-6;2.695301693407444e-6;2.710213140862481e-6;2.6515967967222184e-6
2.558623956620766e-6;2.7555652363743848e-6;2.768766063049554e-6;2.3745215994981964e-6;2.5734754994735526e-6;2.625638231255714e-6;2.6539083250003004e-6;2.5641647314854354e-6
2.3690317415237386e-6;2.6838444535397593e-6;2.6548579592171977e-6;2.0931858893178013e-6;2.438568836501313e-6;2.474427620429312e-6;2.5235131285436675e-6;2.3759658165004634e-6
2.012284491754542e-6;2.5404447735960486e-6;2.472427714131051e-6;1.5834955790178338e-6;2.5866933953740557e-6;2.184122058633676e-6;2.2676237673301324e-6;2.0225527138366947e-6
1.966820054433357e-6;2.6640742343040505e-6;2.6223899717629063e-6;1.4378258456268949e-6;2.652396780593759e-6;2.1782417663935326e-6;2.276164343885923e-6;1.979236294267966e-6
