x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.432374680061784e-6;3.060669783942961e-6;3.4492574160056263e-6;1.3220329447327941e-6;3.4499854216073056e-6;3.4642413809248088e-6;3.4016984829817813e-6;3.3641338227475347e-6
6.404730713755595e-6;5.853404910618745e-6;6.1802940865021905e-6;4.402068002112275e-6;6.1828460389919085e-6;6.320204521346252e-6;6.0199442206922475e-6;5.968280646259496e-6
6.798457115127349e-6;6.5798872383956025e-6;6.657754368241604e-6;6.204259169628602e-6;6.676235877822752e-6;7.144766848762978e-6;6.6137345123586724e-6;6.486671714454076e-6
6.889828620972935e-6;6.747969081052394e-6;6.7756371766969024e-6;6.71126082228158e-6;6.835454303834194e-6;8.023822699609746e-6;6.830161890643364e-6;6.666994790832952e-6
7.02784938417044e-6;6.758244959392732e-6;6.769745436952474e-6;6.777771322360775e-6;6.970258345841643e-6;7.246089767966409e-6;6.962351651731691e-6;6.693826366445116e-6
7.487590450990838e-6;6.764273558947684e-6;6.750643636432439e-6;6.766066208355683e-6;7.173839372498209e-6;6.829776179402924e-6;6.830341195524735e-6;6.68689705398211e-6
8.509585396061069e-6;6.816398331855072e-6;6.734945562113916e-6;6.748837616400519e-6;6.274492728144565e-6;6.546898544568928e-6;6.761187262398184e-6;6.676319821983313e-6
7.405368864744967e-6;6.987164260130307e-6;6.716675300728129e-6;6.735253017748386e-6;6.494043564523235e-6;6.0704010212745765e-6;6.735732588643997e-6;6.669249921179266e-6
6.846459296774131e-6;7.342329595321041e-6;6.67232418878676e-6;6.723855816597908e-6;6.644790661414277e-6;5.21810132254798e-6;6.7266246667565804e-6;6.665107962781783e-6
6.455068626518333e-6;6.94610107121111e-6;6.554395623387189e-6;6.714707720226611e-6;6.699270087814645e-6;6.042275075174182e-6;6.722769547002047e-6;6.662019292865313e-6
5.782729464629537e-6;5.89819083474089e-6;6.331582065824163e-6;6.714421306183232e-6;6.71411710752142e-6;6.515441051824117e-6;6.721169383788815e-6;6.6589070970992e-6
4.636090991421594e-6;6.325189350472297e-6;6.5962349811842815e-6;6.737575692612506e-6;6.717058146546933e-6;6.7117107899555215e-6;6.72182001454663e-6;6.655993016998946e-6
5.9879713154057715e-6;6.5891491691379835e-6;6.824201615604826e-6;6.827422496729188e-6;6.717252752930792e-6;6.882350615194786e-6;6.729147787556755e-6;6.6532681074544585e-6
7.152590887276834e-6;6.6833036730326465e-6;7.084166561690241e-6;7.10299189543264e-6;6.717719693783188e-6;7.254741461786754e-6;6.759629812951456e-6;6.650964351011716e-6
8.406125562343958e-6;6.709904811987413e-6;6.868007395434891e-6;7.84750793266096e-6;6.722818761453886e-6;8.018248260930782e-6;6.862835310616912e-6;6.64836231295604e-6
7.388883167206685e-6;6.715963589213531e-6;6.7561733252334596e-6;9.455666756815399e-6;6.74660686424391e-6;7.230128608873419e-6;7.160091003400501e-6;6.644852663682697e-6
6.900752357300574e-6;6.716580538170114e-6;6.7176390863752165e-6;7.777122684499836e-6;6.839736518332582e-6;6.86266696641119e-6;7.781588680015176e-6;6.640951052186436e-6
6.72731992206166e-6;6.7165010854985005e-6;6.70452789589474e-6;7.026727552578662e-6;7.079674062396181e-6;6.730808613176083e-6;7.142105540638168e-6;6.649140294116986e-6
6.654275382231353e-6;6.712164536815671e-6;6.695493943276119e-6;6.767737700539512e-6;7.437451237852181e-6;6.685513607565223e-6;6.823898866336056e-6;6.654018807782504e-6
6.551974664303882e-6;6.687868288674798e-6;6.666832061412582e-6;6.704953559721023e-6;5.874235643708333e-6;6.64489879073387e-6;6.65239030984034e-6;6.639147328122824e-6
6.134396411740595e-6;6.591207093749282e-6;6.552273122754701e-6;6.5563343947043564e-6;6.174366911481837e-6;6.456784538581014e-6;6.345844022299065e-6;6.454348518775253e-6
4.582775853417552e-6;6.27508782556897e-6;6.146921309450492e-6;5.031177652386319e-6;6.11914430808839e-6;5.569468284695191e-6;5.383284003241006e-6;5.3458472646125014e-6
1.5885853137980491e-6;5.577098228445181e-6;5.144481451320122e-6;5.290271496924912e-7;5.433547256331403e-6;3.0834719300850445e-6;3.4070465809192787e-6;2.1229208959355654e-6
