x1;x2;x3;x4;x5;x6;x7;x8
1.4810554484075382e-10;4.715630511353474e-11;5.05783605793672e-11;3.508494346391534e-11;8.753751654619428e-11;2.7379332194151535e-11;1.221332386437431e-10;1.1795717208326134e-11
1.4849938551744764e-10;4.8461687516502875e-11;5.443040561909035e-11;3.7608833367537955e-11;7.786927582170992e-11;2.1815386598557592e-11;1.3023797153164708e-10;1.019261869578629e-11
1.313309462632126e-10;4.948787857900972e-11;6.087856344984458e-11;5.396000109773569e-11;7.464245188784893e-11;1.9424328416065835e-11;1.442699399530376e-10;1.0372833162565674e-11
1.3121597210017774e-10;5.328673542987843e-11;5.843388711671217e-11;5.1935663903219915e-11;5.7304621882577277e-11;1.4386771563374492e-11;1.3910858836009712e-10;1.019261869578629e-11
1.2561796883568782e-10;5.570363043126894e-11;6.212719268295985e-11;5.2476828150931e-11;4.92829431080658e-11;1.275641800816229e-11;1.455692684114296e-10;1.2059053373781392e-11
1.2590758780783554e-10;5.942710677266602e-11;6.002163221521103e-11;4.9829105542039026e-11;3.925112864114172e-11;1.5231681310209842e-11;1.3591556994967937e-10;1.648386051168864e-11
1.2567590204900533e-10;5.988960559381512e-11;6.733750369684706e-11;4.228970913814312e-11;3.6962765104970274e-11;2.8662791882619123e-11;1.3574414387625608e-10;1.3361126512871462e-11
1.1204344183274222e-10;6.028553208398101e-11;6.985160786663796e-11;3.932225470291047e-11;2.539543187704644e-11;3.5230010779549643e-11;1.3580129009644762e-10;2.2287929188107054e-11
1.1921585293560542e-10;6.054922808455933e-11;6.513214147593046e-11;3.304259824392006e-11;1.6400916657470863e-11;4.9897301388817135e-11;1.1944970390476563e-10;3.1200086910093543e-11
1.242841972200599e-10;7.324291347317868e-11;6.804826235856388e-11;3.216051944561006e-11;1.3618802963078085e-11;3.825294885653134e-11;1.2399391331746598e-10;3.399352021247513e-11
1.1162949011158237e-10;7.780623429465614e-11;6.933721357913994e-11;2.7909074276137183e-11;1.135449319490369e-11;3.238143515703831e-11;1.3442860390798357e-10;3.428516346555613e-11
1.1640326217765282e-10;7.887672234234303e-11;7.875091625560054e-11;2.3461685216973248e-11;9.465978332383884e-12;2.646695292086539e-11;1.354011773087342e-10;3.20868214156106e-11
1.184552767692171e-10;8.877095815479809e-11;9.104491262692005e-11;1.4216749888896428e-11;9.55733347408509e-12;2.501082121564447e-11;1.1921585293560542e-10;3.3555224359422126e-11
1.2463238020974316e-10;9.147398747143099e-11;1.0472918491266318e-10;1.0011840134075179e-11;1.3533007184903007e-11;2.118249982108012e-11;1.3156084147217263e-10;3.501237012033114e-11
1.1863087061805127e-10;9.88970397111846e-11;9.853432349114709e-11;5.2515802904344235e-12;2.01468400987729e-11;2.1420218304061436e-11;1.3397049276154208e-10;3.0903523904942714e-11
1.1663809934573124e-10;1.1233895632027125e-10;1.0937755877040787e-10;7.69798308656112e-12;3.825294885653134e-11;2.118249982108012e-11;1.2271523352553056e-10;3.7321935786060074e-11
1.203259276195423e-10;1.2712270872887442e-10;1.1593333655851922e-10;7.221180611651029e-12;5.617141549109578e-11;2.493377418805054e-11;1.3836851477270593e-10;2.7530870213962992e-11
1.2137591257229563e-10;1.343713551157308e-10;1.1769383782387137e-10;5.854364126711962e-12;6.493692301960709e-11;2.760658401033566e-11;1.2474840299991167e-10;3.097771156563925e-11
1.224242970444838e-10;1.447786177984085e-10;1.0967432976055627e-10;3.13714652783e-12;7.52770729003558e-11;4.116372388345344e-11;8.72286780823225e-11;3.493977022064216e-11
1.1652069120199385e-10;1.4821808968593819e-10;1.2399391331746598e-10;3.5763462926743706e-12;8.369403907470047e-11;4.410828440425395e-11;7.075019553393525e-11;3.689085722788436e-11
1.1080077224396234e-10;1.4849938551744764e-10;1.3831155714982893e-10;3.684627029318926e-12;9.178025199016876e-11;5.023803473620218e-11;6.297896798875069e-11;4.193841349400354e-11
9.835287703809453e-11;1.4883681645596865e-10;1.4177848326449597e-10;1.046273301438626e-11;9.756592418874453e-11;2.986154755760924e-11;5.916253641354323e-11;4.165700281861881e-11
8.257239392965393e-11;1.4917411258721852e-10;1.227734061800506e-10;2.0625976056985142e-11;8.232277520752593e-11;2.3149717206588478e-11;5.683849072279013e-11;3.5664583027192586e-11
8.852451292784468e-11;1.4900548143309885e-10;1.1886492443678144e-10;2.1973099603931394e-11;7.641702200480414e-11;8.26337205655902e-12;4.955615710457023e-11;3.6170406676587676e-11
