x1;x2;x3;x4;x5;x6;x7;x8
3.710077304112223e-9;5.240558649727533e-10;1.5304813237300222e-9;2.2034167224078278e-10;5.181006812901205e-10;1.1969912344701756e-9;1.357781099065014e-9;4.960665155250615e-9
3.799405008286044e-9;3.2157973648477296e-10;1.9771198445991246e-9;1.3696914445449919e-10;2.977590163444336e-10;1.0064254660523648e-9;1.3280051952420418e-9;5.109544659775283e-9
3.5969288725029675e-9;3.0966937641460327e-10;2.0366716449499733e-9;1.1314842431415985e-10;2.1438648855815003e-10;8.277700577047238e-10;1.065977266403213e-9;5.169096467421228e-9
3.721987664182393e-9;3.1562455280214024e-10;1.8758817803551347e-9;8.337252049118774e-11;1.78655408347641e-10;7.14621633390564e-10;1.065977266403213e-9;5.550228004256849e-9
3.0907385512830167e-9;4.942799611497812e-10;1.786554076181314e-9;1.0123806424399017e-10;1.667450482774713e-10;8.158596976345542e-10;1.3756466428178166e-9;5.687197148711348e-9
3.436139007908129e-9;2.4416239238112217e-10;1.929478404318446e-9;1.1314842431415985e-10;1.1314842431415985e-10;7.324871698482705e-10;1.5304813237300222e-9;5.687197148711348e-9
3.6326599600085725e-9;1.9056576841781067e-10;1.5245261473424853e-9;1.9056576841781067e-10;7.741734410365082e-11;7.682182500587796e-10;1.869926603967598e-9;5.687197148711348e-9
3.2038869755971765e-9;1.4887950452466888e-10;7.741734337414123e-10;2.262968486283197e-10;7.146216042101808e-11;9.290081219487139e-10;1.7984644362514838e-9;5.603824620925064e-9
3.180066255456837e-9;1.78655408347641e-10;7.50352713601073e-10;2.858486489791681e-10;5.359662396331146e-11;9.7069437854676e-10;2.108133812666087e-9;5.443034756330226e-9
2.7989347186212156e-9;2.501175687686591e-10;7.14621633390564e-10;5.300110413602902e-10;7.741734410365082e-11;1.1850808744000057e-9;1.8580162438974279e-9;4.990441059073587e-9
2.4535342692911994e-9;2.858486489791681e-10;1.1791256907173729e-9;1.2029464108577125e-9;8.337252049118774e-11;1.357781099065014e-9;1.8341955164619926e-9;4.192446905191835e-9
3.3825423839448174e-9;5.478765851130926e-10;1.5126157872723156e-9;1.2744085785738263e-9;2.6798311252146146e-10;1.3816018192053533e-9;2.108133812666087e-9;3.721987664182393e-9
3.495690808258977e-9;2.1438648855815003e-10;1.6555401154094476e-9;3.4480493679782984e-9;6.372042892869131e-10;1.393512179275523e-9;2.471399805748906e-9;3.6028840561856003e-9
3.3051250398411664e-9;5.597869451832624e-10;1.679360835549787e-9;1.5602572275529944e-9;7.682182500587796e-10;1.286318938643996e-9;2.7274725582001974e-9;3.751763560710269e-9
3.50164599194161e-9;4.764144173969787e-10;1.5185709636598526e-9;8.337252340922607e-10;1.0838428101560157e-9;1.2386774910682213e-9;2.8108450786913855e-9;2.5845482300630654e-9
3.638615136396109e-9;4.525936972566394e-10;1.4768847070618066e-9;9.051874018083746e-10;1.3458707389948445e-9;1.0064254660523648e-9;3.0669178311426773e-9;2.3880272852577183e-9
3.638615136396109e-9;6.669801858147895e-10;1.1672153306472034e-9;9.885599222995623e-10;8.694563143027698e-10;8.337252340922607e-10;3.0847833748954795e-9;2.3344306612944068e-9
3.043097111002338e-9;1.4113777230283255e-9;1.036201362580241e-9;1.208901594540345e-9;1.5959883077635035e-9;6.848457295675919e-10;2.6738759342368862e-9;2.2927443974012647e-9
3.215797342962442e-9;6.252939292167435e-10;1.0242910025100714e-9;7.622630736712427e-10;1.143394610506864e-9;6.372042892869131e-10;1.9116128605656436e-9;2.429713541855764e-9
2.5607275099227264e-9;3.454004566251123e-10;7.5630788998861e-10;4.466385208691025e-10;1.679360835549787e-9;6.431594656744501e-10;1.935433580705983e-9;2.9656797668986873e-9
2.042626828632606e-9;3.0966937641460327e-10;9.230529382660812e-10;2.4416239238112217e-10;2.6441000377090097e-9;6.193387455341107e-10;1.5066606035896829e-9;3.215797342962442e-9
3.0609626547551406e-9;4.347281607989328e-10;1.1672153306472034e-9;1.1910360799679258e-10;2.274878860943558e-9;8.456355941624304e-10;1.4709295233791738e-9;3.650525496466279e-9
3.0014108471091962e-9;5.597869451832624e-10;1.4947502435195132e-9;7.146216042101808e-11;2.864441702654697e-9;1.3994673629581558e-9;6.848457295675919e-10;4.7462786666924645e-9
2.3344306612944068e-9;8.635011379152328e-10;1.5781227713057967e-9;1.1910360070169678e-11;2.8465761661969904e-9;1.2744085785738263e-9;9.885599222995623e-10;4.913023714969936e-9
