Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;12.729555388821671;-11.925;-0.8045952922644862;0.0;0.0;8.004038861292619e-6;0.0
2.0;12.32393277689613;-11.547;-0.7769404259232079;0.0;7.2036349751633565e-6;7.142568395587242e-6;0.0
3.0;12.045935269373947;-11.302;-0.7439707877408327;0.0;1.3631226167694358e-5;5.749951770233373e-6;2.974211650665244e-6
4.0;11.979215982364705;-11.26;-0.7192495234758671;0.0;1.5428962565439317e-5;5.644633394456979e-6;3.820230833757294e-6
5.0;12.051433108463065;-11.355;-0.6964647598368137;0.0;1.6264678288777178e-5;5.613996425858108e-6;4.079853072127083e-6
6.0;12.536442768864612;-11.845;-0.6914739679459945;0.0;1.6821312626767024e-5;5.783017634674972e-6;3.993523052140313e-6
7.0;13.665891955210068;-12.951;-0.7149250272902625;0.0;1.7625932633687992e-5;6.159252980710129e-6;3.6620926362221226e-6
8.0;15.412132071439041;-14.665;-0.7471481503732587;1.3983212717080622e-7;1.913734000772679e-5;4.324356512996565e-6;4.996005537154694e-6
9.0;16.851578898552905;-16.079;-0.7725953115268012;9.873198118555294e-6;1.751506397460534e-5;4.7226463693437805e-6;4.657886190851643e-6
10.0;17.060384715497335;-16.317;-0.7434006960835985;4.524333158792585e-5;1.6627099202358637e-5;4.771143126438387e-6;4.471056419106267e-6
11.0;16.635707357306668;-15.94;-0.6957226705729658;0.00011506375790243606;1.599045894324695e-5;4.553315509618256e-6;4.607787996171876e-6
12.0;15.903431894350957;-15.256;-0.6474465504258613;0.00022244857489321388;1.500591351850571e-5;4.2087017496451515e-6;4.896818838950284e-6
13.0;15.318260195829076;-14.688;-0.6302861474326632;0.0003298676622842441;1.339016878346625e-5;6.285746276976639e-6;3.3614171100779124e-6
14.0;15.11883124581424;-14.491;-0.627856954156886;0.00035726763926701663;1.5349927618467938e-5;6.034610708921146e-6;3.3828364121550235e-6
15.0;15.242187404774501;-14.592;-0.6502150360168363;0.00026464434904271614;1.7059669241806057e-5;6.245871035247798e-6;3.4193157855067095e-6
16.0;15.785763912166406;-15.098;-0.6877790910017565;0.00012426467181480964;1.89188415476184e-5;4.349347942504858e-6;4.868839855453591e-6
17.0;16.57696210064745;-15.817;-0.7599782562222112;3.761560499314839e-5;1.7460374852790544e-5;4.76639820349599e-6;4.567931902963419e-6
18.0;17.768356604307826;-16.907;-0.8613755806474279;0.0;1.6711741408957705e-5;4.9146448114565986e-6;4.3053530096741014e-6
19.0;17.218001773169494;-16.335;-0.8830210591861141;0.0;1.6388359101510822e-5;4.942059699968352e-6;4.216423780413702e-6
20.0;16.469571328231936;-15.579;-0.8905907509669189;0.0;1.6188492786689037e-5;4.881378396367233e-6;4.250010808246616e-6
21.0;15.836266145147425;-14.939;-0.8972856858435585;0.0;1.5896714365443374e-5;4.61861335288942e-6;4.501627287232886e-6
22.0;14.976638221692669;-14.095;-0.8816574513013385;0.0;1.5088902717369509e-5;3.846341380411539e-6;5.3309674750826265e-6
23.0;14.04552982151713;-13.195;-0.8505484624155326;0.0;1.266463797761953e-5;2.892802445784819e-6;6.573757101341209e-6
24.0;13.408546981270142;-12.566;-0.8425899382157872;0.0;8.00155326066995e-6;4.83176771159915e-6;4.423096075064088e-6
25.0;12.542279527238755;-11.765;-0.7773038559907277;0.0;0.0;7.393438704112534e-6;0.0
26.0;12.098091437367554;-11.338;-0.7601146322957739;0.0;6.65409483370128e-6;6.805793540114414e-6;0.0
27.0;11.793218011114334;-11.065;-0.7282386062641464;0.0;1.2778643610320884e-5;5.854039014948229e-6;2.6985699426626465e-6
28.0;11.652487998168189;-10.953;-0.699505808289058;0.0;1.4976412351012284e-5;5.662610819315528e-6;3.7228546218162814e-6
29.0;11.601306903449196;-10.931;-0.6703218882472473;0.0;1.593654880278985e-5;5.506023342526437e-6;4.1823172212012875e-6
30.0;11.68220901162934;-11.038;-0.6442214318019724;0.0;1.6282191124202894e-5;5.456512344934653e-6;4.3397251375003866e-6
31.0;12.076629216978121;-11.445;-0.6316403669664084;0.0;1.6408341298774415e-5;5.463088330256238e-6;4.349330926302237e-6
32.0;12.818782695802929;-12.185;-0.6337939931806461;9.601793449780264e-6;1.652972414644919e-5;5.532029614251299e-6;4.279236250527875e-6
33.0;13.530696159441156;-12.898;-0.6327073140477136;3.159423397937694e-5;1.6791024984517367e-5;5.655026980124653e-6;4.162700691523043e-6
34.0;14.44967566421411;-13.817;-0.6350126426625078;5.410049193156564e-5;1.729248127623758e-5;5.03353471405035e-6;4.633992700828498e-6
35.0;14.83645313398783;-14.216;-0.6204774986808914;8.715151737769764e-5;1.6710886594744558e-5;4.554224500258753e-6;5.070660475698998e-6
36.0;14.945752325579331;-14.325;-0.6207622797674112;0.0001190180677707267;1.5212784463784478e-5;5.703911851603201e-6;4.1251437209264515e-6
37.0;14.949128538936655;-14.334;-0.6151379032827282;0.00014048573583903433;1.580012493121699e-5;5.499691430170913e-6;4.158742955600046e-6
38.0;14.80905018128815;-14.194;-0.6150595500124547;0.0001406960308488505;1.6166275802343048e-5;5.425531942787934e-6;4.300870158414239e-6
39.0;14.773202931250827;-14.143;-0.6302138352616449;0.00011112855630562629;1.630772740549932e-5;5.401641944639974e-6;4.366438010895364e-6
40.0;14.810246003151562;-14.152;-0.6582596746408498;6.213233590740482e-5;1.6354810695738638e-5;5.393584269997686e-6;4.389885003310448e-6
41.0;15.075994674168825;-14.371;-0.7050128441921326;2.0441751613095394e-5;1.6368585156676335e-5;5.389629315533506e-6;4.39887110106182e-6
42.0;16.00434848215968;-15.213;-0.7913747530835893;2.3897052272078773e-6;1.6368814228093094e-5;5.385125354438784e-6;4.405201767005895e-6
43.0;16.20671784958258;-15.359;-0.8477492204984096;0.0;1.6357955638346274e-5;5.374986192013922e-6;4.4158495699013395e-6
44.0;15.634216474208431;-14.772;-0.8622491250932667;0.0;1.6326141996169996e-5;5.3480781356512265e-6;4.442637585145598e-6
45.0;14.9933597054085;-14.127;-0.8663927343111234;0.0;1.6240349823249002e-5;5.274139315874257e-6;4.516083295400224e-6
46.0;14.414329807802826;-13.549;-0.8653627779205448;0.0;1.6006414947018666e-5;5.0825870043489066e-6;4.7109080269685485e-6
