x1;x2;x3;x4;x5;x6;x7;x8
2.5524163953455282e-6;3.335214716290553e-8;2.643323826072304e-6;1.1155434273174474e-8;3.0640210670945476e-6;5.209220428126106e-7;1.8926860924922583e-6;1.272288955382682e-6
1.7639744223768517e-6;1.1785952980722773e-8;1.8023347374535415e-6;3.343660441582757e-9;2.3190003256659906e-6;2.1840733804958408e-7;1.0374424349562703e-6;6.874701634368814e-7
1.3407946889684174e-6;3.1470261816449403e-6;1.408756537492306e-6;3.9910905108382554e-6;1.9046663299911585e-6;1.6634057730837827e-7;7.895829628205324e-7;5.254444587022363e-7
1.2840279800074126e-6;1.993960285008324e-6;1.3638744038458435e-6;3.7675233324326003e-6;2.0765309680207066e-6;1.170520983705638e-7;6.442825671001444e-7;4.365646902524277e-7
1.2875511766222786e-6;1.6876897603798639e-6;1.3989668681302262e-6;3.4663602899229786e-6;2.6449487709263245e-6;8.64731140804737e-8;4.936924527112369e-6;3.713588656342903e-7
1.4451447401784154e-6;1.62756539051953e-6;1.1815509218767244e-6;1.869001701900036e-8;4.265858064483018e-8;6.591059991203847e-8;5.798148706476478e-7;3.25453153051784e-7
2.166564755461634e-6;1.7870772956090185e-6;7.07367558183759e-9;1.9129467231541395e-8;4.3144241901165724e-8;5.2766032786864135e-8;5.653286947616343e-7;2.929610791189253e-7
2.2114301852198603e-8;2.5224396497151113e-6;1.079501708390443e-6;2.755260317416005e-6;5.0612259709334695e-8;4.6350185083340363e-8;5.764152128251651e-7;2.6932676433440475e-7
1.7311271523397264e-8;4.6928468016321225e-8;8.570376532689804e-7;1.359764268669565e-6;2.950554185585654e-6;4.066283106783265e-8;6.080239231620235e-7;2.511409722163889e-7
1.721957908015901e-8;4.1954229619432815e-8;7.605312626566336e-7;1.0426167746118537e-6;1.540229323667387e-6;3.8437086482469215e-8;6.504662662941653e-7;2.3663437843896344e-7
2.203349897081183e-8;4.201121749256138e-8;7.066335023330925e-7;9.33371182107791e-7;1.1799387593732004e-6;3.555824926614673e-6;7.010111193197801e-7;2.249214257958871e-7
2.6495447038888077e-8;4.767985125039352e-8;6.796860097324264e-7;8.85798218902998e-7;1.0390413228778924e-6;2.7338687364430493e-6;7.599759800341872e-7;2.1553444619622766e-7
4.993292055804365e-6;6.23960442424726e-8;6.671440132200702e-7;8.742482169417119e-7;9.779766841264662e-7;2.577981890221417e-6;8.414565192348809e-7;2.0807806399850376e-7
4.993239096374594e-6;3.0539116731384784e-6;6.673500445176579e-7;9.206482377955055e-7;9.560776795960601e-7;3.037601636101914e-6;9.716458145789198e-7;2.0225741581635572e-7
2.4543827075815576e-8;1.6147691487442934e-6;6.764450867002197e-7;1.1114415913467175e-6;9.631942427195621e-7;3.583070863962532e-8;1.2535447229741027e-6;1.9769579196142216e-7
2.217447728362713e-8;1.2307581765448582e-6;7.206097755014402e-7;1.8906086798008686e-6;1.0365380750414835e-6;3.5912925881691224e-8;2.169459477654462e-6;1.9405805811651648e-7
2.1088605860617338e-8;1.0651213658836911e-6;8.329643335512797e-7;1.0730279130214539e-8;1.2799123899427544e-6;3.595149171985901e-8;4.513348723179081e-8;1.9098935511953144e-7
2.343802748889915e-8;9.759386612549792e-7;9.998774174613137e-7;1.0834185366493422e-8;2.1282180743486306e-6;4.0418327753088424e-8;4.662874065244466e-8;1.8809969170196105e-7
2.582520706944795e-8;9.213120349191291e-7;4.2925004475202965e-9;1.1910798471780216e-8;3.676000776391282e-8;4.727718689873288e-8;4.785113731698142e-8;1.839317508860071e-7
2.772203376734509e-8;8.82991355062246e-7;1.6773853462127163e-6;1.298611973538096e-8;3.1609932961511046e-8;5.243270288787947e-8;5.5279128632206224e-8;1.7757864100221385e-7
2.8988129144469307e-8;8.529859132748846e-7;1.3913953983882168e-6;1.3761853432349263e-8;3.887384656412993e-8;5.5669357308592153e-8;6.063768777501632e-8;1.795502430643401e-7
2.5738861889378234e-8;4.97503933765379e-7;2.6813528500011013e-7;1.0211439171422444e-8;5.2628991101000667e-8;3.9707597311107606e-8;4.894198420568829e-8;4.6699842661609094e-8
5.746980338843572e-9;7.976643207070647e-8;3.553255325222643e-8;2.4524859695621143e-9;5.959534863205986e-7;8.774674575436195e-9;1.1127640685165484e-8;5.861800114083406e-9
3.3079692902257583e-9;4.0227299516073365e-8;1.899172866120251e-8;1.2603846750120462e-9;3.090011059033448e-8;5.30879887462595e-9;6.830098956767302e-9;3.3990827157904555e-9
