x1;x2;x3;x4;x5;x6;x7;x8
4.49458841695761e-10;4.292234891498274e-11;1.5531879727430148e-10;1.517561663876685e-11;4.233771096868583e-11;1.1564837687025086e-10;1.3453215167736218e-10;6.369103017811402e-10
4.624758792510004e-10;2.388783484016066e-11;2.111883572178823e-10;8.577834630648633e-12;2.1780521949478305e-11;9.392221336307161e-11;1.309996413126567e-10;6.599165452651088e-10
4.3306052457628274e-10;2.2830124990502705e-11;2.1884448074855598e-10;6.820380282582779e-12;1.4684774129644574e-11;7.428857592705412e-11;1.006301011088147e-10;6.691568719396297e-10
4.511908596334583e-10;2.3357981699863236e-11;1.9827909868028057e-10;4.727786923112728e-12;1.1799124378672018e-11;6.227615183140414e-11;1.006301011088147e-10;7.287916144344169e-10
3.609982534480758e-10;4.0012711461157496e-11;1.870035181312752e-10;5.968194618028103e-12;1.0861602692946303e-11;7.300774824109088e-11;1.366591291406415e-10;7.50426769361326e-10
4.099352338169243e-10;1.7165043314943546e-11;2.0509651656385185e-10;6.820380282582779e-12;6.820380282582779e-12;6.414907584513733e-11;1.5531879727430148e-10;7.50426769361326e-10
4.382279509318538e-10;1.2749238519034293e-11;1.5459385626954216e-10;1.2749238519034293e-11;4.325499832950999e-12;6.792222778815454e-11;1.975239902197792e-10;7.50426769361326e-10
3.769146361271356e-10;9.480522547273602e-12;6.855455161716344e-11;1.56691192221141e-11;3.929359345860193e-12;8.532057836389353e-11;1.88500541805599e-10;7.37244972602681e-10
3.7355433428910174e-10;1.1799124378672018e-11;6.603115998088074e-11;2.0739283599668285e-11;2.782244541579014e-12;8.993513588266094e-11;2.280910195774532e-10;7.119339550186176e-10
3.204953263741836e-10;1.7668651956496345e-11;6.227615183140414e-11;4.350831640287798e-11;4.325499832950999e-12;1.1426887845142434e-10;1.9601521602800026e-10;6.415006406393014e-10
2.7364085053916683e-10;2.0739283599668285e-11;1.1358016621945572e-10;1.163391575372481e-10;4.727786923112728e-12;1.3453215167736218e-10;1.930034759891616e-10;5.204649204182992e-10
4.0227428742801427e-10;4.527408333317134e-11;1.5314567356887523e-10;1.246811505196325e-10;1.919372597028058e-11;1.3736935320068988e-10;2.280910195774532e-10;4.511908596334583e-10
4.184754574586935e-10;1.4684774129644574e-11;1.7067032992495878e-10;4.116409274573149e-10;5.427062290863746e-11;1.387916376709074e-10;2.760336241922405e-10;4.3392105260521584e-10
3.9125135172040445e-10;4.645769911725469e-11;1.73621379521138e-10;1.5895193579523548e-10;6.792222778815454e-11;1.2608074731326386e-10;3.1070113902795285e-10;4.5552574896866606e-10
4.193310900789669e-10;3.828355439794315e-11;1.5386948051768066e-10;7.493037624555616e-11;1.0265732392971908e-10;1.2049812041241447e-10;3.2213259381859173e-10;2.9126744540698295e-10
4.3909017940720066e-10;3.599818294938977e-11;1.4881485647897858e-10;8.270210787350913e-11;1.331172689529009e-10;9.392221336307161e-11;3.576621198949126e-10;2.6489729242834286e-10
4.3909017940720066e-10;5.7327881955630817e-11;1.1220483138153662e-10;9.192507166880526e-11;7.880026839219696e-11;7.493037624555616e-11;3.601637368539794e-10;2.577790104613816e-10
3.5433116470872745e-10;1.409296221959443e-10;9.726651788813867e-11;1.1703062333373198e-10;1.6333002334883872e-10;5.917546511149243e-11;3.033890350493544e-10;2.5226508559313283e-10
3.785966651161876e-10;5.305562469393268e-11;9.592645762042743e-11;6.729088432878498e-11;1.0946259677024539e-10;5.427062290863746e-11;2.028197812796882e-10;2.704559041851734e-10
2.880490307753119e-10;2.6026625712048067e-11;6.66605258100831e-11;3.5430541477022325e-11;1.73621379521138e-10;5.487983242369132e-11;2.0585636705448854e-10;3.435417177126137e-10
2.1961258091280567e-10;2.2830124990502705e-11;8.46646872810543e-11;1.7165043314943546e-11;2.993393674040766e-10;5.244985330057581e-11;1.5242243543781612e-10;3.785966651161876e-10
3.56828894878719e-10;3.4299809363703806e-11;1.1220483138153662e-10;7.253377469794671e-12;2.499080856931367e-10;7.62167250197248e-11;1.4809507484487447e-10;4.4081548388985577e-10
3.4851455079262997e-10;4.645769911725469e-11;1.5097767638998927e-10;3.929359345860193e-12;3.295174082824783e-10;1.3950369389073043e-10;5.917546511149243e-11;6.040240869904152e-10
2.577790104613816e-10;7.815303979592068e-11;1.6113850180971038e-10;4.576571450476094e-13;3.270527070820996e-10;1.246811505196325e-10;9.192507166880526e-11;6.295772268110391e-10
