x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.702276828869272e-6;4.7218361959623086e-6;4.699487037403983e-6;5.082323714043093e-6;4.644254270218463e-6;4.63388492460883e-6;4.6722003968108e-6;4.664213151663242e-6
8.90709668488827e-6;8.987150621372668e-6;8.894127201498412e-6;9.135787961993973e-6;8.781310892595995e-6;8.767017927136703e-6;8.825119650002689e-6;8.809723023313441e-6
9.893826655842908e-6;1.0191141507587552e-5;9.84787068586879e-6;9.900584268892336e-6;9.79376671828604e-6;9.772507071133918e-6;9.812193264304354e-6;9.78490338436952e-6
1.0407685602527542e-5;1.1035588811089379e-5;1.0304246975046435e-5;1.0287015457581195e-5;1.0359339025345964e-5;1.0332550054491403e-5;1.0326580086446528e-5;1.0276481957981462e-5
1.0813823769610735e-5;1.2067458161651867e-5;1.0548213920265789e-5;1.0515256975550831e-5;1.0801947126148421e-5;1.0759415175357907e-5;1.0667093498237318e-5;1.0552047460889253e-5
1.1246348738685692e-5;1.125090670068404e-5;1.0583948186334763e-5;1.0541031926902548e-5;1.1231816625023078e-5;1.115188973302778e-5;1.0963258027421056e-5;1.0694598707720031e-5
1.2024724679690764e-5;1.0803324711649836e-5;1.05630925809063e-5;1.0491993624808344e-5;1.0833968100639407e-5;1.0786984559169369e-5;1.1455891404209239e-5;1.0931164816555166e-5
1.1175678334158279e-5;1.0603410073543998e-5;1.0532709724782252e-5;1.0387769789461647e-5;1.0616990389724966e-5;1.056665973433766e-5;1.0907669916417096e-5;1.1398635100983975e-5
1.0744974036084195e-5;1.0517406859125096e-5;1.0499211633422164e-5;1.0163734823453768e-5;1.0516942771034799e-5;1.0407932896498037e-5;1.0588895572888378e-5;1.0892399647091033e-5
1.0563778018720716e-5;1.0479049303475786e-5;1.0450619055886041e-5;9.653765377893426e-6;1.044811883858392e-5;1.0183205199230931e-5;1.0358115219130833e-5;1.0631307955261137e-5
1.049119226757454e-5;1.0460237376605124e-5;1.0357775536948376e-5;8.743695111925411e-6;1.034526365018929e-5;9.817150111990974e-6;1.0026643188821956e-5;1.0528003347866484e-5
1.0461498360695146e-5;1.0450252831480354e-5;1.0198036592157384e-5;9.649344049146203e-6;1.0121775519418322e-5;1.0206017212368136e-5;9.486494933552564e-6;1.0489563603158829e-5
1.0448635736707947e-5;1.0444099437371057e-5;1.0363901174894396e-5;1.0185487755591162e-5;9.715357844608872e-6;1.0479219454154707e-5;1.0060126937093405e-5;1.047526316018536e-5
1.0441655912895048e-5;1.0439847500157299e-5;1.0479316310616592e-5;1.0457385821991624e-5;1.012213674011122e-5;1.0735447336831555e-5;1.046487887273743e-5;1.0470125179866465e-5
1.0435115567628093e-5;1.0436189292699733e-5;1.0588917351879722e-5;1.0698649941751131e-5;1.0349111884827975e-5;1.1109773222723572e-5;1.0840827186399785e-5;1.0468227742831826e-5
1.0422617553949745e-5;1.0431166899597572e-5;1.0749561379536168e-5;1.1144574846939517e-5;1.0441816156747248e-5;1.076662807072234e-5;1.1388820482388148e-5;1.0466175321089897e-5
1.0390427970892246e-5;1.0420875525351271e-5;1.0593892493860685e-5;1.1990077640454631e-5;1.047186438963325e-5;1.0584557125746787e-5;1.0881944281089707e-5;1.0455270470253898e-5
1.0303306101176491e-5;1.0397443163965239e-5;1.0501829451582383e-5;1.1107289284808662e-5;1.0474483502615595e-5;1.0502803955359737e-5;1.06038060941192e-5;1.0427797692537755e-5
1.0078001361445405e-5;1.0337463333677741e-5;1.043853792813929e-5;1.0619824558327947e-5;1.0455035610125734e-5;1.0442164792130409e-5;1.0450635095786572e-5;1.035688507399067e-5
9.525736648751802e-6;1.0179938612355574e-5;1.034999772384382e-5;1.028443632757581e-5;1.039747013822661e-5;1.0341589462152627e-5;1.0278967562756707e-5;1.0171918297997215e-5
8.47727199555693e-6;9.764861917420376e-6;1.0163668780302504e-5;9.794551963618276e-6;1.0255768740156949e-5;1.0102998251506106e-5;9.92275443395277e-6;9.71344930617382e-6
8.844765771223564e-6;8.665868302159961e-6;9.728779748656996e-6;8.651737993490761e-6;9.918628083375532e-6;9.502186271356881e-6;9.067478839924156e-6;8.77506109402913e-6
8.300731143672658e-6;6.131405254126019e-6;8.779416574339226e-6;6.067464776249437e-6;9.201993523754151e-6;8.143720097823143e-6;7.351019305746911e-6;8.352491641884434e-6
