x1;x2;x3;x4;x5;x6;x7;x8
4.746268557952164e-6;4.375233604593526e-6;4.757906613481158e-6;4.212355082726518e-6;4.623295239157397e-6;4.598847948029194e-6;4.594075328951026e-6;4.681570028684495e-6
3.7787762713164216e-6;3.343186387143815e-6;3.7867621333837094e-6;2.491253095150448e-6;3.7455505502521047e-6;3.6923750574900607e-6;3.7148261945343125e-6;3.701547981326867e-6
2.74362968647527e-6;2.9299368962684566e-6;2.744121273309916e-6;3.209470868496203e-6;2.7980284021029044e-6;2.7021630009247586e-6;2.782577548285456e-6;2.6529335426084042e-6
3.131763673879047e-6;3.1371343191187753e-6;3.1472404527967754e-6;3.3945948559601184e-6;3.1957395157568634e-6;3.041672804199573e-6;3.0966837229888893e-6;3.0164978125817765e-6
3.1324834614983854e-6;3.1048312158483587e-6;3.165528237908233e-6;3.4764798516665403e-6;3.2732916213982216e-6;3.018764518471402e-6;3.1751465956451715e-6;2.9882452756100044e-6
3.174319225322802e-6;3.0907354954291357e-6;3.167426760158538e-6;2.2170166454755144e-6;2.8201851203514072e-6;2.983122760018814e-6;3.052880243935475e-6;2.946927522976134e-6
3.3020498285267772e-6;3.1195368403223915e-6;2.599926879489808e-6;2.220921085986175e-6;2.8566605337241407e-6;2.954792357107809e-6;3.0502994896599598e-6;2.9224223546078365e-6
2.672307143306443e-6;3.188389781582308e-6;3.151833615358994e-6;3.413744479026666e-6;2.793791605535271e-6;2.917576938213646e-6;3.0428857557227955e-6;2.902854209144115e-6
2.831718546210504e-6;2.8596349305825287e-6;3.0394787671854736e-6;3.054445639452086e-6;3.194888158273528e-6;2.869065471953475e-6;3.0370301696039264e-6;2.890264454134124e-6
2.842534010288085e-6;2.9474955827762617e-6;3.0069132395388623e-6;2.962518807646102e-6;3.062428665777289e-6;2.7494715341162243e-6;3.0325946835381855e-6;2.8832661169336564e-6
2.7596474137365834e-6;2.953100675418138e-6;2.9980498072795622e-6;2.9424629213518887e-6;3.030017429743179e-6;3.1973284300864692e-6;3.0287838628350964e-6;2.8795080471973182e-6
2.6319353685072716e-6;2.907106970328463e-6;2.9938654252037822e-6;2.936546218839943e-6;3.0239564072315895e-6;3.0754721971544686e-6;3.0262493496735395e-6;2.876378959170622e-6
3.3576569531963076e-6;2.826454513081577e-6;2.9889049199229534e-6;2.940948506030481e-6;3.022200418238051e-6;3.1010169691884446e-6;3.026846313018016e-6;2.8737151822576542e-6
3.3089018114600597e-6;3.153190810687858e-6;2.9876836437137814e-6;2.981960750234675e-6;3.021779778895897e-6;3.2036023686215446e-6;3.0394028723495916e-6;2.8708653100781956e-6
2.641684731437268e-6;3.051489119780271e-6;2.990205228928243e-6;3.128007190028317e-6;3.026308971976779e-6;2.76807611385005e-6;3.087186928819502e-6;2.869841646507372e-6
2.8180394413187645e-6;3.0278378921652327e-6;3.0081794864270166e-6;3.394431276850678e-6;3.0467037641821948e-6;2.9030025569238033e-6;3.1718177726841828e-6;2.8723106246495654e-6
2.8672384329642745e-6;3.0244185155759355e-6;3.066595100890304e-6;2.308309433975822e-6;3.0783653322568476e-6;2.907634627375064e-6;2.817507494576279e-6;2.877002680272408e-6
2.83516231885817e-6;3.0217716971030015e-6;3.128691834861701e-6;2.609941289000437e-6;3.1849405513414847e-6;2.919617404257339e-6;2.9212753873114456e-6;2.838849482851563e-6
2.850625341628086e-6;3.0200630150556597e-6;2.342212050966217e-6;2.6949641527109495e-6;2.7760277544969956e-6;2.9183841559660653e-6;2.9454446973511176e-6;2.8542930085459784e-6
2.851914765796268e-6;3.0158597639944324e-6;3.1646659819868943e-6;2.7142430974819395e-6;2.873147508476563e-6;2.912719520162321e-6;2.9452349453502843e-6;2.8548362340904497e-6
2.799478593439344e-6;2.9884478949850345e-6;2.9781389297371224e-6;2.654891274664161e-6;2.806938379605478e-6;2.8704424519694894e-6;2.9058035527261647e-6;2.80433091394092e-6
2.521238316246765e-6;2.879844773752601e-6;2.795092696599928e-6;2.2539941896118982e-6;2.5847546419481156e-6;2.6580299283158276e-6;2.723223317011566e-6;2.5289372775800787e-6
1.916632012408552e-6;2.6624741938810653e-6;2.506879604267398e-6;1.3859027376979547e-6;2.725640094319233e-6;2.180596876767834e-6;2.3114515301985606e-6;1.9314623851148326e-6
1.9642892215174615e-6;3.1475772745236545e-6;3.0484170007901756e-6;1.1234187394057858e-6;3.1230441701068904e-6;2.323167747240316e-6;2.509928699468916e-6;1.9891535335614607e-6
