x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.856788879634353e-6;3.858533481488045e-6;3.855908169164815e-6;4.278818440637841e-6;3.7995213140101003e-6;3.791751351939064e-6;3.818409116288319e-6;3.814838090346251e-6
6.96242337592038e-6;6.9819069543325905e-6;6.9612729094388245e-6;7.197071865305757e-6;6.846881622055684e-6;6.832401619412059e-6;6.881820441401808e-6;6.881466040540852e-6
6.868252222217349e-6;6.966345991553356e-6;6.865656577298967e-6;6.8393836352700554e-6;6.848756458980793e-6;6.8436899770114305e-6;6.837945427848964e-6;6.85011771291122e-6
6.970486968265984e-6;7.38591054698436e-6;6.9560404668769e-6;6.90772242506081e-6;6.95728768769454e-6;6.945171742636431e-6;6.931309033851805e-6;6.924393029013492e-6
7.0230188278734165e-6;8.111601101484115e-6;6.919099252084015e-6;6.878119950433816e-6;7.071511221430156e-6;7.045583862589795e-6;6.950294049836957e-6;6.8899988781913274e-6
7.295378901400696e-6;7.2886811380459144e-6;6.868625102954583e-6;6.831811071785604e-6;7.394510480055781e-6;7.33466840661174e-6;7.118044110778356e-6;6.900419853011619e-6
7.997736669863514e-6;6.907837083162558e-6;6.830067791605956e-6;6.791630362507302e-6;7.003401627783963e-6;6.981150284991998e-6;7.561686536470829e-6;7.071016879050787e-6
7.214314804875672e-6;6.782366208204248e-6;6.803915721811365e-6;6.746064266939369e-6;6.8224709741526305e-6;6.810411532838693e-6;7.058273618953667e-6;7.502454446420255e-6
6.859981945015983e-6;6.743517495417682e-6;6.783915173931422e-6;6.624798602011176e-6;6.768000687425962e-6;6.721267359072226e-6;6.817488475210368e-6;7.031950264877183e-6
6.751894436074837e-6;6.729604899020486e-6;6.756468285737707e-6;6.2223909331233856e-6;6.747510565093483e-6;6.5571226403048025e-6;6.689167360942829e-6;6.816291487840339e-6
6.72418789765438e-6;6.722128799435525e-6;6.685843197502709e-6;5.375532242065683e-6;6.6996797020478335e-6;6.219502595194976e-6;6.44569333334059e-6;6.754194538043875e-6
6.7168858589529885e-6;6.717415089986429e-6;6.52673526336355e-6;6.209884489071573e-6;6.528735521996543e-6;6.563068140391575e-6;5.9501898592372615e-6;6.740808637546983e-6
6.714496733124647e-6;6.713702573815229e-6;6.675737369942002e-6;6.629543078640547e-6;6.154868822673562e-6;6.7649206228857575e-6;6.459238765340384e-6;6.738562722158167e-6
6.712882532727163e-6;6.710983214343594e-6;6.762148178582964e-6;6.755828974853147e-6;6.5302276434496705e-6;6.952665420498027e-6;6.757634013802701e-6;6.737980327589411e-6
6.71204889939694e-6;6.708997191519176e-6;6.844080804483131e-6;6.864312592269794e-6;6.712754076813369e-6;7.284873393676923e-6;7.029933435545287e-6;6.737626151190107e-6
6.711798254222465e-6;6.706664195454088e-6;6.98919338052876e-6;7.20267319485176e-6;6.76148253641065e-6;6.953412954073564e-6;7.512238780883539e-6;6.737607646622281e-6
6.709610990582586e-6;6.7029977555122386e-6;6.841882171825602e-6;7.977574571226023e-6;6.768631692445923e-6;6.800492669679951e-6;7.028317930274808e-6;6.737496294579064e-6
6.688790924512168e-6;6.701226855456619e-6;6.769790355430915e-6;7.17860707759234e-6;6.768118013943557e-6;6.759368734050064e-6;6.807297346285412e-6;6.735861031901806e-6
6.5875967140535985e-6;6.703747147393288e-6;6.745731711520264e-6;6.826246599429738e-6;6.76569232420827e-6;6.7525749512929275e-6;6.744844823768242e-6;6.724728725035922e-6
6.204586463989522e-6;6.7023219406604855e-6;6.724503463686699e-6;6.724637058505027e-6;6.7514452553257644e-6;6.7432744708414495e-6;6.711199833955157e-6;6.65379133072983e-6
5.339700922394404e-6;6.594746274020738e-6;6.6415362407993094e-6;6.59799319785949e-6;6.681457344665936e-6;6.658208356809807e-6;6.5561028695164546e-6;6.354696413073453e-6
5.761434752832143e-6;5.849834949604622e-6;6.307084823914471e-6;5.839231186797029e-6;6.4148891806729434e-6;6.230917375099785e-6;5.8944085931639856e-6;5.5722579849332965e-6
5.267604448852924e-6;3.4261582367602214e-6;5.423991071269168e-6;3.3730598510881783e-6;5.7740119659843796e-6;4.9716030611415595e-6;4.3166788852338845e-6;5.237684842999076e-6
