x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2517170052075567e-6;1.1623486717275896e-6;1.2577996443381256e-6;8.21123462864005e-7;1.204455690707777e-6;1.213118386952371e-6;1.275746764856392e-6;1.1958831152663356e-6
1.760090564808345e-6;1.6714401994622748e-6;1.7716074545124965e-6;1.1532399689169688e-6;1.6751930194447366e-6;1.723578984993949e-6;1.8087194718639994e-6;1.697324301741634e-6
1.9826305585257444e-6;2.012265340059679e-6;2.0028126024412494e-6;1.3631264680142058e-6;1.8811263345657635e-6;2.021952319836121e-6;2.0233833404195266e-6;1.969595158166483e-6
2.01701411632808e-6;2.159830667588425e-6;2.1099368306509943e-6;3.182463422245776e-6;2.546734864914093e-6;2.1803090163953727e-6;2.2624190364414005e-6;2.11642864364804e-6
1.883333305091369e-6;2.1570255735445255e-6;2.8666872712316996e-6;3.37563250457733e-6;2.570111740316133e-6;2.243759407426187e-6;2.304124164070224e-6;2.1627163613834993e-6
2.648794653150333e-6;2.085804300457031e-6;2.162486564917791e-6;1.6507029877273242e-6;2.6000982162466625e-6;2.2956334919467047e-6;2.304554770959466e-6;2.172627692598879e-6
2.4938845173152513e-6;2.48965888523515e-6;2.1649531126920176e-6;1.7629866786613424e-6;2.040258640796794e-6;2.3813581591410595e-6;2.3004861624559598e-6;2.172651627643022e-6
2.4018339687996453e-6;2.418621541781036e-6;2.2187549286280667e-6;1.9936345026639674e-6;2.106869311328014e-6;2.4905434878570504e-6;2.296204463334698e-6;2.1703081479752032e-6
2.4307245363155654e-6;2.378940810751713e-6;2.2469595204018015e-6;2.102541799234027e-6;2.1964435459565693e-6;1.9249724105736317e-6;2.2890456809663593e-6;2.1678434779738137e-6
2.5044877507015086e-6;2.4087679284736577e-6;2.25841677249795e-6;2.136652114499956e-6;2.2422637044176645e-6;1.9816739686537523e-6;2.279785355993164e-6;2.16599404255818e-6
1.5983914937197709e-6;2.4793597132915867e-6;2.2605262546811724e-6;2.1158303526040125e-6;2.261511997843135e-6;2.0139359454201637e-6;2.2629718578987185e-6;2.1649003932419358e-6
1.5806657770189073e-6;2.068175483294293e-6;2.2549490276341167e-6;2.0315242603429516e-6;2.2639910342883026e-6;1.9514793279974083e-6;2.2297956569701675e-6;2.164824818279639e-6
2.4673344959626605e-6;2.1368257774427804e-6;2.240549040067673e-6;1.84341132042792e-6;2.251975684282685e-6;2.505384589730425e-6;2.1656216070925674e-6;2.166130165957914e-6
2.3784559788912904e-6;2.2173510195291157e-6;2.2093306732164423e-6;1.5402854298996543e-6;2.220152964849738e-6;2.399619244898195e-6;2.0680116504188333e-6;2.1699177426180862e-6
2.2807552976677993e-6;2.2614185900188185e-6;2.148234838027263e-6;2.8603708124626585e-6;2.1527583232025396e-6;2.3127485112298795e-6;2.5011546732973324e-6;2.178449890041942e-6
2.24478820452695e-6;2.2867718243280014e-6;2.1001062924191415e-6;2.5402620043691923e-6;2.053853119339581e-6;2.2787117045896836e-6;2.4144423293361076e-6;2.195781910468071e-6
2.2529796401755316e-6;2.3066287411242225e-6;3.161137969674014e-6;2.352544950896875e-6;2.582595901951395e-6;2.284662668901746e-6;2.3561355854508994e-6;2.2282917205609877e-6
2.3077448365950677e-6;2.332475828168893e-6;2.1485961674157507e-6;2.3358181975273377e-6;2.547396253226071e-6;2.327421154737724e-6;2.3633215266896308e-6;2.295288984090966e-6
2.4492686807464998e-6;2.3794980568290873e-6;2.2130485236601374e-6;2.4974214486570103e-6;2.610227029699546e-6;2.436847253417912e-6;2.4431095276043333e-6;2.4414115421344023e-6
2.7955365707834183e-6;2.4770085090082103e-6;2.4282352664948414e-6;3.054286999826652e-6;2.8102551062207897e-6;2.695864495059755e-6;2.655427404590544e-6;2.7854157978771e-6
3.487452317425455e-6;2.66344520732258e-6;2.722899052384189e-6;4.117361543194119e-6;2.5039227534061626e-6;3.2117885136410943e-6;3.084252498930378e-6;3.4696271974314524e-6
3.5639769572949075e-6;2.48075239908775e-6;2.5218454037141117e-6;4.205015787378966e-6;2.3744703644365696e-6;3.235688769028073e-6;3.080853917597854e-6;3.544706916471893e-6
