x1;x2;x3;x4;x5;x6;x7;x8
3.842359994191502e-6;4.072642410424578e-6;3.6767184829503966e-6;4.899745953531758e-6;3.8831432180138354e-6;3.877461354753075e-6;3.878480849419324e-6;3.831428061331538e-6
3.2250205384733667e-6;3.806192748093199e-6;4.056031053556038e-6;2.6101750090111977e-6;3.5456268853220436e-6;3.5334830623561154e-6;3.479886683012825e-6;3.9539978311550045e-6
2.830540488711979e-6;3.652253709881558e-6;3.901397068150374e-6;2.13592077318989e-6;3.2768989775927006e-6;3.260448316215867e-6;3.123316103745039e-6;3.0352982886961977e-6
3.9970444378385806e-6;3.68640757947859e-6;2.483601418665865e-6;2.0010620384437923e-6;3.2286315360024678e-6;3.209431660607263e-6;2.995118505678014e-6;2.9147051908697065e-6
2.823777710870196e-6;4.142338206280471e-6;2.5265913945143968e-6;1.7909360132744793e-6;3.3485681710145705e-6;3.30136287365765e-6;2.8894765061156117e-6;2.801797542402512e-6
3.2674826610669712e-6;7.512909951798333e-7;2.5316167007566576e-6;1.661230920193849e-6;3.7250849068875654e-6;3.6313261323410995e-6;2.9633977336440834e-6;2.801789948799041e-6
3.940478887815965e-6;1.1714354484160596e-6;2.513983611674874e-6;1.5496333225520204e-6;1.40276165610241e-6;1.425516140080666e-6;3.259733697732596e-6;2.930733711337159e-6
6.896442674664457e-7;1.3959169523087678e-6;2.4763591790308925e-6;1.402609452816615e-6;1.8328254214782764e-6;1.7003672814525022e-6;3.747095194274068e-6;3.2634861795622597e-6
1.0095619713080661e-6;1.506368332938181e-6;2.4019192180091944e-6;1.1406215873679234e-6;2.0071624980727603e-6;1.5813516746508362e-6;8.529595365863119e-7;3.802154550466743e-6
1.0178425260574559e-6;1.5595979308935175e-6;2.24859982581147e-6;7.202954280934916e-7;2.02763252330281e-6;1.2811770060186198e-6;9.453105523531078e-7;1.1589474245889421e-6
7.358273580693523e-7;1.5856741334002296e-6;2.0377707984627213e-6;4.069673682073402e-7;1.9037982319017288e-6;3.603082876785673e-6;7.543188696408681e-7;1.64410173960783e-6
4.528295383902714e-7;1.5976599873166766e-6;3.1169662727179396e-6;4.287355047322605e-6;1.578245609900355e-6;3.1206695043653774e-6;3.850520291898453e-6;1.8758900307878175e-6
4.457254481010337e-6;1.6029029667272135e-6;2.8769433846065753e-6;3.4510047139963955e-6;1.1927458083046616e-6;2.932193988178975e-6;3.243498235087948e-6;1.9809497692860714e-6
4.013718886384691e-6;1.6037688938044606e-6;2.7929685772661886e-6;2.970261307197616e-6;3.6807603563631473e-6;2.9597902247511346e-6;2.9881311810311506e-6;2.0263046893623246e-6
3.960919074129593e-6;1.6014763902124337e-6;2.800661670979117e-6;2.8309195985047203e-6;3.114396628123893e-6;3.197273125210947e-6;3.015514069375002e-6;2.0437571915204497e-6
4.282171994833081e-6;1.5957282085073457e-6;2.926176167943834e-6;2.9456089851353424e-6;2.8346888817660455e-6;3.615751985917546e-6;3.3135216438660276e-6;2.0457696955559063e-6
6.606958070259392e-7;1.58397491211827e-6;3.1310705130760907e-6;3.344225662739696e-6;2.7132739586174854e-6;1.4720056071616e-6;3.839595248986898e-6;2.03017236049634e-6
9.842798397145266e-7;1.5587367069479296e-6;2.0775831123717932e-6;4.005887982380251e-6;2.6599757930333618e-6;1.8903192580184417e-6;1.048408750931756e-6;1.994324301078189e-6
1.0022939729454873e-6;1.5080527673221562e-6;2.2875523523984315e-6;6.272636706674684e-7;2.6236516560287266e-6;2.054473674470398e-6;1.4410565220562456e-6;1.9026965580740184e-6
7.235586565374327e-7;1.4014463226533431e-6;2.334283117703973e-6;9.665571332018317e-7;2.57527807188286e-6;2.058035573683255e-6;1.4651018468545676e-6;1.685237940454079e-6
4.3284505652600055e-7;1.160579421876904e-6;2.2409065258225442e-6;1.0293749562883464e-6;2.474836544375673e-6;1.8828229594584665e-6;1.1325807480567758e-6;1.238630800203476e-6
3.547173568217765e-6;6.980805838806413e-7;1.915304906445316e-6;7.171854318092117e-7;2.2556245377433837e-6;1.368935285643077e-6;6.983913916181901e-7;7.569712688864928e-7
1.3517627805431683e-6;2.7487385211782405e-7;1.2868345779296878e-6;6.8311974734698e-8;1.8950541239261109e-6;5.360244680586681e-7;2.3557343032040826e-6;2.375765200207773e-6
9.967353917842111e-7;9.52962331304947e-7;1.0157556944352789e-6;1.4527595183795293e-8;2.5206793196454543e-6;2.534946574900512e-7;1.5422961455609939e-6;1.5917586480520935e-6
