Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeD;G_TypeB;Demand;Total_PV
1.0;0.04003738569659636;3.9341689638796593;1.2877195258028327;4.999998161259129;0.0;2.542856985340485;0.0;-0.18891532252814436;-0.1901375394604822;-0.1889068487893839;-0.1898071202470748;-12.007;0.0
2.0;0.040038143849673816;3.7617551741850748;0.8649769441401874;4.999998161379238;0.0;2.604081471605143;0.0;-0.1799572789440103;-0.1811221329391616;-0.17994958476905287;-0.18080635349667964;-11.509;0.0
3.0;0.040038267306970646;3.9393936237549987;0.468966664888395;4.999998161477287;0.0;2.4653059651612463;0.0;-0.17169332883848565;-0.17280490628056527;-0.17168693557542505;-0.17250354343450147;-11.185;0.0
4.0;0.04003906934108966;3.9341689639261728;0.16566662354089648;4.999998161584474;0.0;2.55102024986025;0.0;-0.16376322596580567;-0.16482320637503697;-0.16375690941186324;-0.1645349622837166;-10.994;0.0
5.0;0.040036103800322825;3.9289443039779566;0.664129937963337;4.999998160868404;0.0;2.118367212446177;0.0;-0.15842285881599397;-0.15944809280082659;-0.15841634289078244;-0.1591725918309623;-11.076;0.0
6.0;0.04003940983898564;3.8923716802022192;1.061852060283635;4.999998161682969;0.0;2.3551018921271774;0.0;-0.15889501740386194;-0.15992349496958547;-0.15888800021557709;-0.15964235363012033;-11.672;0.0
7.0;0.04003849724191358;3.7199578955285313;2.7275483644699414;4.9999981615507485;0.0;2.4897957636403647;0.0;-0.1706063931035779;-0.17171047140159584;-0.17059844954050718;-0.1714097715212403;-13.253;0.0
8.0;0.20000445705340059;3.5684430315552906;4.999999621822895;4.9999999253791305;0.5485820806584829;2.1959183557474256;0.0;-0.18282030933930374;-0.1889139253526988;-0.1828214387244449;-0.18739048717479412;-15.571;0.0
9.0;0.20000451928192675;3.7147335213113104;4.999999621824056;4.999999925379311;1.8300936223506676;2.179591825806832;0.0019349604991075692;-0.18785016926037806;-0.19411155844207487;-0.18785038590337638;-0.19254491944566604;-16.964;5.094530736382057e-7
10.0;0.2000047618079934;2.9153604825148642;4.999999621825583;4.999999925379547;3.1762478829907668;1.9183673366959404;0.07933433663495022;-0.18217728028940844;-0.1882395739666507;-0.18217713548127729;-0.1867194485992034;-17.35;2.1270228041555787e-5
11.0;0.20000495134362417;3.949843240910259;4.9999996218267135;4.999999925379724;2.12006239815785;1.6816326473060934;0.33378479710068015;-0.17480593713711204;-0.18058707542502817;-0.17480562037216543;-0.17912801210782375;-17.376;9.250606761959264e-5
12.0;0.20000510141541808;3.7356321662748444;4.999999621827595;4.999999925379861;1.1484949106234157;2.3183673353065104;0.6230649816367163;-0.167740464959952;-0.1732414530909293;-0.16774004930522782;-0.1718410892029729;-17.145;0.00018189819048089494
13.0;0.2000052097029909;3.8035527511572162;4.99999962182826;4.999999925379963;0.4034682022859679;2.395918355031582;0.7981810808328501;-0.1622281187153555;-0.16751143846419342;-0.16222764635446016;-0.16615692218753242;-16.743;0.00024977929400571647
14.0;0.20000519406051112;3.9237199409537857;4.999999621828179;4.999999925379951;0.23865416375951828;2.26530611049663;0.963138509343837;-0.16365096532841863;-0.16894370319327134;-0.16365047895140733;-0.16757730477973246;-16.727;0.00032582856091393293
15.0;0.2000051163881274;3.9289446009450546;4.999999621827754;4.999999925379885;0.06313232213016513;2.3999999900172004;0.9945820090324577;-0.16805568343511;-0.17347740296608846;-0.16805521148865707;-0.1720743133010904;-16.705;0.0003615351725822934
16.0;0.2000049680934854;3.9289446009450204;4.999999621826929;4.999999925379757;0.4760799336859858;2.493877539689457;0.684500741673057;-0.1770849765116162;-0.1828575919846869;-0.17708455132101716;-0.18137931583314068;-16.865;0.00026172081280725494
17.0;0.20000473219842757;3.897596635997414;4.999999621825681;4.999999925379563;1.3564955907560885;2.4938775396894326;0.284442692484221;-0.19109526209420855;-0.19741036113615157;-0.19109491180628443;-0.19581545084393104;-17.257;0.00011075252443051425
18.0;0.20000436421831871;3.876697996032518;4.999999621823821;4.9999999253792735;2.964357620954903;2.0857142761506426;0.07546436675995266;-0.21296128740723708;-0.22004611860251452;-0.21296103912563583;-0.21826922570538995;-18.138;2.8854025471932803e-5
19.0;0.20000416213039848;3.866248676050126;4.999999621822681;4.999999925379097;2.3406826869849686;2.2040816257177775;0.0;-0.21832055615375295;-0.22559811874078273;-0.2183205073009987;-0.2237771149888311;-17.525;0.0
20.0;0.2000039562680304;3.8714733360412303;4.999999621821219;4.99999992537887;2.1369481109186705;1.755102032155401;0.0;-0.22214205742002005;-0.2295466294640465;-0.2221428294653426;-0.22769500038369894;-16.862;0.0
21.0;0.20000389518577827;3.866248676050018;4.999999621820236;4.999999925378717;1.5501588275001226;1.3999999927655178;0.0;-0.22038800935946784;-0.22773400488081813;-0.22038988220950528;-0.22589822131025608;-15.922;0.0
22.0;0.04003513423155707;3.9289443039970986;4.844947262262646;4.9999981609634805;0.0;2.097959053767039;0.0;-0.22309427098689616;-0.22453700756254422;-0.2230871649812855;-0.22415324031602077;-14.977;0.0
23.0;0.04003542383498841;3.9028209997893173;3.6451342954790698;4.99999816099614;0.0;2.0571427264125193;0.0;-0.2111885553081433;-0.21255447153335708;-0.2111837573707589;-0.21219211174004174;-13.758;0.0
