x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.975676838366486e-6;1.572816935679049e-8;2.8619940083003864e-6;4.774087836576963e-9;3.4196576882010707e-6;3.4283008933178435e-7;2.3956452013501032e-6;1.532519039175704e-6
5.421791234706969e-6;2.0842062086136308e-8;5.050791835955706e-6;6.338156651948598e-9;6.589911960000251e-6;4.2438690495841105e-7;3.6838965441194017e-6;2.162524270725549e-6
7.224203044896811e-6;3.1871677320314796e-6;6.60176416218671e-6;4.080092867009334e-6;9.340908873990781e-6;4.618301487260842e-7;4.216415303042581e-6;2.6094594378055066e-6
8.921770155304005e-6;5.977452535573694e-6;8.030867229035328e-6;8.14326202834793e-6;1.2048140540762591e-5;4.933091912480535e-7;4.627324158983212e-6;3.0384842900981446e-6
1.0594702499724232e-5;8.111106048494878e-6;9.348123971088631e-6;1.208636321393696e-5;1.4992909881011338e-5;5.081401506640638e-7;9.08142059558729e-6;3.380300230968783e-6
1.2469330056686514e-5;1.0137308142683368e-5;1.0435062670397495e-5;6.5318761100491136e-6;1.000895513605111e-5;5.114314545341188e-7;9.241795540385683e-6;3.6655929879306895e-6
1.4998163294498086e-5;1.2308336165262329e-5;4.884324500540643e-6;9.778665294391917e-7;5.020251936774195e-6;5.048273431143115e-7;9.382392943111352e-6;3.908762584801487e-6
1.2221815400217792e-5;1.4992078687668423e-5;5.740644778027731e-6;3.6319085840289754e-6;1.5580172346313632e-8;4.855617142944351e-7;9.54575400112011e-6;4.118769674151967e-6
1.0188756493603921e-5;1.1838497304369584e-5;6.406810872939651e-6;5.341429896178394e-6;2.8754957906365105e-6;3.637552577770373e-7;9.739000989500888e-6;4.30228055511363e-6
8.364414328112736e-6;9.335089612198365e-6;6.980969528667992e-6;6.666419657065552e-6;4.977396787970441e-6;1.5606783232208973e-8;9.973755191646086e-6;4.464170237202106e-6
6.49352831758734e-6;6.872520872629973e-6;7.497332454650316e-6;7.825482953341324e-6;6.319926441864222e-6;3.828150000053127e-6;1.0269043600997718e-5;4.608242369591942e-6
4.427091573292571e-6;3.727895793166852e-6;7.97644753333847e-6;8.920835745724302e-6;7.3935760180382095e-6;7.651247749022654e-6;1.0640373671169751e-5;4.7376065102360955e-6
8.922772772188834e-6;1.9411967856820524e-8;8.427318172643003e-6;1.0023852069002104e-5;8.349231620330765e-6;1.129081142052441e-5;1.1126557302915882e-5;4.8548387842781035e-6
1.3417989706424112e-5;2.6822090278967057e-6;8.867756965507508e-6;1.1219028495864352e-5;9.266615027186462e-6;1.4995116262759377e-5;1.1802914559733068e-5;4.962822871837178e-6
1.2135832004698638e-5;4.496309892270319e-6;9.294957802284096e-6;1.2703609174169162e-5;1.0216377519050645e-5;1.2821513013383359e-5;1.2876702260712029e-5;5.062635968063337e-6
1.1124156636465399e-5;5.383326886759033e-6;9.722969313186275e-6;1.4999064878142973e-5;1.1285225266316928e-5;1.1586897124087504e-5;1.4994180160308358e-5;5.15479311151739e-6
1.0232580688255889e-5;5.922630070637467e-6;1.016794226047003e-5;1.2615482855440195e-5;1.2694410722073367e-5;1.0597027437879255e-5;1.2530406577925699e-5;5.240934301274793e-6
9.393099934940633e-6;6.268419547887227e-6;1.0589365105990711e-5;1.106410204527954e-5;1.4994573097803274e-5;9.694386607131244e-6;1.1059639516597949e-5;5.322949635494477e-6
8.577682814559837e-6;6.463120722166182e-6;5.03594064821778e-6;9.79387744119999e-6;1.1282174961747867e-5;8.827797910650404e-6;9.834706193572692e-6;5.403026642882737e-6
7.770329603554397e-6;6.528799421933469e-6;5.409322480673318e-6;8.604471023520978e-6;7.864562082087325e-6;7.970286990279653e-6;8.680234766696766e-6;5.483930532886227e-6
6.944222700260052e-6;6.458761317020402e-6;5.740971496692886e-6;7.416911788228697e-6;4.131935159959358e-6;7.094881399898908e-6;7.5168614601327245e-6;5.570303930041927e-6
5.554501345144878e-6;5.49874726683796e-6;5.5346703613468304e-6;5.5550933038618555e-6;1.1364839765595015e-8;5.5537050993132834e-6;5.552834512516793e-6;5.553202611111634e-6
2.7492723333404326e-9;2.4267589334962234e-8;1.4783380890717495e-8;1.132912079266703e-9;1.0095887924181231e-8;4.181467880140301e-9;5.490023768104992e-9;2.718773783967272e-9
