x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.6114907769215376e-6;1.8804741811615799e-6;6.578312282090112e-7;1.6098058160865904e-6;1.3419559903906008e-6;3.0330317238055745e-6;9.201585540388999e-8;1.0024399507984016e-6
7.041275912604464e-6;2.86055845427819e-6;9.373359700134233e-7;2.561101127771161e-6;1.9080078787690193e-6;5.5277057905243105e-6;1.197584204968324e-7;1.5607217738978e-6
9.894471931002317e-6;3.4794609991128197e-6;1.0834504789711347e-6;3.1503862075940593e-6;2.2392364980560606e-6;7.461603111809194e-6;3.623983146041882e-6;1.9509884039009335e-6
9.984292432300553e-6;3.976123226703532e-6;1.1696323572805877e-6;3.7339055401731366e-6;2.454437345580382e-6;9.99730506255371e-6;6.963327573278731e-6;2.297570415285997e-6
9.802778027998347e-6;4.361653476200188e-6;1.210499114802484e-6;4.239626695307619e-6;2.580074894598295e-6;7.899023953291058e-6;9.968013192246708e-6;2.593296633856271e-6
9.791009550085691e-6;4.667950199741051e-6;1.2128144229172309e-6;4.698449005633579e-6;2.633899904503513e-6;6.4165032037466e-6;7.953574324981041e-6;2.854612903356145e-6
9.99830157519361e-6;4.913510351624922e-6;1.1781322052277824e-6;5.131396795313081e-6;2.62099468493108e-6;5.000170941107394e-6;6.4925691526205815e-6;3.091788715170117e-6
7.513984180530573e-6;5.109318826206075e-6;1.1068628233993742e-6;5.550009343226816e-6;2.542301857494429e-6;2.8873630249285122e-6;5.092041115990206e-6;3.310988642710187e-6
5.618091685826616e-6;5.26466363192843e-6;8.008702073143564e-7;5.96122802869e-6;2.393270153399917e-6;7.073394830043795e-9;3.2391216827658822e-6;3.516373515210762e-6
3.1524736843219912e-6;5.388677767969318e-6;4.777165493441869e-8;6.365220396257047e-6;2.1576347683650625e-6;2.696202274410209e-6;7.942908458791997e-7;3.7109817067136177e-6
4.8646548639160135e-9;5.486535281106824e-6;2.8837418016411814e-6;6.7886646142468115e-6;1.6671748490808864e-6;4.307755610882681e-6;5.243137653727073e-6;3.897158373622463e-6
2.8563384290172533e-6;5.561804906034396e-6;4.903646263059941e-6;7.222293142874137e-6;7.243295212102939e-7;5.520075823263569e-6;9.683912988992071e-6;4.076787180947948e-6
4.706107523899845e-6;5.617151944302802e-6;6.283219017991926e-6;7.674075052709949e-6;5.178867679467489e-6;6.694208915483767e-6;9.220024629169685e-6;4.251439699246922e-6
6.215035427790668e-6;5.6549195653247156e-6;7.793161021885678e-6;8.190250532375588e-6;9.624890209817933e-6;7.999901582020406e-6;9.098569130659523e-6;4.422398945921892e-6
7.8009543251797e-6;5.676980448700814e-6;9.986741286338069e-6;8.846536285141491e-6;8.612896279403729e-6;9.997241949070075e-6;9.08662960626043e-6;4.590721640459374e-6
9.998244548042879e-6;5.684793828758576e-6;8.754189257531862e-6;9.998730426442588e-6;8.02606133440665e-6;8.836970235747304e-6;9.209986316323743e-6;4.757278579452703e-6
7.889799329988902e-6;5.678979120462038e-6;8.09555019502419e-6;8.73226658259149e-6;7.572331598943659e-6;8.182526397117626e-6;9.996436727096221e-6;4.922839074923892e-6
6.382475085146215e-6;5.660861981168215e-6;7.580375992552272e-6;7.978109739177664e-6;7.188980109254488e-6;7.642965647440376e-6;7.842901419824664e-6;5.085823064203236e-6
4.961457232338169e-6;5.632361966995723e-6;7.127317764865954e-6;7.377812074021095e-6;6.84858519312184e-6;7.158695282581364e-6;6.401513837384118e-6;5.248029373890885e-6
2.8786050346436325e-6;5.599420317260189e-6;6.704899250076249e-6;6.844747059947989e-6;6.530586894734153e-6;6.701729439895248e-6;5.0207780420399935e-6;5.4084925646032455e-6
6.148560619624394e-9;5.619444707615382e-6;6.298800519134245e-6;6.341103980565464e-6;6.219076952759264e-6;6.258430263166901e-6;2.9342573149295987e-6;5.566319994985449e-6
1.9539286220836106e-7;5.102672153294967e-6;5.543597901849561e-6;5.555250662394079e-6;5.536371429158891e-6;5.552930112041054e-6;1.2690283960640388e-8;5.552444951530191e-6
1.9948969488708304e-7;1.8105824510837928e-8;1.6236344337603124e-8;1.0964290026711374e-9;2.6982918701666994e-8;3.948890048198964e-9;1.1353624653303178e-8;2.817594787406935e-9
