Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeD;G_TypeB;Demand;Total_PV
1.0;0.039999836457255744;3.416351715944859;2.144492820519581;4.999999745339427;0.0;1.9328552427333339;0.0;-0.20684230232366038;-0.20817757611913698;-0.20684028071653884;-0.20784046227342826;-11.664;0.0
2.0;0.03999985580026869;2.4595768785811467;2.9143362947407656;4.999999745339319;0.0;1.6242674448448398;0.0;-0.1974885161639853;-0.1987631399510041;-0.19748732738169397;-0.1984422529626189;-11.206;0.0
3.0;0.040000106700672756;2.383927148311439;2.8348623984609644;4.9999997453420795;0.0;1.492214473563253;0.0;-0.1894669051603101;-0.19068939844407715;-0.18946601871273402;-0.1903821366649162;-10.951;0.0
4.0;0.040000062806028996;2.6273675115253754;2.595238023921019;4.999999745341907;0.0;1.3559535580703768;0.0;-0.18212638117813262;-0.18330147883627892;-0.1821256387055669;-0.18300618370066854;-10.848;0.0
5.0;0.040000086947633524;2.267994290367807;3.072579676441103;4.999999745342169;0.0;1.3015536221323576;0.0;-0.17628496785599437;-0.17742226629520738;-0.17628431867274397;-0.17713660652095253;-10.935;0.0
6.0;0.04000008624179546;3.1751756769719193;2.47512832800712;4.999999745342467;0.0;1.4598259076072582;0.0;-0.17503908369934718;-0.17616828298869808;-0.17503849999651233;-0.175884761737814;-11.408;0.0
7.0;0.04000008011423539;3.459888973252361;3.2032251962770513;4.999999745342348;0.0;1.6162347306127705;0.0;-0.18207395426849787;-0.18324850097805967;-0.1820734230452285;-0.18295371621084458;-12.549;0.0
8.0;0.040000111977124136;4.111718899872829;3.983707834626748;4.999999745342775;0.0;1.8096374447843437;0.0;-0.19322130772789928;-0.1944677604415564;-0.19322076692701945;-0.1941550545096833;-14.13;0.0
9.0;0.04000010546098893;4.230039285188424;4.753582122350889;4.999999745342619;0.0;2.1508875068046627;0.00012888170417799647;-0.19785163590156793;-0.1991279210152945;-0.19785112268721083;-0.19880779857167305;-15.341;3.306489631098215e-8
10.0;0.0400001187760509;4.277523202629882;4.839269120628506;4.99999974534266;0.0;2.464063253175698;0.005744368260044507;-0.19335521524142318;-0.19460172759238037;-0.19335472682424945;-0.19428890943910093;-15.811;1.5058882075692963e-6
11.0;0.040000052256400936;4.268019358167105;4.4774776404964785;4.999999745342046;0.0;2.7263612603454046;0.022560936355554784;-0.18458595604599995;-0.1857735277683483;-0.18458553678233472;-0.18547490488067742;-15.754;6.154286043992123e-6
12.0;0.040000052665347154;4.2561445113870375;4.242720776232883;4.999999745342042;0.0;2.8759598138815257;0.03962851084023168;-0.17886205213503387;-0.18000999543916324;-0.17886164714705385;-0.17972064931491036;-15.697;1.150635574498343e-5
