Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;12.4936995245372;-11.664;-0.8297006214327645;0.0;0.0;4.461120483918459e-6;0.0
2.0;11.998180363506071;-11.206;-0.7921812364593022;0.0;4.015008435526613e-6;2.49992804127463e-6;0.0
3.0;11.711003765677736;-10.951;-0.7600044589820375;0.0;6.2645421718302275e-6;1.7238524823776487e-6;2.0139898586533438e-7
4.0;11.578558838858678;-10.848;-0.730559682420647;0.0;7.591555085077804e-6;1.512669502212341e-6;2.0524883230669391e-7
5.0;11.642127334283437;-10.935;-0.7071281593448983;0.0;8.724158186378736e-6;1.2142255682897553e-6;2.0998630432089918e-7
6.0;12.110129657928763;-11.408;-0.7021306284223715;0.0;9.582791514501647e-6;1.0302749477620408e-6;2.2001165044301742e-7
7.0;13.279348645484532;-12.549;-0.7303495945026306;0.0;1.0264644147347782e-5;9.016455922045216e-7;2.3236290275441438e-7
8.0;14.905063924626695;-14.13;-0.7750648896061585;0.0;1.0816938561249539e-5;8.033904877410123e-7;2.4611291352257804e-7
9.0;16.134637541390774;-15.341;-0.7936384781757463;3.306489631098215e-8;1.1265470361950338e-5;7.292673213338605e-7;2.575528831269185e-7
10.0;16.58659969003679;-15.811;-0.775600579097154;1.5058882075692963e-6;1.1634535382366479e-5;6.701656149534319e-7;2.6922617592477954e-7
11.0;16.494418940706588;-15.754;-0.7404199254773604;6.154286043992123e-6;1.1937401635207235e-5;6.229682034154508e-7;2.814594886647512e-7
12.0;16.41445335768372;-15.697;-0.7174543440361614;1.150635574498343e-5;1.218416736132744e-5;5.821019928040089e-7;2.9459747428654135e-7
13.0;16.262238852913516;-15.558;-0.7042398412805957;1.6357438851423696e-5;1.2379531059522752e-5;5.477519354729753e-7;3.0903203899547737e-7
14.0;15.977339200504396;-15.279;-0.698340208596105;1.9895094049333624e-5;1.2527921764518159e-5;5.18303626562577e-7;3.248197806007449e-7
15.0;15.696590758689519;-14.992;-0.7045917715673642;2.0614906664233674e-5;1.2632252217306746e-5;4.927593926815301e-7;3.4265442518040544e-7
16.0;15.817626934737838;-15.078;-0.7396279837302717;1.6796450707161452e-5;1.2693766154801933e-5;4.703346723434302e-7;3.628752189009287e-7
17.0;16.160920416901735;-15.366;-0.7949215275177491;9.908815853272724e-6;1.271262414402072e-5;4.482444216677867e-7;3.8533695603862285e-7
18.0;17.08016622677654;-16.192;-0.8881673574158968;2.942320930495807e-6;1.2686641536123961e-5;4.2798895299793877e-7;4.0974541992388e-7
19.0;16.95765061103605;-16.025;-0.9326517867512689;1.3029318085253032e-8;1.2615311089257062e-5;4.101741644044904e-7;4.3643225406877677e-7
20.0;16.354194455315543;-15.406;-0.9481957741289374;0.0;1.2498302427761973e-5;3.9570426718817133e-7;4.632952051974705e-7
21.0;15.545193163276501;-14.601;-0.9441946029719448;0.0;1.2338434836162018e-5;3.9080603733925026e-7;4.920240411263978e-7
22.0;14.699473373571083;-13.772;-0.9274746485909504;0.0;1.2142253895647277e-5;2.80750662884403e-7;1.191900068690948e-6
23.0;13.798473489344659;-12.903;-0.8954628339139343;0.0;1.1069402705589946e-5;3.851843378767817e-8;9.960275337472216e-6
24.0;13.034528066466653;-12.174;-0.8605990753822098;0.0;3.6010606929826504e-8;2.211957204040296e-8;9.934166568576257e-6
25.0;11.176959826192672;-10.439;-0.7379624070942359;0.0;0.0;4.6966042180668715e-6;0.0
26.0;10.884375785655973;-10.178;-0.7063595258594222;0.0;4.226943796260184e-6;2.81346445781886e-6;0.0
27.0;10.773781352424765;-10.094;-0.6797820085823854;0.0;6.758639113917533e-6;1.964715436203796e-6;1.8111512226237064e-7
28.0;10.769101387627925;-10.115;-0.6541022299446926;0.0;8.32491690213995e-6;1.7514682922389127e-6;1.824631640632383e-7
29.0;11.048582988881064;-10.408;-0.6405838940559111;0.0;9.697682987442483e-6;1.4604185030382875e-6;1.7606618508122717e-7
30.0;11.971414101690723;-11.313;-0.6584150299596198;0.0;1.081548162573638e-5;1.2889519139195214e-6;1.7766310292837664e-7
31.0;12.860759571073158;-12.192;-0.668760478177039;8.100366259187103e-7;1.1777074200796062e-5;1.1793520315984923e-6;1.8139515114500072e-7
32.0;13.07512835457892;-12.432;-0.6431291586638295;1.7904260132780002e-5;1.2635784002268615e-5;1.1087548415153662e-6;1.8525949096164766e-7
