x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.759320248013028e-6;7.78515847815793e-6;7.997433115994663e-6;7.715499873828738e-6;7.622376056162328e-6;7.641198076577305e-6;7.580602401424248e-6;7.702822278354329e-6
1.4202529815847441e-5;1.4263235856685448e-5;1.4399649491941593e-5;1.4113355256404804e-5;1.3910093868877658e-5;1.3977103222409009e-5;1.4039167991568822e-5;1.4100745727913793e-5
1.0226628546571448e-5;1.0272453300910288e-5;9.79960209891167e-6;1.0200873153360205e-5;1.0358340700270664e-5;1.023408604292204e-5;1.0199044709055585e-5;1.0251682728494492e-5
1.044058953629267e-5;1.0470558221184192e-5;1.0484961219489342e-5;1.0404417607517424e-5;1.045621337498479e-5;1.037727259673381e-5;1.0417937622314834e-5;1.0416519388012903e-5
1.0526606046786298e-5;1.0545197931178375e-5;1.0978072332325302e-5;1.0427543579802842e-5;1.0436067580854546e-5;1.0376781507248576e-5;1.04418879000217e-5;1.042777844108405e-5
1.0620643202289962e-5;1.0635607459876692e-5;1.06222521053539e-5;1.0369138116839307e-5;1.0363306621487405e-5;1.0331453997717436e-5;1.0395921220434769e-5;1.041453777614331e-5
1.042099798551611e-5;1.0401039920989678e-5;1.0396643345564781e-5;1.0314124904654092e-5;1.0304112897355481e-5;1.0292805881870892e-5;1.0400589679054721e-5;1.0478517662244918e-5
1.0307484340583946e-5;1.022887162594983e-5;1.0170164519925904e-5;1.0276988756131872e-5;1.0254034146918903e-5;1.0266981926805312e-5;1.050835660060205e-5;1.036936972727027e-5
1.0261416890694738e-5;1.0021391866477568e-5;9.777861167555685e-6;1.0245172677643037e-5;1.0187456899083359e-5;1.0249678450877197e-5;1.0342752866832345e-5;1.0277384467926783e-5
1.0234953885062456e-5;1.0165784766866096e-5;1.0082906048477304e-5;1.0175849470157735e-5;1.0050051854629022e-5;1.0245555588410049e-5;1.026559535882407e-5;1.0239050008941315e-5
1.0230761331784934e-5;1.0230852997477384e-5;1.0207654116852648e-5;1.0026003853174095e-5;1.0175141835333875e-5;1.0244419739184074e-5;1.024102986841553e-5;1.0233200639304782e-5
1.0226787597724701e-5;1.0237537271571644e-5;1.0243700781001044e-5;1.0163600551542317e-5;1.0244060879740008e-5;1.0243754609365452e-5;1.0232415796117307e-5;1.0231802302938208e-5
1.0222496493029476e-5;1.0233105976615956e-5;1.0230513908335405e-5;1.0239486480765161e-5;1.0305022790804136e-5;1.0245478911649769e-5;1.0227627819767918e-5;1.0232046631085281e-5
1.0219867559439417e-5;1.0232706187379105e-5;1.0244290380235933e-5;1.0306465482554482e-5;1.0434981241827136e-5;1.0256285637574896e-5;1.0224581883674976e-5;1.023689068352504e-5
1.0220770379849183e-5;1.0246626515411389e-5;1.0357730464733391e-5;1.0446185329647451e-5;1.0303221287658864e-5;1.029934812376259e-5;1.0224433406944596e-5;1.0229085888307244e-5
1.0227034138411999e-5;1.031118375747615e-5;1.0667425091523769e-5;1.0301403985368163e-5;1.0250920911406947e-5;1.0393813284243455e-5;1.0229565908154034e-5;1.022475271015533e-5
1.0215776014889773e-5;1.0466240539489276e-5;1.0333772300840817e-5;1.0239102867940545e-5;1.0227357627088386e-5;1.0288909801476868e-5;1.0218303934749575e-5;1.0221634248594102e-5
1.0206833284623727e-5;1.0301970074244698e-5;1.0190090542650464e-5;1.0228049028895392e-5;1.0218571239430315e-5;1.0244221570052518e-5;1.0210420810484928e-5;1.0216746344382825e-5
1.01977827914642e-5;1.0232936248453595e-5;1.0143442141010101e-5;1.0213104236784398e-5;1.0212544834311874e-5;1.023177532911395e-5;1.0204268931537707e-5;1.0204384667401599e-5
1.0170287331316876e-5;1.019295890550778e-5;1.0121893273110264e-5;1.0197594213587676e-5;1.0200625591276235e-5;1.0215401700612215e-5;1.0192195248543643e-5;1.0144742507367844e-5
1.0033008859438957e-5;1.0113928751166426e-5;1.0048105527328394e-5;1.0127325246394899e-5;1.013373550046718e-5;1.0115188906351398e-5;1.0123372173565349e-5;9.960661422582277e-6
9.565597383253312e-6;9.730795303852995e-6;9.533250989815955e-6;9.764954534911618e-6;9.7846918426959e-6;9.745578593177136e-6;9.760318419531071e-6;9.784213812754697e-6
8.930558548778868e-6;8.65830407388402e-6;7.94836370501074e-6;8.761316875427093e-6;8.824949364105733e-6;9.162337709885924e-6;8.751209480977986e-6;9.123221715474069e-6
