x1;x2;x3;x4;x5;x6;x7;x8
5.260706998582229e-6;5.339311534132461e-6;5.25176819546162e-6;5.162154293069691e-6;4.82151207829224e-6;5.195030188761915e-6;5.045802701564607e-6;5.208814973253002e-6
4.760498784370994e-6;4.964632955576767e-6;4.73379259669886e-6;4.6117253707506395e-6;4.683559885059218e-6;4.6490063344898825e-6;4.279222902863917e-6;4.65657386823124e-6
4.168595172325515e-6;4.50483765458488e-6;4.123395428969881e-6;3.943619819668793e-6;4.19514939375874e-6;4.187008903205433e-6;3.645587439348744e-6;4.137602997422327e-6
3.900590961515835e-6;4.271338093921817e-6;3.819363698157686e-6;3.6301845074930513e-6;3.934497853659755e-6;3.94951572223527e-6;4.229650678706765e-6;3.867186000166373e-6
3.917497092078815e-6;3.0134109806935284e-6;3.6920994952475883e-6;3.4879989478822585e-6;3.846552961819936e-6;3.903573758804679e-6;4.18312918047275e-6;3.7479320946937203e-6
4.124141689441425e-6;3.2644992598312076e-6;3.6379130434870434e-6;3.425432571701824e-6;3.757441428217171e-6;3.379881339010064e-6;3.296733614147622e-6;3.7933113217428518e-6
2.980466122938902e-6;3.3492427502899596e-6;3.615947252811022e-6;3.398361459482112e-6;3.375556953681203e-6;3.4969065093190885e-6;3.430955632954411e-6;3.9361387652783556e-6
3.247057842196331e-6;3.3733025005483286e-6;3.604351384650066e-6;3.3845261158513112e-6;3.4871397236827202e-6;3.5376081237304886e-6;3.477119141001125e-6;3.248108247766819e-6
3.3418087330121174e-6;3.3795289047907453e-6;3.598102470119854e-6;3.3782652048077246e-6;3.525069469492224e-6;3.5499856986572145e-6;3.4912929299142116e-6;3.4143169787508973e-6
3.372859527167949e-6;3.379727724342315e-6;3.5937622036972106e-6;3.374342566686793e-6;3.5366315147432523e-6;3.553396061262311e-6;3.4945707075664386e-6;3.474076455486877e-6
3.3814082811008916e-6;3.3775035598049275e-6;3.590574980605744e-6;3.3711837260501186e-6;3.5396108163397113e-6;3.554037513757621e-6;3.4948240463915983e-6;3.4962381608704107e-6
3.3828200022353214e-6;3.375256790427998e-6;3.5882224840400223e-6;3.368739657895514e-6;3.5400781132845e-6;3.553975474544649e-6;3.4941324050478246e-6;3.5006132436634753e-6
3.3823841209604875e-6;3.372968383996858e-6;3.587566425771467e-6;3.366703856322338e-6;3.5400014004327724e-6;3.5537452655327318e-6;3.4934593233680744e-6;3.5020561632771803e-6
3.3810623000163843e-6;3.3713429354553224e-6;3.590266137863153e-6;3.3654722516464878e-6;3.5399069044962993e-6;3.5535431376484237e-6;3.492699431525364e-6;3.5022358378055842e-6
3.3799220555033287e-6;3.370058585716397e-6;3.6022914235479466e-6;3.3640452844990835e-6;3.5397581232830367e-6;3.5533286886114792e-6;3.492152250390327e-6;3.5022592820235177e-6
3.3785294383460064e-6;3.3683660694801337e-6;3.639763354497185e-6;3.3623968356545285e-6;3.539100008952876e-6;3.5528972777174823e-6;3.4917187036105453e-6;3.502556539406858e-6
3.3759410018995356e-6;3.3654165003747313e-6;3.7387970412268408e-6;3.3596101499602663e-6;3.5323583081625975e-6;3.5516751788252017e-6;3.4911311037926185e-6;3.4977355901584364e-6
3.369003650518696e-6;3.360632867730353e-6;3.930846778510659e-6;3.3546370108882257e-6;3.5205756411994727e-6;3.5490688768123493e-6;3.4833576358961127e-6;3.4947842820564335e-6
3.3548419529795997e-6;3.345993175107426e-6;3.4548553038320946e-6;3.3392872896821863e-6;3.4829857404819925e-6;3.539920919976555e-6;3.473957967117562e-6;3.484268858192992e-6
3.311341286899011e-6;3.3012974780608026e-6;2.964705351033468e-6;3.294442729993059e-6;3.384882519774831e-6;3.5134800176840085e-6;3.4404981221580264e-6;3.452059872800707e-6
3.1838726553028064e-6;3.1707147449316627e-6;2.9190841030548947e-6;3.1625039127886635e-6;3.220563157309535e-6;3.438006424069776e-6;3.343850129087226e-6;3.3586775755898113e-6
2.820690898962676e-6;2.7994660536162402e-6;2.590925658988758e-6;2.78392537296697e-6;3.6729196440187018e-6;3.2406316027170443e-6;3.0858533423767936e-6;3.1102320891560486e-6
2.0581739471887385e-6;2.021677749696352e-6;3.3748356906067207e-6;1.9956397448626092e-6;3.312046227893807e-6;2.812307649838159e-6;2.5283808781785627e-6;2.572051474085666e-6
1.7200623680657945e-6;1.672300368165033e-6;3.3710559690454468e-6;1.6387048052761686e-6;3.516128460770922e-6;2.7430768817344016e-6;2.3626182884878053e-6;2.4103333489217013e-6
