x1;x2;x3;x4;x5;x6;x7;x8
8.673904653342182e-6;8.372405774872139e-6;8.692933542211524e-6;8.559570185433652e-6;8.546502035359052e-6;8.564846740621534e-6;8.495439519634273e-6;8.640155874001749e-6
7.28274212261728e-6;7.058443046096027e-6;7.2302648492287894e-6;7.382596444036655e-6;7.096241358158886e-6;7.128431853031685e-6;7.03362191300702e-6;7.1791791689819946e-6
5.6101302183498754e-6;5.6585637374378385e-6;5.623951313864486e-6;5.609433470545495e-6;5.640803127337729e-6;5.6605919968104655e-6;5.664520460750839e-6;5.582024843990462e-6
6.0007164751376155e-6;5.9472890780635234e-6;6.006000360779061e-6;6.02378602798545e-6;5.969398947736946e-6;6.041608468766891e-6;5.967162738728386e-6;5.950571391918583e-6
5.9324179899234295e-6;5.909505921312128e-6;5.926979211843329e-6;5.9366135236865965e-6;5.924535540357243e-6;5.8141552243519654e-6;5.9280289096482246e-6;5.874661223340228e-6
5.9000000917501475e-6;5.864902607074979e-6;5.861755887021731e-6;5.851634860007569e-6;5.884494505919321e-6;5.819258705623859e-6;5.854359208034716e-6;5.813173164897873e-6
5.9276986308887115e-6;5.842570248948258e-6;5.827154658456553e-6;5.8082783877900585e-6;5.74678714696621e-6;5.794298312323906e-6;5.8367821969937365e-6;5.780164192675343e-6
5.671047734919458e-6;5.839401004152242e-6;5.80636762287541e-6;5.778315395282628e-6;5.853804489519037e-6;5.753015344340355e-6;5.823700571258379e-6;5.759734676440948e-6
5.7350441873926926e-6;5.852727108454445e-6;5.791902551771623e-6;5.757871873635304e-6;5.8160011898481915e-6;5.707292626742889e-6;5.815194525360231e-6;5.745718584761064e-6
5.730861674257889e-6;5.776954487901468e-6;5.776514597049499e-6;5.743680844522793e-6;5.806575214467269e-6;5.863505212068635e-6;5.8101173710358525e-6;5.736274342032261e-6
5.691817929822099e-6;5.7122736580831925e-6;5.757492827796473e-6;5.7321868660306875e-6;5.8039197312703426e-6;5.804057232272218e-6;5.806927309486023e-6;5.7299950256059405e-6
5.624723863580398e-6;5.853747479723542e-6;5.800160983691136e-6;5.72274963491054e-6;5.801970502314629e-6;5.794608670375047e-6;5.804901896096963e-6;5.72560071442359e-6
5.865274799357853e-6;5.813668294487183e-6;5.7863423629829615e-6;5.716594769981127e-6;5.80031208416815e-6;5.798454307304281e-6;5.803448928117429e-6;5.722341529493893e-6
5.812974655383008e-6;5.80681428495482e-6;5.793795964400004e-6;5.723730743334025e-6;5.7991332382133555e-6;5.819880276530446e-6;5.802672725961681e-6;5.719662869214941e-6
5.861588416333384e-6;5.806904622530567e-6;5.745741951527568e-6;5.776550454922884e-6;5.798808063672765e-6;5.863507479893636e-6;5.805765339715237e-6;5.717633881830417e-6
5.625573210110792e-6;5.807205665217547e-6;5.760121820422554e-6;5.8863897062799815e-6;5.800664355136831e-6;5.697900971429116e-6;5.822466255662576e-6;5.7175496778379125e-6
5.709167259786532e-6;5.807083655289269e-6;5.760419954791202e-6;5.449147025036525e-6;5.7956408393953506e-6;5.743280371653536e-6;5.856079612715064e-6;5.720800792002197e-6
5.704637796431839e-6;5.806446003823e-6;5.759174283027132e-6;5.590391926964442e-6;5.814953740220995e-6;5.755798382877065e-6;5.723194170108307e-6;5.704293382763646e-6
5.710733788707702e-6;5.806138438411068e-6;5.757748421021576e-6;5.615643067063303e-6;5.832859696749507e-6;5.75326359247681e-6;5.768190254522133e-6;5.711692916113013e-6
5.706188739944129e-6;5.802739099504498e-6;5.754216026730353e-6;5.619181867675634e-6;5.635515830866278e-6;5.748477137597363e-6;5.771256680347777e-6;5.709461919300123e-6
5.670106849887363e-6;5.776852010736182e-6;5.728768918752966e-6;5.589798020574075e-6;5.8123484255662644e-6;5.720261768077008e-6;5.7399623915161985e-6;5.680085644555317e-6
5.501598848059675e-6;5.6720170249255e-6;5.615337542722669e-6;5.379653856598681e-6;5.6595566293244645e-6;5.584136356313951e-6;5.606691493207177e-6;5.5234198859176056e-6
5.160719498710754e-6;5.4778699925096564e-6;5.395097345630616e-6;4.862957906898561e-6;5.4467353071964745e-6;5.278478988397908e-6;5.349654203235911e-6;5.15548389406365e-6
6.517054212047341e-6;6.470732388213529e-6;6.522566869162279e-6;5.604058560667811e-6;6.442405977065494e-6;6.114183979816431e-6;6.430849535823291e-6;6.0593470361924794e-6
