x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.5317328669882264e-6;1.8647377294040224e-8;1.559288811086031e-6;6.273946338855302e-9;2.888773514024534e-6;3.936007540221511e-6;4.6389530566041537e-7;9.584314547013526e-7
7.015042713095051e-6;3.008073051151905e-6;2.0583935176081702e-6;2.486839886980728e-6;5.144232485689131e-6;7.82908859633918e-6;6.543627322775721e-7;1.4911943228743656e-6
8.36535000407034e-6;5.188014830753413e-6;2.2929570823248196e-6;3.835561860470178e-6;6.7847732799590395e-6;1.1427652075154924e-5;5.10059272857903e-6;1.911541101652805e-6
9.692234036731357e-6;6.77610225974542e-6;2.4954115208388846e-6;4.914102652581682e-6;8.280884335227114e-6;1.4990988546485186e-5;9.546141715772285e-6;2.29364681151592e-6
1.1043920550376521e-5;8.090781287786932e-6;2.595884529370232e-6;5.788230790682708e-6;9.630890555201727e-6;1.19434195356658e-5;1.3987446911812648e-5;2.6061833082897574e-6
1.2608084455463089e-5;9.311115451155419e-6;2.6279615695525686e-6;6.571822149755937e-6;1.0737053753267802e-5;9.515348652635157e-6;1.2792616982324279e-5;2.8805052276905608e-6
1.4994992199504676e-5;1.0524169379008438e-5;2.600259409720553e-6;7.306614364264441e-6;5.202106843821451e-6;7.101667063520584e-6;1.2160959485398153e-5;3.1286741173169125e-6
1.1911645364689152e-5;1.1873838394510888e-5;2.512676682830808e-6;8.010498142801508e-6;6.010661121137481e-6;3.8734774067242545e-6;1.1749179666788651e-5;3.357021050769934e-6
9.575313667581633e-6;1.3639788341069251e-5;2.3529004619306824e-6;8.695128483328656e-6;6.6323986801596976e-6;2.2675675065849843e-8;1.1481511267993256e-5;3.5696702007062304e-6
7.325617520649653e-6;8.116130698697202e-6;1.963093341058827e-6;9.370974926863945e-6;7.198452013227334e-6;3.21538385168928e-6;1.1333274980199228e-5;3.769749705510682e-6
4.4866666896536565e-6;2.5779712795927564e-6;1.0028436785788985e-6;1.004483615435815e-5;7.727379458592402e-6;5.9753694381108875e-6;1.1294247916059706e-5;3.959744814036836e-6
1.0268458942644828e-6;4.398046557947663e-6;5.464450013582448e-6;1.0730203482809669e-5;8.223070137111113e-6;8.076584292364195e-6;1.1354805244467412e-5;4.141625268361051e-6
5.516018677753527e-6;5.250757152867371e-6;9.922805941560258e-6;1.144294964770687e-5;8.690591873454163e-6;1.0087041475865882e-5;1.151406359966672e-5;4.316909339982805e-6
1.0004770904499844e-5;5.7438155876695015e-6;1.438253719265111e-5;1.222234286888617e-5;9.136153427231923e-6;1.225210489481217e-5;1.1778120371569418e-5;4.486728901358022e-6
1.4492920865856004e-5;6.093956236537239e-6;1.2643935660991532e-5;1.320051721360919e-5;9.565348097468089e-6;1.4991792823755968e-5;1.2188187073345954e-5;4.651915006278368e-6
1.2639411192295935e-5;6.334363315307796e-6;1.1560416629079216e-5;1.4997813035315758e-5;9.981332802571928e-6;1.282036367181935e-5;1.2958825657575205e-5;4.813108609405266e-6
1.1392907023942499e-5;6.473335618877659e-6;1.062753021856892e-5;1.2680015946966585e-5;1.0383626911477446e-5;1.1537135308436056e-5;1.4989668103426759e-5;4.97089209708639e-6
1.0301596548799227e-5;6.51879281135993e-6;9.758697911247234e-6;1.1193579152264315e-5;1.0770477009556683e-5;1.0451229326091478e-5;1.2437137015848414e-5;5.125846492425096e-6
9.266165264647974e-6;6.486951855613256e-6;8.91546093836128e-6;9.917571157546435e-6;1.1134653824831794e-5;9.421712897210706e-6;1.0779472696622724e-5;5.278562901327742e-6
8.249701483483632e-6;6.416127232806736e-6;8.08594292865971e-6;8.696132951574076e-6;5.591501829785582e-6;8.409779948867122e-6;9.333558871330726e-6;5.429229504299735e-6
7.202670523811897e-6;6.360863382750948e-6;7.296294776444418e-6;7.43155887199393e-6;5.979017424866625e-6;7.370516672030604e-6;7.876608407561624e-6;5.5763546842179535e-6
5.5359474758496115e-6;4.838223010369583e-6;5.543855402769147e-6;5.554746356753789e-6;5.523166078795446e-6;5.552644656996818e-6;5.507097261040979e-6;5.54920661794516e-6
3.757743788528779e-9;9.378738093172014e-8;3.6767937804594636e-8;3.5063638113943594e-9;4.9826804394428605e-8;1.1697155023540361e-8;7.141937630180339e-9;7.855391308040504e-9
