x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.966628279406749e-6;3.386308550429462e-6;1.9833966677008543e-6;4.494005239897077e-6;3.197716276281379e-6;3.2093904019819055e-6;3.027079788903994e-6;2.9263184059797224e-6
5.37122565249633e-6;6.517911702195815e-6;2.9637155317900024e-6;4.520040737869382e-6;5.995589222653282e-6;6.033047703030101e-6;5.5071252085227e-6;5.228574037822628e-6
7.2049429365781975e-6;9.270475774362583e-6;3.4333273144442667e-6;4.330959637513598e-6;8.166513100820173e-6;8.197243471585029e-6;7.343111407599682e-6;6.827885336317112e-6
8.923602301093647e-6;1.1979009331059368e-5;3.806122099413515e-6;4.1216825780200425e-6;1.022224959153447e-5;1.02408199647265e-5;9.040710097637412e-6;8.285702318291117e-6
1.0566532866780535e-5;1.4988684926874756e-5;4.001612927912341e-6;3.896495107745465e-6;1.2353325368792928e-5;1.2363613700423938e-5;1.0662233099871501e-5;9.600145895517694e-6
1.2417358898841127e-5;1.3341783831771836e-5;4.082751810303914e-6;3.6450618543945983e-6;1.4985704970504051e-5;1.4984834243504771e-5;1.2500899695440025e-5;1.0970823825681252e-5
1.4989493922887877e-5;1.2532059937437539e-5;4.064668327970817e-6;3.3592561262555033e-6;1.2371021094014089e-5;1.1835664700252269e-5;1.498756481963134e-5;1.2610173496502207e-5
1.3000649055622712e-5;1.1906566001983925e-5;3.943549735692368e-6;3.024865766328915e-6;1.0601062557320735e-5;9.336863096309272e-6;1.1828476503031053e-5;1.4987074102025428e-5
1.196218078551708e-5;1.1365962095632966e-5;3.696706160241762e-6;2.5894161179593627e-6;9.068026325698988e-6;6.8567329111917475e-6;9.318190498463866e-6;1.3078106188046187e-5
1.1132888478148847e-5;1.0878354018778846e-5;3.2437514958397625e-6;1.6362223989345666e-6;7.544629449604397e-6;3.7457654816251707e-6;6.815689178392761e-6;1.1996930840042119e-5
1.0394210890158666e-5;1.0427428750566152e-5;2.1097686953319706e-6;2.026188446297553e-8;5.808900488844743e-6;2.6411573732412768e-8;3.695578022569952e-6;1.1157665771329685e-5
9.704113775529937e-6;1.0002326411051554e-5;1.1898334465245167e-7;3.1593582114085434e-6;3.2993934998606566e-6;3.798550450141122e-6;2.4776502123962333e-8;1.0421902051885067e-5
9.03650895073906e-6;9.594141370034462e-6;3.8921772500150256e-6;5.786833914644511e-6;3.1106161167758425e-8;7.703441353441611e-6;3.79780042712819e-6;9.73885731612567e-6
8.37270795962687e-6;9.195710715140918e-6;7.76883230412503e-6;7.918938624780808e-6;2.6196739473759854e-6;1.1324847307152235e-5;7.663449619978228e-6;9.080902909036555e-6
7.699743247208337e-6;8.802309902534271e-6;1.1330141859476092e-5;9.977545907772962e-6;4.447726083563124e-6;1.4987415167849234e-5;1.1310006069131914e-5;8.429185984151091e-6
7.003696998520933e-6;8.409868161237036e-6;1.4957091182677734e-5;1.2202266232243839e-5;5.376137947067872e-6;1.277753941976897e-5;1.4989838583978823e-5;7.768191145992435e-6
6.265928466584427e-6;8.014549406099418e-6;1.2559955261634415e-5;1.4989877905704752e-5;5.961044611179411e-6;1.1392056241029407e-5;1.2606128759107193e-5;7.081466577058112e-6
5.458697790316594e-6;7.613031681604296e-6;1.104764643836868e-5;1.230355388533131e-5;6.2957272636581785e-6;1.0274670835303106e-5;1.108052496392931e-5;6.349515008632002e-6
4.48406754799417e-6;7.202953362191592e-6;9.809042426375646e-6;1.0611175902120922e-5;6.415995892029954e-6;9.260238445912095e-6;9.823636422906366e-6;5.538433013963607e-6
2.7271735317981373e-6;6.785232097376312e-6;8.650646769057844e-6;9.155241585094597e-6;6.36261618250233e-6;8.28012095856324e-6;8.659360273866739e-6;4.541004146245932e-6
1.8298708867828265e-8;6.3763266257901926e-6;7.449061950874661e-6;7.728748465300103e-6;6.101882125988482e-6;7.274586270398723e-6;7.500319829698212e-6;2.788325602300962e-6
5.793720537603455e-7;5.552491861455717e-6;5.517107732197284e-6;5.552767812781274e-6;4.667191817264619e-6;5.545362075934018e-6;5.449461201404393e-6;2.6533374649491212e-8
5.861893341268035e-7;6.813575546784832e-9;3.1531644616700886e-8;6.5521014268509525e-9;4.078214190641413e-8;1.9815592665954753e-8;1.6116690635538034e-8;2.3552504715082982e-8
