x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.358833400427039e-6;2.609133842891308e-6;2.498214587220443e-6;4.4996670434970816e-6;2.388204894384837e-6;2.2358448624427477e-6;6.744653332287782e-7;2.3294511898906206e-6
3.846300392871671e-6;4.509779079354068e-6;4.176539412598728e-6;8.998965177003595e-6;3.9844476879760295e-6;3.65761189820893e-6;9.27965582054152e-7;3.7436147700656294e-6
4.876201664866228e-6;5.977704021109462e-6;5.355936180611677e-6;7.822562926738661e-6;5.206351040507257e-6;4.7387449912024895e-6;1.1108441892198429e-6;4.674374710016108e-6
5.874515317313605e-6;7.678208931849508e-6;6.568484190613771e-6;6.902662270956778e-6;6.428185483177427e-6;5.759359819989076e-6;1.2412636007880807e-6;5.514119100994987e-6
6.844711946101563e-6;9.999615931719407e-6;7.887275308758735e-6;6.063169404783879e-6;7.78983037920167e-6;6.772437239351805e-6;1.3336701777432646e-6;6.289097519944071e-6
7.962775969784463e-6;9.180077849946733e-6;9.992911232557145e-6;5.259167531059945e-6;9.999186926377114e-6;7.953103253379916e-6;1.3994656122520498e-6;7.086158571466224e-6
9.99801761274045e-6;8.746744112707955e-6;9.997115360127376e-6;4.447205371444974e-6;8.159084460959429e-6;9.998969210658717e-6;1.4460919987461723e-6;8.072695602169274e-6
9.94767570838111e-6;8.410114350165778e-6;6.839878109228445e-6;3.540387819663305e-6;7.064230454459777e-6;6.8668727621370605e-6;1.4785428794781858e-6;9.997494763191403e-6
9.946537560514945e-6;8.12191906417818e-6;3.608873930940713e-6;2.133954912756786e-6;6.096634644339207e-6;3.602885597536391e-6;1.4995128800681727e-6;9.8045843965136e-6
4.390731636702986e-6;7.865096815806057e-6;4.001188106239182e-9;9.526179893250627e-10;5.154732749472951e-6;2.9739503945170413e-9;1.5115910395744061e-6;9.754855880381504e-6
4.4709024754418205e-6;7.62995250393496e-6;1.7199809872319555e-7;2.4317927753632047e-6;4.1951873975864085e-6;2.770196301515918e-6;1.5174907392590176e-6;9.732764653093701e-6
4.568306615075442e-6;7.410951416469782e-6;2.02150271839935e-7;3.5291611540423287e-6;2.5019643453434677e-6;4.3086661364375915e-6;1.520706545311038e-6;9.728607249356943e-6
4.676764400846199e-6;7.204568712389909e-6;3.1760193326031035e-6;4.400191302363523e-6;2.7234266957926775e-9;5.449775967658653e-6;1.5191055708385443e-6;9.747388773862804e-6
4.791565779693045e-6;7.008361594467892e-6;5.370200703139573e-6;5.167935001287257e-6;6.072300815599751e-7;6.5501788425591e-6;6.0144132943795314e-6;9.999452161002852e-6
4.9085226769298204e-6;6.82053382928591e-6;7.388830556517036e-6;5.891227949627412e-6;6.749482678809751e-7;7.820819113234354e-6;5.992835641728452e-6;8.149209723969807e-6
5.025147229482283e-6;6.6397979801779475e-6;9.946601120379616e-6;6.61156246329952e-6;6.579717919160629e-7;9.998951017546185e-6;5.962199275431295e-6;7.014568843348132e-6
5.139980495611151e-6;6.4650123823816775e-6;9.613278548384827e-6;7.388086370712844e-6;6.351207192164593e-7;8.601545473600324e-6;5.9225783922976535e-6;6.024264272635257e-6
5.252013159221485e-6;6.295187762698459e-6;9.561581426679577e-6;8.346144075666187e-6;5.932868681203154e-7;7.919005304762006e-6;5.877541422232777e-6;5.061372441035809e-6
5.360424490946731e-6;6.129605039214178e-6;9.997803083338726e-6;9.999618074547227e-6;4.2286542478239173e-7;7.346242409567474e-6;5.827500977919864e-6;4.063594562044322e-6
5.463571966893035e-6;5.968899872530967e-6;8.136567336490202e-6;8.151840420132023e-6;1.3345925863302012e-8;6.830887717931628e-6;5.77344303901761e-6;2.42942200099732e-6
5.569313416775618e-6;5.818567640976199e-6;7.1431277382142475e-6;6.999492296266835e-6;4.465839777498345e-6;6.391869240295141e-6;5.722478084588112e-6;2.3454686320943507e-9
5.553602010662627e-6;5.55478461515474e-6;5.542324697151395e-6;5.555934954758901e-6;4.678247939983894e-6;5.5503250822337635e-6;5.552690896417116e-6;9.354621802320269e-8
3.0666472252248987e-9;2.898043366406805e-10;3.125170966624256e-9;3.9414194306665554e-10;2.403374147709924e-7;7.479584029974004e-10;4.308594503581413e-9;9.401734465468088e-8
