x1;x2;x3;x4;x5;x6;x7;x8
3.856329199768264e-6;3.3765409695581926e-6;2.8657235350417844e-6;2.190873819098464e-6;3.2346070720088732e-6;4.332018574842531e-6;3.7310179670767467e-6;1.8466369989500084e-6
3.502297343191761e-6;2.6536484820064906e-6;1.751529602899514e-6;1.0536424082328475e-6;2.362281764659894e-6;4.318938991049299e-6;3.224950929243401e-6;8.840670589034491e-7
3.260159304336138e-6;2.182774570349893e-6;1.2574699292815644e-6;6.922419424595282e-7;1.8404768635915933e-6;4.3191551533923375e-6;2.8699976068209647e-6;6.406559410602965e-7
3.1948394010560537e-6;2.0079889068377955e-6;1.1338145036218463e-6;6.151478144747003e-7;1.6651673384597592e-6;4.3684597735695884e-6;2.7095079784583706e-6;6.031550515488366e-7
3.2920880080635367e-6;1.750624747315509e-6;8.754694244370284e-7;4.662469733940819e-7;1.3739423685278936e-6;3.141168776557908e-7;2.508848617660043e-6;4.739093942369942e-7
3.7223716557380278e-6;1.6443248768960534e-6;7.20450245150209e-7;3.816196356997772e-7;1.213458984533021e-6;7.318047654973831e-8;2.45251865797942e-6;4.0797683416770525e-7
5.078837451713066e-7;1.5719805418946815e-6;5.740180032570541e-7;3.097943438810765e-7;1.0628879438332867e-6;7.327808753674125e-8;2.4249271886222793e-6;3.5933139166992894e-7
7.588287200110394e-7;1.5143846578246473e-6;4.199304028018571e-7;2.313934682590813e-7;8.795171350138382e-7;7.337346562606596e-8;2.414550505189901e-6;3.2198376679778246e-7
8.717055545517816e-9;1.4641756129320822e-6;3.337686813136105e-7;1.870487827842467e-7;6.505883408934996e-7;3.802756051650179e-6;2.420545103893223e-6;2.925125959952674e-7
1.1615426402886577e-6;1.4140779028807989e-6;3.9456682496609446e-6;4.130908386669215e-6;5.05076216449888e-7;3.023715883959479e-6;2.4465844798453327e-6;2.6892709188516033e-7
1.134590522087348e-6;1.357446524189575e-6;3.2320738210820705e-6;3.7344690857172027e-6;4.052475071254824e-6;2.5807758785809997e-6;2.5024371619563442e-6;2.5029636114629164e-7
1.1190482818143245e-6;1.2848481105274267e-6;2.8435513633899007e-6;3.562212204713627e-6;3.541095531781572e-6;2.3990035389941043e-6;2.607711290449355e-6;2.3485972499130453e-7
1.1172698996684846e-6;1.1802937771616712e-6;2.6522356226500606e-6;3.594001791551999e-6;3.306522539002732e-6;2.415441116937089e-6;2.796002999933912e-6;2.2183626611232391e-7
1.1336060112128303e-6;1.0157774736034782e-6;2.609455699187866e-6;3.894575567378327e-6;3.260138765864238e-6;2.673280268876925e-6;3.1278786079282407e-6;2.1065400407177401e-7
1.1719938218904416e-6;7.71747069150908e-7;2.715975528097508e-6;2.608134011614446e-7;3.407891815771777e-6;3.3213145913363034e-6;3.6694296831307596e-6;2.0090432159411747e-7
1.239443902198656e-6;5.939451133606142e-7;3.018037098810267e-6;4.334773398941114e-7;3.7908543371263403e-6;9.447153134410807e-8;9.034804807252218e-7;1.9230358122856328e-7
1.2572836534343436e-6;3.906046223493389e-6;3.579442501495118e-6;1.2709750838167752e-6;6.380644175875077e-7;9.610836114289594e-8;1.4653240062012034e-6;1.8469614039153238e-7
8.672602860823315e-9;3.2245461358202785e-6;3.4162224568238044e-7;3.453775842067415e-8;7.876143314788853e-7;9.873341984269227e-8;2.6114607160027322e-6;1.7807887302245125e-7
1.2030841346154251e-6;2.778350488175061e-6;3.5999170477220857e-7;2.89145843990904e-8;8.645105485902397e-7;1.0102076848083075e-7;9.410389037665655e-8;1.7275138273514875e-7
1.0465848291012532e-6;2.448199697420542e-6;3.378134737282213e-7;2.71459794700763e-8;8.858931212220264e-7;1.029920925289701e-7;9.351930171838251e-8;1.6968778878538904e-7
9.066339796718285e-7;2.0969856691057377e-6;3.022989043155451e-7;2.8517694191668312e-8;8.541615164881796e-7;1.0472271979197664e-7;9.3044978552851e-8;1.7093751645720828e-7
5.619351826202398e-7;1.5649146220549467e-6;3.119148091744351e-6;3.432733686091519e-8;6.826051649800632e-7;1.0723000357510579e-7;2.5368718984834213e-6;1.0374884759398348e-7
9.850865489120799e-8;8.672489780077709e-7;3.227597249087517e-7;7.165197991227579e-9;1.5833095524686753e-7;2.019518438143111e-8;1.2522328196046328e-7;1.4922352118512157e-8
5.437579596237447e-8;6.691237502357763e-7;3.005779535156628e-7;3.914134487202718e-9;9.794723426060263e-8;1.2060576055540842e-8;1.1809405346712216e-7;8.35429868801466e-9
