x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.786240395902251e-7;3.2568240428132444e-7;1.296742094120118e-7;2.5618765660262444e-7;2.7361886021509685e-7;2.692955432606614e-7;2.8201503329827737e-7;2.9498922500537095e-7
5.690802274698473e-7;6.922401804629349e-7;2.605733938072545e-7;5.559393378192328e-7;5.526101708383346e-7;5.43397237200013e-7;5.64330395351424e-7;5.702197910021304e-7
7.673611934658984e-7;9.817510578507655e-7;2.758765920678959e-7;7.686546927309472e-7;7.035575507598489e-7;6.98810078544248e-7;7.162647020572627e-7;7.258797888156766e-7
9.195750846625635e-7;1.2614617736212856e-6;2.698983990488326e-7;9.461587720357006e-7;8.146629044026027e-7;8.323687792885955e-7;8.03898705413696e-7;8.200714999802703e-7
1.0094968280668573e-6;1.4933144229243977e-6;2.6676130350887035e-7;1.0556956108140047e-6;9.255558670529838e-7;9.529213010108312e-7;8.740095724663096e-7;9.078993009462661e-7
1.0539640124401246e-6;1.7317074081049025e-6;2.589086036880789e-7;1.1122809192782387e-6;1.024983236198122e-6;1.0617706659544259e-6;9.540330659278988e-7;1.000395862689441e-6
1.0909233049311662e-6;1.9993362352315965e-6;2.511028789193974e-7;1.1478760597732565e-6;1.1099516276834261e-6;1.148714752620996e-6;1.0289349239691753e-6;1.0867173374912e-6
1.1323763517293278e-6;3.49966701936087e-7;2.491070787430183e-7;1.1808724604861427e-6;1.1790306873826458e-6;1.2171992806505057e-6;1.0983277317144412e-6;1.1744453413746801e-6
1.1762213675491289e-6;2.0017742081828887e-9;2.5486916162325736e-7;1.2170656494321685e-6;1.2336101853162066e-6;1.2700135541511818e-6;1.161124255990196e-6;1.2598748512853537e-6
1.221386508727555e-6;6.529076845568478e-7;2.55034741137325e-7;1.2564906980249198e-6;1.27400729693617e-6;1.313530401869804e-6;1.2185337504149067e-6;1.3419191651329746e-6
1.2673286251324456e-6;8.562988495679607e-7;2.450954002792363e-7;1.2974116361567643e-6;1.3061193752602568e-6;1.3557815006981773e-6;1.2720851858478366e-6;1.422337623878715e-6
1.3133228694692667e-6;1.0473866257695608e-6;1.8932360535051955e-7;1.3379260694600005e-6;1.3343076407594754e-6;1.4029086250823661e-6;1.3221862642838623e-6;1.5035103952960558e-6
1.3587059069858024e-6;1.1993960027274347e-6;1.2012353844374887e-8;1.3762714366445489e-6;1.3625885866019583e-6;1.4592260625333492e-6;1.3711007866582399e-6;1.5893052020466973e-6
1.402762123221336e-6;1.288705271507433e-6;9.005171811743384e-7;1.4143288070740922e-6;1.3948711246795216e-6;1.525732858467639e-6;1.420720924912615e-6;1.6792822614969437e-6
1.4451868551411566e-6;1.3404436198155835e-6;1.4117022665451819e-6;1.4522620142367526e-6;1.434885555410447e-6;1.602472725338983e-6;1.4726882788371535e-6;1.7879355816994583e-6
1.4872810502207707e-6;1.3812155015783033e-6;1.996464567124371e-6;1.4903184897705145e-6;1.4856176378447897e-6;1.6907113215873632e-6;1.5274689425463544e-6;1.9988488702355623e-6
1.5330529689277976e-6;1.4295990473510897e-6;1.954814444692492e-6;1.5332640890998021e-6;1.547662686516772e-6;1.8002973319901069e-6;1.5847219939041834e-6;1.5424717545954238e-6
1.589108491430403e-6;1.4995116372850043e-6;1.9450180233651414e-6;1.5897852315844736e-6;1.6191399367132385e-6;1.99838323187615e-6;1.6448822101899664e-6;5.970938185957236e-7
1.667728720041309e-6;1.596661084085858e-6;1.9451359514357725e-6;1.6678800926654013e-6;1.7002624334377806e-6;1.2131167667542057e-6;1.71259715176707e-6;3.4909014477849067e-9
1.776316559241224e-6;1.7274445535355748e-6;1.9540418578805915e-6;1.7752181479756952e-6;1.805038015370538e-6;6.241753842000934e-9;1.7999617680266872e-6;1.1262771477427424e-6
1.9944202653380276e-6;1.9946157705326416e-6;1.994692325204482e-6;1.9946840431048444e-6;1.989183015276348e-6;1.7949927600802997e-6;1.9915021926362207e-6;1.9904632117646813e-6
1.9922924263633227e-6;1.992435101937066e-6;1.9923237071333015e-6;1.9925597093265092e-6;1.9853979471450984e-6;1.8544529943874832e-6;1.988306352952679e-6;1.9877151842852473e-6
5.8049737898691415e-9;5.560830448216866e-9;5.8007805294672055e-9;5.4531669860077895e-9;1.240004915650394e-8;7.118871609227243e-8;9.296302656789648e-9;9.931639940835928e-9
