x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.3942928794863363e-7;1.1499884544630135e-7;-1.846543928873956e-7;1.6406085240339152e-7;1.9103888659888213e-7;4.1869807909655776e-7;1.6189765733587436e-7;4.1157519264922726e-7
4.237587428589168e-7;4.0075386710068727e-7;9.500915470465974e-8;4.502126587811829e-7;4.793865564117001e-7;7.004938185353856e-7;4.4736857712815406e-7;6.900844884108937e-7
7.228673934646303e-7;7.172289920041902e-7;6.290525243384245e-7;7.309460887602976e-7;7.397710162259978e-7;7.815455285424351e-7;7.300352260746821e-7;7.728923367113286e-7
7.607989604775237e-7;7.621594761126249e-7;7.99432183210148e-7;7.589230128239141e-7;7.568533994733706e-7;7.47485515946647e-7;7.59431122414478e-7;7.339053370792771e-7
7.133599174027286e-7;7.1092640878844e-7;7.182180371357764e-7;7.128881462214019e-7;7.103506378329538e-7;7.237270632667537e-7;7.1417653117632e-7;7.519320939520453e-7
6.964319124427275e-7;6.948415676548295e-7;6.796874059033025e-7;6.999496115189797e-7;6.980884951979087e-7;7.250597032786447e-7;7.010172705504002e-7;9.043231447404406e-7
6.985843270070742e-7;7.002222097843496e-7;6.896465509032253e-7;7.040987763453673e-7;7.045167871706508e-7;7.290548371777544e-7;7.02106945611448e-7;7.440969502282463e-7
7.017356779860393e-7;7.064180165538812e-7;6.981938145384065e-7;7.076252884999005e-7;7.120588414741637e-7;7.33634147123975e-7;7.026537027276852e-7;6.939722184005378e-7
7.037597449207723e-7;7.105329884226647e-7;6.814890055352259e-7;7.086092812167352e-7;7.151990176239422e-7;7.385415713456631e-7;7.028216664404823e-7;7.01120060287114e-7
7.045311541259042e-7;7.101569901655726e-7;6.963735957458948e-7;7.071446610937591e-7;7.122601702199146e-7;7.372341118797344e-7;7.038981787549866e-7;7.111887940283894e-7
7.039577796896666e-7;7.056272227516666e-7;6.97658935235338e-7;7.05705719783507e-7;7.058659476092774e-7;7.246465939594205e-7;7.036684840464864e-7;7.117326354790355e-7
7.034426179239673e-7;7.021996917597294e-7;6.857028602162048e-7;7.038022892113181e-7;7.021238988837375e-7;7.144770225425428e-7;7.027628501541106e-7;7.079702605591158e-7
7.032875347105154e-7;7.00324112830994e-7;6.710715203262331e-7;7.024918743874381e-7;7.009785157011724e-7;7.468129123559145e-7;7.028057014011419e-7;7.05740679824534e-7
7.026172201813687e-7;6.950636300486517e-7;6.818664948194336e-7;6.987987623582792e-7;7.006579230295096e-7;8.670307427963257e-7;7.026397836483909e-7;7.036974483584096e-7
7.018053254856181e-7;6.908136067701695e-7;7.114378821161888e-7;6.996975348947608e-7;6.997932489204935e-7;7.315197037657201e-7;7.023278584554618e-7;7.010701606596891e-7
7.006795372579242e-7;6.918655121093507e-7;6.701669800991713e-7;7.002138132214791e-7;6.980685839998242e-7;6.994624829093062e-7;7.020264733762688e-7;7.008667085503891e-7
6.974412428341774e-7;6.957655599448974e-7;6.746310826434392e-7;6.992396055850049e-7;7.01825613515351e-7;6.979570702738607e-7;7.007216194239433e-7;7.066076002221306e-7
6.96207432927107e-7;6.928712641592171e-7;6.783166923836782e-7;6.928918119037304e-7;7.051000100508813e-7;7.033495492948668e-7;6.95901149377561e-7;7.036125667806817e-7
6.948099859210445e-7;6.837974526380595e-7;6.675265692408447e-7;6.87013009724113e-7;6.914596889580415e-7;7.045059366356753e-7;6.898001573123791e-7;7.233006511132744e-7
7.220009480539367e-7;7.205855932149366e-7;7.097039819727511e-7;7.291746360374805e-7;7.223592815908481e-7;7.265008777962166e-7;7.301401333321704e-7;7.559334394973837e-7
9.208134222960231e-7;9.273022298394117e-7;9.76121880952195e-7;9.121612001131654e-7;9.024166750088723e-7;8.60253967156529e-7;9.130568657048168e-7;6.737247319695836e-7
8.756903394118277e-7;8.80669955548825e-7;9.371715563130686e-7;8.666953292828341e-7;8.608308203300442e-7;8.407266682108473e-7;8.688353224902194e-7;3.9013289086341156e-7
5.409827639380513e-8;4.693468429673635e-8;1.0458685316933415e-8;6.601171081830043e-8;8.542699747564897e-8;1.9971594186742996e-7;6.437340531280107e-8;3.890948599116926e-7
