x1;x2;x3;x4;x5;x6;x7;x8
2.0e-7;2.0e-7;2.0e-7;2.0e-7;2.0e-7;2.0e-7;2.0e-7;2.0e-7
-9.899543768621122e-7;-9.834306299860707e-7;-1.6502906979853904e-7;-9.863415237343354e-7;-9.455909065758661e-7;-9.61027817436566e-7;-9.764218867891472e-7;-9.865709337808504e-7
1.0883230033836832e-9;2.7799046637532253e-9;3.795965565785738e-9;2.3504163007050572e-9;4.953120604748033e-9;9.001736175365022e-9;3.709220733207797e-9;2.4926787701805225e-9
9.933010616635373e-7;9.91707352754328e-7;5.867309806495364e-7;9.934473242802385e-7;9.64255914578249e-7;9.835503371389705e-7;9.849691115763976e-7;9.923881211276788e-7
9.976971441152664e-7;9.987904046474324e-7;8.284918663057055e-7;9.980142695004984e-7;9.843954562394095e-7;9.968962799580208e-7;9.919244753684849e-7;9.962025730186817e-7
9.985683197573097e-7;9.994905829422476e-7;6.410954736934991e-7;9.98983162278125e-7;9.853867514395665e-7;9.98638611664496e-7;9.966583376238123e-7;9.972134251322657e-7
9.995427636312968e-7;9.996429262290184e-7;9.700379519899783e-8;9.994036419760897e-7;9.93800851194797e-7;9.99209052860642e-7;9.9919180342264e-7;9.988387549397492e-7
9.997195011647062e-7;9.993379261081634e-7;5.676770349247549e-7;9.994037993859068e-7;9.973148503862911e-7;9.981594121948197e-7;9.993577332733346e-7;9.994386752769996e-7
9.98454941398177e-7;9.770210884742304e-7;9.973453200407574e-7;9.97458926476407e-7;9.975994543786543e-7;9.07711945694837e-7;9.988460465008248e-7;9.98981581582676e-7
9.769135188732127e-7;2.3596508411484557e-9;9.763008821581515e-7;1.0827346804446102e-8;9.9608634717464e-7;3.358724249176895e-9;9.822315973543563e-7;9.828462215798474e-7
2.1175472418410114e-7;2.649559382419698e-9;4.292196818504053e-9;2.5322025137174645e-9;9.959139725517017e-7;1.5272870952870193e-9;1.8088252743262038e-8;8.081442450874472e-7
2.1467149569337352e-8;9.456705870460448e-9;9.123247799693458e-9;1.4790698558840743e-9;9.92589375807122e-7;5.823629950512955e-9;5.157461112148455e-9;4.983529453449894e-7
7.557679705877882e-9;9.66160633942781e-7;6.328580793235635e-7;2.21475957214862e-9;5.4660908210340885e-8;3.964830623964003e-8;1.0100022029177881e-8;4.3626520244170274e-8
1.8279997400304787e-7;9.615192489944183e-7;8.321044262466115e-7;5.491018154922354e-9;5.299238524406346e-9;7.727638242420469e-7;9.752069519574457e-7;2.20202146933679e-8
4.0341358172678725e-7;7.004262286568206e-8;6.408839517747638e-7;9.794546189396425e-7;5.031052831252284e-9;9.87351804675647e-7;9.955764988977388e-7;4.998237300236281e-7
9.75022343471085e-7;9.983339940105455e-7;7.596639742632157e-7;9.960459986325287e-7;1.0507461151161396e-7;9.966508921018418e-7;9.906785370789734e-7;8.849436591710816e-7
9.954975196948694e-7;9.97925163838517e-7;9.990999879742265e-7;9.984950262832747e-7;9.977563433237823e-7;9.982586001991614e-7;9.916917352403794e-7;9.884951535711207e-7
9.952077352421885e-7;5.527291400538846e-9;9.984932456495078e-7;1.4615185618032196e-7;9.34886707866136e-7;9.886729202907663e-7;9.84914149359159e-7;9.876735572927816e-7
8.741982678276317e-9;3.6963378398808827e-9;9.95567432679119e-7;9.973524987275387e-7;9.853600951986863e-7;9.949931308223153e-7;1.5599957555938428e-7;1.8277871857026965e-8
4.976372769733849e-9;8.440767295362782e-9;9.9721981359676e-7;9.777399609694579e-7;3.5816116362912955e-7;5.3792830575258776e-8;1.2193866278940523e-8;4.773374084861352e-9
1.4772740186143066e-8;1.0607673637453871e-8;9.80163956881638e-7;3.571169876057305e-8;3.928717512455602e-9;4.838074288447078e-9;9.390160664489318e-9;1.1526220215178203e-8
9.990244511112209e-7;9.97371168605532e-7;9.982998180772354e-7;9.996257504810488e-7;2.6272609920957322e-8;9.85101317925692e-7;9.980001806839914e-7;9.979652573697041e-7
9.986424099808324e-7;9.96933215020892e-7;9.963083199950413e-7;9.99344963170516e-7;2.6237620456978984e-8;9.846574645818207e-7;9.974682647891339e-7;9.973627339752477e-7
2.3932136068636037e-10;3.27600000329959e-10;4.4733668535062557e-10;2.485360690578478e-10;2.1978923490732025e-9;1.081121521739121e-9;4.9075816160032e-10;5.336851577602852e-10
