x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
-3.5949840243576503e-7;-3.047270217826359e-7;-9.926618741995519e-7;-3.1081644497055194e-7;-3.13558500164568e-7;-3.157787601404394e-7;-2.956945371612729e-7;-9.747867013021327e-7
1.4923531294200742e-9;9.421163735841534e-9;3.67669343463285e-9;9.294551458673837e-9;5.722501231880139e-9;5.290492285852329e-9;8.084255465651856e-9;1.8638918155779026e-8
6.66409518368782e-7;5.446513867789429e-7;9.987589586630473e-7;5.499060380211847e-7;5.970272114641621e-7;6.108680380928054e-7;5.56921563592973e-7;9.972096604934355e-7
9.983122183389522e-7;7.77717799591156e-7;9.98071531951011e-7;7.920983558231404e-7;8.103490945766917e-7;8.048405849245877e-7;8.085079035684214e-7;9.899091746785287e-7
7.553685500059477e-7;6.824940836942734e-7;7.476434261935823e-7;7.086770774954386e-7;7.044302079662285e-7;6.842691159312645e-7;7.071690495107885e-7;6.861369467396954e-7
5.554625149896054e-7;6.503168484710301e-7;7.202365904003404e-7;6.600749781507434e-7;6.517723460581364e-7;6.380876320138061e-7;6.496269011205793e-7;6.424684373175438e-7
5.577990866996951e-7;6.694004599812362e-7;6.12870846063648e-7;6.658111340477049e-7;6.523114041658493e-7;6.525755951441114e-7;6.532794575436429e-7;6.116118784725743e-7
6.462584903336514e-7;6.704297267089786e-7;6.821900953470639e-7;6.668963448040384e-7;6.61409257991137e-7;6.64326554617027e-7;6.581647878072541e-7;6.305094311366083e-7
6.736572520342988e-7;6.665836752446532e-7;7.733928191292683e-7;6.694315288178603e-7;6.65250297965953e-7;6.703252620952447e-7;6.635130151518105e-7;6.592547438525472e-7
6.768591230806412e-7;6.694546616962192e-7;5.531452374262664e-7;6.891504042493509e-7;6.624572043387629e-7;6.774411553510922e-7;6.746593319692051e-7;6.67491197936869e-7
6.792534060559907e-7;6.729524411886139e-7;6.935677002557037e-9;7.125694348955453e-7;6.623434996494639e-7;6.729999416634705e-7;6.79781910862125e-7;6.670195819014767e-7
6.806450443812519e-7;6.676506175806125e-7;4.7596185688280404e-7;7.015714760526496e-7;6.71138469445254e-7;6.673609377456643e-7;6.844098311145491e-7;6.685579260393378e-7
6.753871529884677e-7;6.717748698474277e-7;7.471771456802909e-7;6.613486208859183e-7;6.850098681373673e-7;6.645802819191015e-7;6.770520933276644e-7;6.610755643342285e-7
6.731194663123676e-7;6.722736139484297e-7;7.16449201084867e-7;6.473483381673697e-7;6.812606533295417e-7;6.593061032589589e-7;6.603404526919497e-7;6.404537308734637e-7
6.639108868066174e-7;6.716042948860658e-7;6.438295047627342e-7;6.669917841085906e-7;6.606626050201294e-7;6.49694868187728e-7;6.558089932804418e-7;6.808514752392628e-7
6.615226254999815e-7;6.742311433145766e-7;7.462444654844176e-7;6.563538418754635e-7;6.475289959903559e-7;6.517358648906346e-7;6.536731137895579e-7;9.991115582637067e-7
6.673948534641432e-7;6.748376319957557e-7;9.982532682339443e-7;6.605495193330865e-7;6.713224753356642e-7;6.636352564933625e-7;6.620162197347862e-7;9.987587409168055e-7
6.68410376840233e-7;6.653612794870957e-7;6.856550885993882e-7;6.518924580465894e-7;6.588717999074352e-7;6.645264049239856e-7;6.651315779889377e-7;1.1649136392299585e-9
6.53872990494927e-7;6.51062020838775e-7;5.805441197715429e-7;6.430892373514135e-7;6.497879898000655e-7;6.492764168250523e-7;6.533202237664148e-7;4.1004261013159433e-7
6.879499412076038e-7;6.862187674337646e-7;6.654165034915599e-7;6.838922788222273e-7;7.158927254905774e-7;6.719990295747298e-7;6.75371172749891e-7;7.535548168739454e-7
9.979298786272361e-7;9.979895709716765e-7;9.978885464968195e-7;9.980282323070754e-7;9.796282385627001e-7;9.959427217656893e-7;9.966426049447247e-7;9.967578994389922e-7
9.972165686083646e-7;9.972971950391717e-7;9.9718454464163e-7;9.973441773432432e-7;9.633051130904222e-7;9.938201396182148e-7;9.960499497492535e-7;9.958276815453672e-7
2.6341137310977745e-9;2.563163183036951e-9;2.689957107791101e-9;2.5126938083658672e-9;8.553819345016263e-9;6.4968100950240546e-9;5.0486837877023715e-9;5.044715578441422e-9
