x1;x2;x3;x4;x5;x6;x7;x8
6.7494269573001e-7;3.1415765205316467e-7;7.84206237061966e-8;2.526733885162126e-7;2.3138334597864557e-7;3.1555391697012257e-7;1.3036414956794456e-8;3.3134889924439176e-7
5.617812172514031e-7;3.0849947605118445e-7;8.410006483595369e-8;3.238929960813318e-7;2.495446535219297e-7;3.12386259795403e-7;9.267772463606038e-7;3.3934921305247526e-7
4.5742626078387904e-7;1.9574619555853456e-7;2.247721252771574e-9;2.0670060306022932e-7;1.2685393188622672e-7;1.8777419629189803e-7;4.672019114782748e-7;2.446995237623636e-7
5.434966603008709e-7;1.5564572838125563e-7;2.2160925363242564e-9;2.168562692204649e-7;9.474391983443544e-8;1.322362546688466e-7;4.3777393339678243e-7;1.7812331462088427e-7
1.6154640240571048e-8;1.342423373849363e-7;3.1508246839005125e-9;1.8506655989727049e-7;6.420037382936626e-8;1.0418880253393498e-7;5.769480242776956e-7;1.0494015221861956e-7
2.035413710015554e-8;1.1737411220569693e-7;2.1028384300939297e-8;1.3724162719141171e-7;4.5142803013748214e-8;9.690654163303011e-8;1.744657888283768e-8;7.971373007541155e-8
2.3851818084371174e-8;9.60387273846803e-8;2.9358769131352464e-8;9.655149562123633e-8;3.115879493466522e-8;9.033801292797735e-8;3.434148504385655e-8;7.570401948777428e-8
2.5614562452569615e-8;7.65107177150232e-8;2.286046453226584e-8;6.71791127705794e-8;2.678530219095984e-8;8.144957629404234e-8;4.079791677865172e-8;7.532137915489333e-8
2.313139813188124e-8;6.345818827167484e-8;1.539942527383471e-8;4.930356247655863e-8;4.1165980275681715e-8;7.205408400007253e-8;2.1938298749674077e-8;7.490794666080734e-8
2.1386621180034292e-8;5.580316810380851e-8;7.816170305560244e-9;3.967307430966724e-8;4.36129410825737e-8;6.472416610559934e-8;2.1343495091806887e-8;7.426069279794282e-8
2.1884713517731993e-8;5.1936272121823405e-8;8.181824276615205e-7;3.65343201871428e-8;2.126077465466106e-8;5.9553391930599967e-8;1.34091984017295e-6;7.41416233455871e-8
2.3897202953235093e-8;5.048085474894281e-8;3.7487176143055675e-7;3.3799861278316925e-8;1.422600256135141e-8;5.712248092695168e-8;1.0203174847703207e-6;7.545186381846344e-8
2.636448185677785e-8;5.0642509989810546e-8;3.2075389163005237e-7;3.39357905886884e-8;1.2838368656365087e-6;5.741775632381938e-8;2.0904906803728802e-8;8.030860575100223e-8
2.8930810019092316e-8;5.2727954596402263e-8;3.1944946699415864e-7;3.7816103038359325e-8;1.0251323065224303e-6;5.914451261770171e-8;3.3313321518042996e-8;9.09395432037167e-8
3.237249834500645e-8;5.6753696687295784e-8;4.2828984140916936e-7;4.619769451792656e-8;1.956717467510101e-8;6.219862974447797e-8;3.332328289795628e-8;1.1164557555763161e-7
3.6882521337295094e-8;6.2663119633838e-8;1.594870512525574e-8;5.8544319554978234e-8;3.0707685730646155e-8;6.659283051264144e-8;3.005459629642027e-8;1.5482353307862558e-7
4.28643647978998e-8;7.052523276641164e-8;2.02646746732968e-8;7.746119542187608e-8;3.652968538532854e-8;7.254316758870018e-8;3.661910587187555e-8;2.4989660094050863e-7
5.2647118226405395e-8;8.17658032240527e-8;2.399357799314857e-8;9.751366656926882e-8;3.77335587989728e-8;8.169843175829783e-8;5.133832867815692e-8;2.9478118936269297e-9
6.854662712715539e-8;9.59100917823455e-8;2.6716122132022908e-8;1.1723215784257102e-7;4.539958721875593e-8;9.661684840980026e-8;7.249312557081631e-8;2.958538259442655e-9
9.158594398569983e-8;1.156393652698927e-7;3.187886013469112e-8;1.4252951668353667e-7;7.428718694592605e-8;1.2140175573843703e-7;1.0981528167367915e-7;1.2319444597845565e-6
1.9532565039912554e-7;1.3790073010453576e-7;4.6054427809127016e-8;2.2832532845591848e-7;1.4971939440260193e-7;2.3337481363942747e-7;2.033044826409071e-7;9.910659512574868e-7
2.4880094405657266e-8;2.483744682019953e-8;1.6829089664925936e-8;1.4567088047896339e-8;3.3256956653580856e-8;3.203638701316531e-8;3.538685229506773e-8;2.2515355877137138e-8
4.300474730219065e-9;9.357092543919678e-9;7.890920179871644e-9;2.3767502550453693e-9;6.515845816439848e-9;6.038385999553903e-9;7.452792210650391e-9;4.326977954822481e-9
2.77065024966464e-9;2.005617503805691e-8;1.033800730082199e-8;1.5394742627273768e-9;4.230915413904234e-9;3.930619304501186e-9;4.869762516355116e-9;2.825165205731151e-9
