x1;x2;x3;x4;x5;x6;x7;x8
-2.505561399098374e-7;-2.5056509453700056e-7;-2.5667121761330236e-7;-2.4741907948359437e-7;-3.0367824631493e-7;-2.8682846684200155e-7;-2.9561225436649767e-7;-9.163372463285826e-7
2.593927313100671e-7;2.601969188723117e-7;2.653684218210543e-7;2.577629662835055e-7;3.178748618364522e-7;3.204506235629726e-7;3.0255297972445545e-7;1.1007549551670166e-6
3.775793519275811e-8;3.6957562050035935e-8;3.843053984861897e-8;3.6422233576866076e-8;8.722438551598781e-8;9.681292460601647e-8;6.461531645936609e-8;2.9138674732511673e-9
7.111563065163483e-8;7.103481295049858e-8;7.03316461021854e-8;7.13834829279221e-8;4.9648207870467946e-8;5.0534276680510574e-8;5.7027826357085457e-8;2.384025784830801e-8
3.212664140221111e-8;3.1766658975627345e-8;3.2466689435453476e-8;3.153228860536794e-8;7.717847614783111e-8;8.884421449746243e-8;5.22632515272147e-8;3.467144029255392e-8
1.9152078977881462e-8;1.8323744510147983e-8;2.056682057715468e-8;1.7822552176387917e-8;8.851360196601284e-8;1.0540257335085682e-7;4.6859785861520385e-8;4.522304022599463e-8
2.0790995180885076e-8;1.983046041145172e-8;2.2442146500373156e-8;1.9321669825707473e-8;9.00578361733312e-8;1.0584864335624142e-7;5.127917045386691e-8;5.975658948969141e-8
2.2244959030892835e-8;2.1424659593652413e-8;2.2148829664472688e-8;2.0923105633052088e-8;8.975733031498882e-8;1.041479405779294e-7;5.457223205841371e-8;6.265639510021449e-8
2.254071022038508e-8;2.179642379513073e-8;1.691435518104046e-8;2.1289192440545152e-8;8.940259653591212e-8;1.0370476693911918e-7;5.479868865101623e-8;6.092565770529186e-8
2.2474063231549622e-8;2.179396457240863e-8;2.580083874541213e-8;2.1244130452090333e-8;8.92342154062756e-8;1.0374859147261049e-7;5.4295338228004626e-8;5.969694760289156e-8
2.2429701710445864e-8;2.1738208310559117e-8;8.648805030021515e-8;2.1198382298541485e-8;8.922000080814863e-8;1.0381987461128293e-7;5.420823862086236e-8;5.952482100234195e-8
2.2470857229608504e-8;2.1770204427843715e-8;1.1220967780857775e-7;2.123450779300265e-8;8.926492180944136e-8;1.0383185771440502e-7;5.433962112430616e-8;6.051348721557433e-8
2.2533540108336157e-8;2.1759167941981847e-8;1.2374869111272007e-7;2.1259672572095682e-8;8.928865612034779e-8;1.0384065602515344e-7;5.4419679677050674e-8;6.313148800918227e-8
2.2513806814300203e-8;2.173448336855799e-8;1.856366938030754e-7;2.127598386006299e-8;8.921973994825694e-8;1.0377684525571102e-7;5.435261753168038e-8;6.276520186037645e-8
2.2450603157245217e-8;2.1654068249471345e-8;1.7620669363545006e-7;2.1177247694164254e-8;8.898364387508522e-8;1.035568550593266e-7;5.413458367110121e-8;4.78513300280928e-8
2.2406689089928065e-8;2.1587880135932968e-8;1.2073439588080108e-7;2.111429606283775e-8;8.891331215385773e-8;1.0332500793749374e-7;5.390491061501479e-8;3.065162045818863e-8
2.2433323318842266e-8;2.158529374709486e-8;5.502597087588541e-8;2.1104419597325027e-8;9.019574913921054e-8;1.0411045404875278e-7;5.4358730986938826e-8;1.2826704436146686e-7
2.221704488928599e-8;2.1429784673261926e-8;1.550761133659414e-8;2.0923057510040866e-8;9.229743803700186e-8;1.0664788925844032e-7;5.592920295269572e-8;3.5685460460866172e-9
2.219424108581973e-8;2.140974623730852e-8;2.3283376502556345e-8;2.0896732140711058e-8;8.853828726302607e-8;1.0680339940933971e-7;5.512492269800395e-8;5.522189177938452e-8
2.1543558552085655e-8;2.0840894843072308e-8;2.2298098623816277e-8;2.033103306566227e-8;6.815480778632541e-8;9.12070092216656e-8;4.387356422226938e-8;1.6341134217525363e-7
1.3154273016694885e-8;1.2849579184083362e-8;1.3926733090751084e-8;1.2477204666689136e-8;5.519302509338191e-8;5.98585248026894e-8;2.8871311952005433e-8;1.8091208680996117e-7
4.791536177490457e-8;4.620709045251419e-8;4.853763581270189e-8;4.551845028557254e-8;1.218903049226243e-7;1.1047217800294108e-7;7.368824952096006e-8;8.599181114966802e-8
9.212770461712767e-9;8.99934083797057e-9;9.260368862780007e-9;8.923956757924109e-9;1.194101869788101e-7;1.8505841478600217e-8;1.2802271262916262e-8;4.130581373615448e-9
8.043782215461365e-9;7.771155681959365e-9;8.192416898930985e-9;7.612395652608663e-9;1.514892278887321e-8;1.6377161778578726e-8;1.2348731131814927e-8;1.2897041680385597e-8
