x1;x2;x3;x4;x5;x6;x7;x8
-3.1441034652345144e-7;-3.320004557691745e-7;-2.976515339450339e-7;-3.410344171876171e-7;-3.474183974456264e-7;-3.515622480477888e-7;-3.2797586769896094e-7;-3.15457869301847e-7
3.249194679143294e-7;3.4276739684895436e-7;3.087996206256343e-7;3.513470465499036e-7;3.5373194845662234e-7;3.574050537155567e-7;3.369206528077767e-7;3.2420278154848616e-7
6.529388422333244e-9;6.360111896149133e-9;6.652626569332137e-9;6.246380906165105e-9;1.4345407061961659e-8;1.6454835874613426e-8;1.0217500205894915e-8;1.0805535930707128e-8
8.286036091578738e-9;7.990009101610483e-9;8.32555104628056e-9;7.808677395804011e-9;1.6607053308764e-8;1.7206329907953242e-8;1.3898336019063506e-8;1.4542526869785517e-8
6.46114430039732e-9;6.391141646493509e-9;6.634583015310338e-9;6.240951069416855e-9;1.2290516179963093e-8;1.384028481911191e-8;9.341006279383679e-9;9.740662120202034e-9
5.0188952619492235e-9;5.100573761053038e-9;5.049888338634388e-9;4.90090441916566e-9;1.095221999122124e-8;1.3000146658102901e-8;7.176406198756908e-9;7.614612068241842e-9
5.0098048842821346e-9;5.201940075932272e-9;5.070199908584402e-9;4.845607094141849e-9;1.140048217537504e-8;1.3406683623437058e-8;7.534567532019047e-9;7.991261600381379e-9
5.1423350615545046e-9;1.172666698723569e-9;5.235736342418194e-9;4.957556857249304e-9;1.1787669916324851e-8;1.3706665045797352e-8;7.987940340445017e-9;8.506476974834198e-9
5.170459728322964e-9;1.2064812832013214e-9;5.286143801183326e-9;4.991335669260097e-9;1.1830275943476713e-8;1.3758418119635566e-8;8.069023701575157e-9;8.584721583654585e-9
5.18054338454088e-9;5.422988437079322e-9;5.3359307826621985e-9;4.990889337787732e-9;1.1775973017633115e-8;1.3739332593876982e-8;8.029192373777154e-9;8.533940670798309e-9
5.185711170321598e-9;4.93630889566596e-9;5.312315295022028e-9;4.989418391777517e-9;1.1753778924449352e-8;1.3722150914482535e-8;8.015703998835888e-9;8.521292021544258e-9
5.186757119856417e-9;4.5579737410561536e-9;7.222032147566494e-9;4.986296101276392e-9;1.1755704397555822e-8;1.3708491840982168e-8;8.025852899588017e-9;8.558434264956474e-9
5.1854519333657725e-9;5.044828098823431e-9;8.561914385139667e-9;4.979870286392229e-9;1.1757365057698235e-8;1.3697517543926683e-8;8.0256874085404e-9;8.624364133442651e-9
5.185339143958029e-9;5.181674194473327e-9;2.9550295286065745e-8;4.980514493092594e-9;1.1730750895895135e-8;1.3770606930774408e-8;8.011920721256846e-9;8.572285592628878e-9
5.182696288130019e-9;5.1050433391845786e-9;4.4709227046169724e-8;4.9817165567866225e-9;1.16890183956162e-8;1.3935605352375662e-8;8.000609732306392e-9;8.211171394324623e-9
5.180614821775839e-9;5.047033420704433e-9;3.9189686643258044e-8;4.9782202251865154e-9;1.1665393824159149e-8;1.3762345772694856e-8;7.983749292678424e-9;8.064845419575325e-9
5.169987385795316e-9;5.036927742755678e-9;5.6919222892920864e-9;4.971876250959398e-9;1.1734575335267941e-8;1.2515765741238624e-8;7.996987040070281e-9;2.0805573853858e-9
5.151364680527943e-9;5.0291155178786755e-9;5.402468273681154e-9;4.9518998836910885e-9;1.1856702728199111e-8;1.1250138834004412e-8;8.054717016095126e-9;2.1291034467769167e-9
5.169841347873422e-9;5.0516562322330984e-9;5.292956452656914e-9;4.971645647774792e-9;1.1822715718465043e-8;2.9181034010670216e-9;8.032981556427842e-9;2.126148416336188e-9
5.280595179565538e-9;5.156643695890896e-9;5.324739532406178e-9;5.075986488351106e-9;1.059934732138129e-8;2.7019775359401665e-9;7.585099672873732e-9;8.222841514420313e-9
5.2896747141622025e-9;5.181043284161686e-9;5.323714659169775e-9;5.109178519250037e-9;8.663417478398713e-9;1.2236153093341162e-8;6.951427821443524e-9;5.891702106319061e-9
5.158447394148332e-9;5.043114193832099e-9;5.268280087761214e-9;4.963072948667705e-9;1.347487220325777e-8;3.1087724974922582e-9;9.285889754753349e-9;8.713484514014224e-9
1.5993568807564466e-9;1.5528844166882815e-9;1.6232491247832351e-9;1.5237768809139515e-9;3.604880067704329e-9;2.963416512699719e-9;2.696916936049632e-9;2.864253986459697e-9
1.0733858084864922e-9;1.0340756499064331e-9;1.0916262406963679e-9;1.0112383911532618e-9;2.316033925542224e-9;2.589441761672776e-9;1.7598114004176617e-9;1.8530547207507829e-9
