Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
1.0;40.037550399922345;3.93416928;1.1734480269204908;5.0;0.0;2.5428571449999997;0.0;-0.19043831790313792;-0.0721606103127574;-0.3808755246796361;-12.007;0.0
2.0;40.02421614922216;3.761755485;0.7567577785028123;5.0;0.0;2.604081635;0.0;-0.1814077876070194;-0.069371534173799;-0.36281557516835294;-11.509;0.0
3.0;40.01177652711069;3.93939394;0.36768970283540886;5.0;0.0;2.46530612;0.0;-0.17307878801291973;-0.06815377346448374;-0.34615736486995435;-11.185;0.0
4.0;38.74712089392257;3.93416928;0.09273625389842857;5.0;0.0;2.55102041;0.0;-0.16508490900155107;-0.06900140544114422;-0.3301696068283709;-10.994;0.0
5.0;40.018610631726304;3.92894462;0.5815048473673623;5.0;0.0;2.1183673450000002;0.0;-0.15970118122688487;-0.07371351889562858;-0.31940215128532135;-11.076;0.0
6.0;40.031667457833656;3.8923719950000004;0.9893221740787173;5.0;0.0;2.3551020400000002;0.0;-0.16017681182185078;-0.08426612815149054;-0.32035341247505944;-11.672;0.0
7.0;40.08519734971832;3.719958205;2.6621926404070755;5.0;0.0;2.48979592;0.0;-0.17198154563636042;-0.10300245205951276;-0.3439628801041563;-13.253;0.0
8.0;40.17608267080942;3.56844305;5.502644365722594;5.0;0.0;2.195918365;0.0;-0.1904400959163487;-0.12468567340180507;-0.38087998066344525;-15.571;0.0
9.0;40.21716474483684;3.7147335399999997;6.786646078319012;5.0;0.0;2.179591835;0.001934985;-0.1956785123970389;-0.131871157908964;-0.3913566438076491;-16.964;7.147919780318381e-7
10.0;40.26020930623854;2.9153605;8.131577716370238;5.0;0.0;1.918367345;0.079334365;-0.18976541662898253;-0.12535095950764047;-0.3795235320125156;-17.35;2.9625344784629824e-5
11.0;40.22633281492639;3.9498432599999997;7.072860309739875;5.0;0.0;1.681632655;0.33378483000000003;-0.18207487806919478;-0.11592748729393812;-0.36411870961370035;-17.376;0.00012715611418299386
12.0;40.19521345270137;3.735632185;6.100440923308768;5.0;0.0;2.318367345;0.623065015;-0.1747000056795405;-0.10846628489416646;-0.3493391674600295;-17.145;0.0002450415776507458
13.0;40.17140512525917;3.80355277;5.356398102883021;5.0;0.0;2.395918365;0.798181115;-0.16894660396442493;-0.1042940179540003;-0.3378097369953938;-16.743;0.0003278765789214304
