x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.6666929667815715e-8;5.278610588077548e-7;3.894967839229713e-8;5.245842985973637e-7;6.690162174527448e-7;7.056806606703381e-7;5.791571682095542e-7;1.0046300961547017e-6
8.303045392198884e-7;9.105389566676829e-7;8.22743809491404e-7;9.063025914807751e-7;1.0770438905405967e-6;1.1222431575911132e-6;9.625330565036464e-7;1.518327887150951e-6
1.2489350861423683e-6;1.1833773632911787e-6;1.195348328423328e-6;1.1817895555629372e-6;1.2620204771177331e-6;1.3048874750136205e-6;1.1581548752597953e-6;1.9537090973435632e-6
1.5330242091725936e-6;1.4190624497171844e-6;1.4068996712287048e-6;1.4196634919586793e-6;1.346989175432339e-6;1.398613538358889e-6;1.27981196604386e-6;1.5115183030505082e-6
1.926975391645549e-6;1.6399440485165716e-6;1.6096392286260798e-6;1.642710610303111e-6;1.3714202682438546e-6;1.4786917971095463e-6;1.3343719764626308e-6;1.0266098452949704e-6
1.9667575602209097e-6;1.965746707530219e-6;1.9719465405852955e-6;1.9651034272930356e-6;1.3790437076970237e-6;1.6230110383723792e-6;1.3542541522225859e-6;3.4705578610183713e-7
1.8739738001516553e-6;1.6414158786519338e-6;1.6285105141538915e-6;1.5796899927559667e-6;1.3956181208694832e-6;1.9366140002940002e-6;1.3605218773232115e-6;1.879246862852025e-6
1.9341985089447235e-6;1.3874130983846293e-6;1.4179070342773469e-6;1.225295436450489e-6;1.4435491769359152e-6;1.2211684316293582e-6;1.36222702194522e-6;1.7584379029736835e-6
1.964438877204064e-6;1.1074612702348425e-6;1.1737273706496028e-6;7.196632615084283e-7;1.5551039403666203e-6;1.463168874556763e-7;1.3627262627564492e-6;1.5605035186038589e-6
1.0167785725660368e-7;7.036273514716309e-7;7.351420872503301e-7;6.350394311262345e-8;1.8182627762253248e-6;8.445173419339937e-7;1.363270023517316e-6;1.474054716177392e-6
6.910437759495365e-7;1.8892783166406478e-7;9.260581634366948e-8;6.180143750593448e-7;1.9150228867411467e-6;1.1896172975941627e-6;1.3648282437241553e-6;1.4624688356897632e-6
1.0198751341426492e-6;1.9401449620978265e-6;2.9728004252404496e-7;9.076303245917123e-7;2.445953465318645e-7;1.3185040468320786e-6;1.3693761023586864e-6;1.5188258789280322e-6
1.2396886123094052e-6;1.87282289135324e-6;1.9667016277327795e-6;1.084287868434225e-6;8.637305974431204e-7;1.371362885606326e-6;1.3814666918974308e-6;1.6462811560313399e-6
1.4269914840375554e-6;1.7598340961244286e-6;1.97750085040754e-6;1.2077628912132595e-6;1.1665850846559464e-6;1.4052419010748728e-6;1.4102353119742005e-6;1.9660100751580798e-6
1.6228719744144443e-6;1.6892640753204206e-6;5.161636021596512e-8;1.3050923089511276e-6;1.297856566241511e-6;1.4657853952152172e-6;1.4708612084511118e-6;1.8761983271229687e-6
1.9018602258673024e-6;1.6505132368566259e-6;1.0985844916280916e-6;1.3921164143259129e-6;1.3531913026005745e-6;1.595798255687864e-6;1.5856320853321105e-6;1.9905353351727695e-6
1.959324595342442e-6;1.636900418280221e-6;1.97806678032473e-6;1.4824606556139512e-6;1.373440626803292e-6;1.9492276133333325e-6;1.815855190986801e-6;1.994466208525543e-6
1.211919254574029e-7;1.6472603781476645e-6;1.7786787321012259e-6;1.590038865422331e-6;1.3837433827399796e-6;1.6840955691692222e-6;1.923076869930856e-6;1.1695555182473867e-8
9.154874796482365e-7;1.6805538479627593e-6;1.7586781453508654e-6;1.7257799387263641e-6;1.3887672122855306e-6;1.6138088302710482e-6;2.5879642182577486e-7;1.816968324594519e-7
1.4406432401805546e-6;1.7348204481760466e-6;1.7924754635267904e-6;1.979513246141321e-6;1.3687169706342143e-6;1.6119694371585402e-6;1.202655137458069e-6;2.267910198973643e-7
1.9708482354604768e-6;1.8473407212391183e-6;1.973737246461015e-6;1.9796576083906785e-6;1.2502247835134374e-6;1.7599165896319152e-6;1.9591001926567926e-6;1.934855061766936e-6
1.9639732742381725e-6;1.794860427994678e-6;1.965244470015497e-6;1.956394126569907e-6;7.110453434753724e-7;1.5892850498662532e-6;1.9472710791227954e-6;1.9400075194949306e-6
3.2207483536638104e-8;2.075475388546579e-8;3.2193556668549296e-8;6.134640038521812e-9;1.6418993772927104e-8;2.4400792929392576e-8;4.933080432488339e-8;6.240092954042066e-8
