x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.787429126931528e-8;4.802264229331055e-8;3.3756055582701006e-8;2.0322371348246993e-8;6.851220656078905e-8;9.939957697213675e-8;1.283055827139279e-7;1.6701289087817095e-8
2.041357511162383e-7;2.772352924917933e-7;6.01866647814991e-7;1.8992584192595128e-7;3.4947896983239484e-7;6.32023850631113e-7;5.118490396169194e-7;1.693507721481214e-7
8.053017324020134e-7;6.56680881961804e-7;1.3896239480361258e-6;5.954730858910159e-7;6.350709987489673e-7;1.3931527719387613e-6;1.192426272838905e-6;7.090528523796988e-7
1.5773073845830725e-6;1.0930558895878245e-6;1.7988036710423397e-6;7.82078381228982e-7;7.990892415976262e-7;1.7810369968144564e-6;1.7504775566408098e-6;1.5332250012883372e-6
1.9269567142137333e-6;1.4988582207470632e-6;1.8620410003502962e-6;8.363258063019636e-7;8.395972312334092e-7;1.8641753584067025e-6;1.9208706414724926e-6;1.9182946883276994e-6
1.9821268325465323e-6;1.7610493248447002e-6;1.8644757869133028e-6;8.370172150257628e-7;8.510224733235613e-7;1.871054319559264e-6;1.935350513520332e-6;1.9822489464479586e-6
1.986652802722071e-6;1.8713579818290233e-6;1.8537871234212165e-6;8.145462372759777e-7;7.591482791862819e-7;1.7466214910696018e-6;1.9305207319647857e-6;1.9861826123685006e-6
1.981286561965451e-6;1.9050747689429954e-6;1.706034360469504e-6;7.657695947731627e-7;5.435765561917901e-7;5.59407821794295e-7;1.8914736885739888e-6;1.9802711107677853e-6
1.9641806914837627e-6;1.9232909830787354e-6;1.6934160937076778e-6;7.589119853306464e-7;4.7056585865694676e-7;5.135080526043393e-7;1.864815241633851e-6;1.968596269510322e-6
1.946310507801651e-6;1.9251275634371856e-6;1.6966845727219725e-6;8.546212419314361e-7;4.825993172037404e-7;5.149999012778549e-7;1.8635003932886981e-6;1.956706925387544e-6
1.9374167066285833e-6;1.923915850039667e-6;1.7802895698551296e-6;1.2920113010313041e-6;5.33421949918755e-7;6.062612595432337e-7;1.8652553368475782e-6;1.9497868648664767e-6
1.936252049316411e-6;1.9248045903513506e-6;1.8773248474351982e-6;1.440204836048769e-6;6.873190070468435e-7;1.7453733899629437e-6;1.8665727649961018e-6;1.9477826594789185e-6
1.9434902477863947e-6;1.9266132832072663e-6;1.9001854895121422e-6;1.5373734662470014e-6;1.0172274181793898e-6;1.8695066521681691e-6;1.8697141769837126e-6;1.952334166117835e-6
1.955349535968484e-6;1.930362147108266e-6;1.9313635058625433e-6;1.6473940549620769e-6;1.7493848680557183e-6;1.9241160798593873e-6;1.8727814250242965e-6;1.958039034665588e-6
1.9658275377163977e-6;1.9341529037735926e-6;1.9688109389128603e-6;1.9672348401931097e-6;1.91376853658706e-6;1.953478000567384e-6;1.8793183215164136e-6;1.9639977425758344e-6
1.970496876598802e-6;1.940116587101022e-6;1.9751314243209522e-6;1.987759594160521e-6;1.9606365233869525e-6;1.9689736140389478e-6;1.8820858765822025e-6;1.967848098868504e-6
1.9676809592029032e-6;1.9461490346717303e-6;1.969392024692289e-6;1.9855533908065903e-6;1.9635489109872517e-6;1.9670153624550765e-6;1.8774777910520157e-6;1.964864715003602e-6
1.951797039085743e-6;1.9398147407688486e-6;1.9691373000575954e-6;1.984061228704744e-6;1.9660976890293278e-6;1.9648585624901473e-6;1.8701022998497198e-6;1.9515826689011184e-6
1.947198722073746e-6;1.9332447487708564e-6;1.9691588799318592e-6;1.984245678664166e-6;1.9686639708969484e-6;1.9613157482519247e-6;1.8666272751307374e-6;1.9483590565589888e-6
1.9557778031539995e-6;1.942620145720056e-6;1.974526175591571e-6;1.9877032497186506e-6;1.9731169033630114e-6;1.959427508467213e-6;1.878773425416567e-6;1.9567145629657916e-6
1.996915466156977e-6;1.9945760201078817e-6;1.996921979928197e-6;1.9985469128614053e-6;1.995928013292552e-6;1.995337421158425e-6;1.993798652654979e-6;1.996836378733778e-6
1.9958756180765503e-6;1.9924959941690246e-6;1.9956409886327743e-6;1.9978463914221837e-6;1.993744610735555e-6;1.9937402639063173e-6;1.9917137588241796e-6;1.9957588832591125e-6
1.703168344845972e-9;3.5910684495317413e-9;1.8373192402771811e-9;1.0435981352237094e-9;2.947158976884955e-9;2.839161266856165e-9;3.6011654366983924e-9;1.7312106125205218e-9
