x1;x2;x3;x4;x5;x6;x7;x8
2.3178038351726343e-12;7.119440903309893e-12;1.167695082563275e-12;2.223328012586626e-12;3.963642277094483e-12;1.520134471909231e-11;2.0200519330000934e-12;1.1414026230638466e-11
9.99998526290098e-7;9.99981414369573e-7;9.999965306289945e-7;9.999998469363916e-7;9.999977520039496e-7;9.997076929379324e-7;9.999943240066654e-7;9.99789987492127e-7
9.99987317699848e-7;9.99969754770506e-7;9.999829654886987e-7;9.99983886719123e-7;9.99988681547519e-7;9.999146235458576e-7;9.999837886903787e-7;9.999345537312025e-7
9.999840068796157e-7;9.99930873546633e-7;9.99993376636918e-7;9.999767391160282e-7;3.2693519455585595e-9;9.998669847374115e-7;9.999822306907953e-7;9.998997610972007e-7
1.0162693651826785e-9;1.4779199147054632e-10;9.999683882579142e-7;9.998643086186295e-7;3.176210729131904e-9;9.998667957120147e-7;9.999603041880965e-7;9.99930535639209e-7
9.314697640690089e-11;6.206989879205682e-12;8.272624742428915e-12;2.0830598740665324e-11;5.7951264753747425e-12;9.998666044492448e-7;9.998224415479549e-7;9.999033096676642e-7
4.646800404037247e-12;5.2785077148954385e-12;3.5689154425635957e-12;1.8185873219144074e-11;1.2175378531233256e-11;9.998663699164514e-7;7.225581896042247e-10;1.6096306416824284e-10
9.999755168775482e-7;1.0183808572617445e-10;9.999762586019927e-7;9.999809820093326e-7;9.999871427050786e-7;9.998664533778094e-7;2.743239677679946e-11;5.373651738561791e-12
9.999859532092357e-7;9.999953170569924e-7;9.999975323193872e-7;9.999920109907914e-7;9.999683652648717e-7;9.998673745446396e-7;6.308789338722545e-12;7.617986279498664e-12
9.999647531656925e-7;9.999971131436942e-7;9.99998344247073e-7;9.999947646249566e-7;9.999969935621865e-7;9.99868183582372e-7;1.2330902915084988e-11;9.999927586445137e-7
9.999877584006157e-7;9.999897436363705e-7;9.999944435015509e-7;9.99991780332245e-7;9.999940351004825e-7;9.99867356978746e-7;9.99982563058589e-7;9.999789042584552e-7
9.999869560120332e-7;9.999258620528408e-7;9.999645191501555e-7;9.999904312586187e-7;9.999193161032846e-7;9.998667951790173e-7;9.999863020122037e-7;9.999936132611476e-7
9.999847365051563e-7;9.9992564269869e-7;9.999643999599326e-7;9.999758471594386e-7;3.093497269769737e-9;9.998667594956307e-7;9.99984170530939e-7;9.999771707583708e-7
9.99983872533604e-7;9.999256223605215e-7;9.999729975840162e-7;9.999861678624143e-7;3.837562885510987e-11;9.998667106254903e-7;9.999829278487691e-7;9.001020594956874e-7
9.999842034441942e-7;9.999586289644148e-7;9.999858277462463e-7;5.888486670055031e-11;8.742543151592371e-12;9.999535134305017e-7;9.999829085813429e-7;7.933198448499867e-11
9.999840392961267e-7;9.99955773140664e-7;1.935561260099871e-11;4.360385351657652e-11;1.2895688003184097e-11;9.9994291916537e-7;9.999828982854558e-7;9.999459285969216e-7
9.999833584830105e-7;2.613562353147082e-11;1.6893075321904722e-12;1.506308402445137e-11;1.5673593993387862e-10;5.876954631566879e-12;9.999825071669205e-7;9.99983957613796e-7
1.0008110193879628e-7;4.793261229161014e-12;3.6254111721076865e-12;1.0304701526424507e-11;9.999789365264062e-7;1.1702824116544292e-11;9.999827068827361e-7;9.999789569439897e-7
9.999861266274295e-7;5.972759961739197e-12;9.999958663851455e-7;9.999881298319574e-7;9.999819851223765e-7;9.999848607358301e-7;9.99982868867417e-7;9.999798673593718e-7
9.999918285626316e-7;9.999951411577406e-7;9.99990928897933e-7;9.999842261559103e-7;9.999809942961183e-7;9.999727139432798e-7;9.999831118439677e-7;9.999808612568937e-7
9.99984197936822e-7;9.99984734677191e-7;9.999926612310104e-7;9.99982563466063e-7;9.999814886155076e-7;9.99987007709204e-7;9.999834479088627e-7;9.999710402215132e-7
9.999836160275275e-7;9.99982943102876e-7;9.99992857021535e-7;9.999825530071325e-7;9.999807279279894e-7;9.99992665109203e-7;9.999797639738341e-7;9.999905640156386e-7
9.999542018089147e-7;9.999407409510015e-7;1.0090345433255214e-7;1.0057042820766883e-7;9.996479568600248e-7;9.99989882281416e-7;1.0008566237434225e-7;9.999936554386433e-7
9.999985482939325e-7;9.99998659657866e-7;9.999993686629327e-7;9.99998479264372e-7;9.999983204651225e-7;9.999935627522433e-7;9.999984970380368e-7;9.999970220841436e-7
