x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
-3.6061061081671397e-9;-2.9646422383677873e-7;-9.911914476447292e-7;-2.8615518216090763e-7;-2.6676876820758144e-7;-2.7167733962149554e-7;-2.753387287821041e-7;-9.599506118618262e-7
1.0794762079231467e-9;3.029616189610044e-9;3.011306826089364e-9;2.9113811966682467e-9;6.349460839955744e-9;7.269856964782547e-9;4.578944951321071e-9;3.201882281109541e-8
5.675751975011326e-7;5.963903684780403e-7;9.981675138596366e-7;5.896008551580881e-7;5.614027159366218e-7;5.730146349722432e-7;5.514423360827452e-7;9.958386351629184e-7
9.983071811039042e-7;8.257744599372358e-7;9.980258483957048e-7;8.073850586150719e-7;7.978683139364848e-7;7.995541329978524e-7;7.976878549768542e-7;9.854201590583164e-7
9.263173864110008e-7;7.248146960765638e-7;6.383999736440803e-7;6.978646007616182e-7;7.154682584075763e-7;7.257448384891908e-7;7.183320460659482e-7;9.874690745675423e-7
1.1326812912032627e-8;6.566537199291119e-7;6.9465485867150535e-9;4.7471271681462393e-7;6.770694981610144e-7;6.736060424018908e-7;6.787512051555525e-7;9.749446905457508e-7
5.932866712397503e-7;9.998467780704558e-7;5.063493315201357e-7;3.5593332097427615e-7;6.734711069527377e-7;6.010957649451799e-7;6.688402800692032e-7;7.322649329554754e-9
7.569439634287192e-7;5.208383238057462e-7;7.821882184315505e-7;6.266449439250425e-7;6.683021651179331e-7;6.530424782890572e-7;6.795673237723627e-7;4.889658838608869e-7
5.838885791169074e-7;1.684613993870301e-10;7.781744060372027e-7;8.330563091250474e-7;6.651467711107807e-7;7.233990407492584e-7;6.647089130284511e-7;7.755960541745755e-7
7.599193866563658e-7;5.854805401404281e-7;4.82864125412019e-7;8.142815118632663e-7;6.563813085013435e-7;7.029192608040586e-7;6.808382793009635e-7;7.283771259619317e-7
7.173280265881187e-7;8.440183588919284e-7;4.277135246696466e-9;6.419341448623532e-7;6.641745200167499e-7;6.646169023556046e-7;6.663696247248417e-7;6.635819243306402e-7
6.588156736729449e-7;7.310549777633534e-7;4.767308625074659e-9;5.928057851607744e-7;6.926275747260485e-7;6.605663853892032e-7;6.42631526238698e-7;6.659715002300982e-7
6.54638557796733e-7;6.935426024809325e-7;4.912127927377565e-7;6.662631494121258e-7;6.508000610498606e-7;6.665921417635022e-7;6.428106259132496e-7;6.649171998819417e-7
6.661054985334561e-7;6.659298210657482e-7;7.8265721064057e-7;6.874664111235406e-7;6.444040249983454e-7;6.730212361570308e-7;6.727800137999413e-7;6.002807669302681e-7
6.832801962003866e-7;5.649059950084197e-7;9.95363457162727e-7;6.790602184681033e-7;6.740098777295115e-7;6.727751893355402e-7;6.860674619914746e-7;6.300830833812006e-7
6.539597351812976e-7;5.317063931745041e-7;9.983953848028716e-7;7.002827019572348e-7;6.893503420980421e-7;6.491232107451958e-7;6.951211777643678e-7;9.997324090908602e-7
5.791396201706644e-7;7.050996549336032e-7;1.3353143520052041e-8;6.904590276359091e-7;6.533444258856407e-7;7.455012911498584e-7;6.633266729638597e-7;8.02247160327584e-7
6.985845630439893e-7;6.166317021546585e-7;4.837646659717252e-7;6.518979302582058e-7;6.654023170337097e-7;9.996259730550832e-7;6.427374208115223e-7;4.363675347012202e-7
6.787687172780366e-7;5.842320148149693e-7;7.443807300816387e-7;5.895535823854764e-7;6.380520312157329e-7;5.54472870419176e-7;6.659052665835457e-7;3.1286889657256435e-10
7.04761913230832e-7;7.277666493570068e-7;7.371839169274432e-7;6.345926294405876e-7;6.717561568454943e-7;4.6249289235709455e-10;6.977062304743724e-7;6.31647787715163e-7
9.98909928810876e-7;9.989564230657076e-7;9.988874102986417e-7;9.989695287952918e-7;9.965797410566932e-7;9.938075046614618e-7;9.982364556714655e-7;9.980508407278029e-7
9.985014555166341e-7;9.985630118090779e-7;9.984713840014281e-7;9.985906059414714e-7;9.9345818492316e-7;9.979074562871822e-7;9.975853788460073e-7;9.97428270415904e-7
1.4684216637576447e-9;1.4191700241542585e-9;1.4986342773682623e-9;1.3964973202166592e-9;2.360027276427114e-9;7.38301439940779e-9;2.3357407821674885e-9;2.493735417507333e-9
