agent_type;agent;Q_cfd;Q_cfd_total;share_cfd;Q_cfd_bar;cfd_penalty;ζ_cfd;cfd_premium
Gen;WindOffshore;4.999999999885475;34.999999999457685;NaN;0.0;1.2499999999427374;-0.03499999999945769;0.0
Gen;GasTurbine;4.999999999964812;34.999999999457685;NaN;0.0;1.2499999999824063;-0.03499999999945769;0.0
Gen;Baseload;4.999999999964812;34.999999999457685;NaN;0.0;1.2499999999824063;-0.03499999999945769;0.0
Gen;Peak;9.999999999960572;34.999999999457685;NaN;0.0;4.999999999960572;-0.03499999999945769;0.0
Gen;WindOnshore;4.999999999918813;34.999999999457685;NaN;0.0;1.249999999959407;-0.03499999999945769;0.0
Gen;SolarPanels;4.999999999763199;34.999999999457685;NaN;0.0;1.2499999998815996;-0.03499999999945769;0.0
Cons;TypeC;0.0;34.999999999457685;0.0;0.0;0.0;-0.03499999999945769;0.0
Cons;TypeA;0.0;34.999999999457685;0.0;0.0;0.0;-0.03499999999945769;0.0
Cons;TypeD;0.0;34.999999999457685;0.0;0.0;0.0;-0.03499999999945769;0.0
Cons;TypeB;0.0;34.999999999457685;0.0;0.0;0.0;-0.03499999999945769;0.0
