x1;x2;x3;x4;x5;x6;x7;x8
1.5344036211370792e-8;2.3164267047724884e-8;3.202076170574466e-8;1.865616998078215e-8;9.063261126164414e-8;1.1323584178349024e-7;2.746566491216049e-8;2.390721375496637e-8
4.225566878719067e-8;3.320385836366012e-7;1.8396069100086594e-7;3.1550681675295283e-7;3.356227867785664e-7;8.787406272861419e-7;3.8624514443430187e-7;1.4908248992074894e-7
1.8557783894135847e-7;1.0547070227272613e-6;2.485259312364388e-7;1.184240838969575e-6;5.057902641408992e-7;6.964289256078205e-7;6.232253052355988e-7;4.3306514833024473e-7
1.4761876855339497e-6;7.75357136979018e-7;2.7184824971972304e-7;5.774563064392515e-7;5.211137866574258e-7;3.896755496738147e-7;6.32242888019732e-7;1.007086807123588e-6
4.848346210222796e-7;3.4899614351557747e-8;6.275473290498718e-7;1.0298361367399014e-7;4.137393925912996e-7;1.4943808081573616e-7;4.551086583664226e-7;5.31754195372713e-7
2.4179447178988545e-8;8.800946105429354e-9;6.638090444746623e-7;1.623286215840817e-8;2.0315342628126653e-7;3.368696951882057e-8;1.1015954159397545e-7;8.813617495773201e-8
7.969371017499177e-9;3.949429916108054e-9;7.824361349886999e-8;5.39762913687352e-9;1.437171810302511e-7;1.5559240522113343e-8;1.6082825826936706e-8;1.6405954402121335e-8
3.6157263197500364e-9;3.1498858741296564e-9;2.0125189352883727e-8;3.5965355918258416e-9;6.219012523772669e-8;8.957566998484899e-9;6.115100938064732e-9;7.960315410226875e-9
2.8392513599795032e-9;3.1976155868564403e-9;6.5422239454564485e-9;3.273326740031646e-9;3.0559170437126186e-8;8.362231582138457e-9;5.288671633003236e-9;5.328050728452993e-9
2.808267869464299e-9;4.09525032938898e-9;6.124219352482108e-9;3.3968152386754474e-9;2.2517168812089877e-8;2.1560608794416185e-8;5.404177642375452e-9;5.074952559814665e-9
3.0140135374367526e-9;4.448265011019019e-9;8.034543613204768e-9;3.62761608472865e-9;2.0524532303997613e-8;3.129080305217581e-8;8.388180308296732e-9;5.670959650085845e-9
3.5512647776774346e-9;7.815136603420933e-9;1.6808110403986418e-8;4.2504354610248e-9;1.7666643040364797e-8;5.263233709242159e-8;1.2540404204226236e-8;6.30446357825279e-9
6.932013246202173e-9;7.2927777707188815e-9;4.147024997248189e-8;7.00757078501217e-9;1.641274281513106e-8;7.38896115248519e-8;1.4526584647711253e-8;1.1606810655116462e-8
8.926293329263975e-9;7.842866601813471e-9;5.4266968646941857e-8;1.0949025411449072e-8;1.9609296373484542e-8;7.109586990123169e-8;1.1992271189971619e-8;1.335222841088968e-8
9.791641473641707e-9;8.201662180406081e-9;3.789065097413917e-8;1.0434344596506386e-8;2.31938395146373e-8;5.8872160912758334e-8;1.1377162456446708e-8;1.2869848217184581e-8
8.066593039733602e-9;5.9423380092067714e-9;1.9715403809993673e-8;8.565501109809433e-9;2.7245663635963798e-8;3.675148150006563e-8;1.0811099544411976e-8;1.2120425082644752e-8
4.729337785659746e-9;3.7819967941571214e-9;7.253818019170458e-9;5.828203066207827e-9;1.7446797899171705e-8;1.8039934414010044e-8;8.008969116320685e-9;8.283141449217045e-9
2.7897357120431093e-9;6.277144324630701e-9;6.2358607030339205e-9;7.588489909205988e-9;1.6027917900678462e-8;2.4948630421670023e-8;4.767308157567902e-9;4.813284037927918e-9
4.001961089191335e-9;1.1100415785433757e-8;9.865407040072887e-9;8.743331126479394e-9;1.8103825457492237e-8;1.4989082264128156e-8;8.5948413233968e-9;8.373305894586859e-9
1.0260551475409908e-8;1.4412633468632364e-8;1.3339154562526466e-8;1.2744919359467452e-8;1.9784569639005586e-8;2.374473027954253e-8;1.5733818025152513e-8;1.4842152875748466e-8
4.468687904444839e-8;3.6836748997712816e-8;2.7773778236170583e-8;3.4841030532659995e-8;6.248055964689693e-8;1.195017888345289e-7;4.6016362469253946e-8;2.1067431382819032e-7
5.712658188712935e-9;6.52535876815832e-9;7.2561977087646245e-9;6.169339198912459e-9;1.8247166357892448e-8;1.9749135913297354e-8;1.0852910913723116e-8;1.191435776516832e-8
1.0311837561909763e-9;1.1460882304730608e-9;1.3195567535847524e-9;1.084155444752185e-9;2.822592703355176e-9;2.955948177333936e-9;1.7448539618156785e-9;1.7914891971935356e-9
6.65282007785461e-10;7.440261424353551e-10;8.153963939768438e-10;6.875910324375291e-10;1.7008262786305845e-9;1.8150270528825412e-9;1.1049935953162712e-9;1.1265444536479863e-9
