x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.356819468485162e-9;2.7315803821542552e-9;3.798256176173769e-9;2.457007975505324e-9;6.35912949897707e-9;8.845334733343237e-9;4.677050013180852e-9;4.832723565875288e-9
3.8472047405946996e-9;3.3459480541204172e-9;4.278624732670285e-9;3.3291505267468516e-9;1.0794471222440343e-8;1.6757654692711905e-8;5.463095436648669e-9;5.129173238715814e-9
2.938082299616871e-9;3.425066714007721e-9;5.082347013383513e-9;3.2193616066940663e-9;4.3118695856278255e-8;1.983626986701467e-8;6.6137566092230596e-9;6.3188618474136875e-9
3.3702430423375537e-9;4.157385666986291e-9;5.598470184176898e-9;3.7162245507387757e-9;3.016874933185429e-8;1.2741165684636956e-8;7.419395030514847e-9;7.086689727283887e-9
3.95835560393138e-9;9.179457613870078e-9;7.025519192099117e-9;5.961220736535521e-9;1.7973758002477394e-8;3.947132061037993e-8;1.0026484019732501e-8;9.952321842127146e-9
8.224713574755894e-9;1.4805795575773324e-8;1.3176773854640928e-8;9.167485669410315e-9;1.3936228256042714e-8;1.1900337593437979e-7;1.2897406931056965e-8;1.2366717848442053e-8
1.2915410667890771e-8;1.307854545950309e-8;1.4504399777292344e-8;1.1357536999711588e-8;1.1430604128261393e-8;1.292272186517462e-7;1.5965774818633044e-8;3.3425055178200655e-8
1.2236949326493646e-8;7.654045265441876e-9;1.5762944719841476e-8;1.024541669655328e-8;1.1460497391001924e-8;1.810765151186632e-8;1.449567028251653e-8;5.429832703750299e-8
9.80341131789179e-9;6.419581102129935e-9;9.132742390496943e-9;8.351664498314571e-9;1.4155088804995587e-8;1.0867127150716964e-8;9.56955415530264e-9;3.8941327500301664e-8
6.925649988353025e-9;4.760843101013657e-9;5.319001805652092e-9;6.463148036094394e-9;1.6043318279736332e-8;1.170083394956126e-8;7.767938286953845e-9;2.5463822988703574e-8
4.158585726646343e-9;4.8305391493751146e-9;4.535763854099277e-9;5.407161823202392e-9;1.5860365292016605e-8;1.6165021458247335e-8;6.253288073390391e-9;1.4480477084184154e-8
3.1844868046612838e-9;4.067636616215086e-9;4.2632697933540925e-9;3.239962101591899e-9;1.4833305942325139e-8;2.109171952808305e-8;7.229637467535412e-9;1.0122366692056577e-8
2.9814457462430228e-9;3.8348619484382416e-9;4.381690288221118e-9;3.227561681884777e-9;1.3735852956052524e-8;1.744201904088683e-8;7.318320239827766e-9;7.106817511117865e-9
3.0105918339216717e-9;5.267378294230074e-9;4.777579569233121e-9;3.5894927504359852e-9;1.2235048327100591e-8;1.177068502004603e-8;7.484942418670405e-9;6.155857555601301e-9
4.56586638471803e-9;8.875872699402184e-9;6.948137968878992e-9;5.669304071779165e-9;1.670633861759152e-8;1.3114648494217694e-8;8.664831971951071e-9;1.1419057944655592e-8
1.0662354769081557e-8;4.43037048048421e-9;6.885514600787443e-9;3.7797003978499824e-9;1.5442722447944254e-8;9.520854161701524e-9;1.3806153550340716e-8;2.3539431542023462e-8
5.0449664452903975e-9;3.0906611185896428e-9;5.070111337782331e-9;3.5909456708561007e-9;1.3908471670910004e-8;1.267925013961399e-8;7.951994693144314e-9;9.72088115265432e-9
2.7475640826369417e-9;2.8062637327846382e-9;4.324427301089753e-9;3.026080550561225e-9;1.3192028796363316e-8;1.0971215353900846e-8;5.033492138896804e-9;4.573571330269213e-9
2.07766798263858e-9;2.290510090073119e-9;3.5289535961668266e-9;2.609379454690674e-9;7.35173154287075e-9;6.54362135895424e-9;3.2645092487884977e-9;3.500775663996766e-9
5.317172766943864e-9;6.0410554657702145e-9;6.9006123057067e-9;5.7579085649889966e-9;1.6957464112894166e-8;1.8287153053916224e-8;1.0067144822005135e-8;1.0875057677277358e-8
1.7959809744313188e-6;1.7956676861944156e-6;1.795950955362275e-6;1.7966674786402278e-6;1.7906604026951877e-6;1.7889552490331466e-6;1.7929952195193326e-6;1.7934560689741437e-6
1.795693510676885e-6;1.7953675210084875e-6;1.7955490461021365e-6;1.796355009412522e-6;1.7899630713760377e-6;1.788159998517164e-6;1.7925554765543005e-6;1.7930932544565303e-6
