x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
-6.292481649126318e-7;-6.280228875383862e-7;-6.006394407703149e-7;-5.855736058524456e-7;-5.220865600465828e-7;-4.3849723721727385e-7;-6.496538145501574e-7;-5.765815390165492e-7
-1.2176268717609085e-7;-1.402243870075029e-7;-1.830312551433946e-7;-1.5312552584542e-7;-1.8623536361756354e-7;-2.116039878136737e-7;-9.419186084106729e-8;-1.3052042664411344e-7
-5.834689390210141e-9;-4.111630934840423e-8;-3.903992869678292e-8;1.505596148103053e-9;-6.676661900458613e-8;5.937888344914109e-8;1.3450430539249156e-7;4.003069078391087e-8
-7.459419379268911e-8;-5.558650383732426e-9;-4.100952625372358e-8;-2.8227201349209125e-8;-2.1212435121173894e-8;-8.977642962065769e-8;-6.057582266902915e-8;-9.593703327977846e-8
6.547236225258349e-10;1.7854803967807608e-7;2.78057954065621e-7;1.8311163800435138e-7;2.1002273406307641e-7;8.156987569503657e-8;-9.689707007991982e-8;1.8301749966430066e-9
9.862917374987366e-9;6.008297003680267e-7;5.744053352029728e-7;5.207816709770646e-7;6.616089213253695e-7;4.6609898788970435e-7;-2.015492531736366e-8;-5.797183065066594e-9
6.142848575952486e-8;8.553048166758383e-8;3.0755240316511354e-8;1.4058926510272064e-7;1.1929902012141819e-8;3.06023897310796e-7;2.4187945634653323e-9;1.8931923581033136e-7
2.836077850164674e-7;1.577115905442066e-8;7.147516752934277e-9;-3.691668189247788e-8;-7.133365373460069e-8;1.4873355462880185e-8;5.992367248842456e-8;6.933329168658201e-7
3.01420007037563e-8;-7.223698795663401e-8;-1.0242023644178676e-7;-1.98427284481181e-7;-4.0598548636652887e-7;-2.392351331975894e-7;7.288064134311309e-8;-7.370969579882315e-8
1.6702080851150159e-7;-1.97062273531784e-7;-4.057727577631806e-7;-2.2791527354871625e-7;-2.2377033826232616e-7;-2.4719377992434363e-7;-6.352488031789088e-8;-5.117826136512583e-7
2.1424536328860262e-7;-1.7914033065294994e-7;-3.288483776407368e-7;1.515473476234161e-8;-2.22156683584608e-8;-1.3723033602198153e-7;1.3915228197958332e-7;-1.645653131392982e-7
-6.074566259631683e-8;-2.796101457706671e-7;-4.339226881074986e-9;-3.341934854058732e-7;-1.6965860390056597e-8;-1.0649720664758928e-7;4.66832389854828e-8;-3.5880248578936406e-8
-4.606919094546733e-7;-6.831596181165294e-8;-1.2402571981563684e-8;7.528786806571502e-8;6.399705121872099e-9;-7.0887647413362675e-9;-3.898452328564232e-8;6.290088308199595e-9
-1.232226196790637e-7;-1.2377032397675076e-8;-9.505401557016149e-9;-7.042135297948079e-8;-3.895073830147797e-8;5.164332769837401e-9;-1.3483938081016857e-7;-2.531851588045584e-8
-5.629676011614314e-8;2.406181573767145e-8;1.6677567626421975e-8;-6.049163257432648e-9;6.026795173157312e-8;3.958880778961318e-8;-2.212116208532202e-8;8.402688988311166e-9
4.098273938604179e-7;5.0289459540917945e-9;-8.22084502271181e-10;6.217035938534955e-9;6.965651102207987e-9;1.897311553909544e-7;4.3694627836184247e-7;6.750863016560567e-7
4.649326837174409e-7;1.1718385962097099e-8;6.101987783184176e-9;1.8890136666725516e-8;4.552187144492703e-7;4.924132466658575e-7;4.04706668254332e-7;1.9123399778432008e-7
-1.617033092899438e-8;1.601282835877503e-7;2.897100483093669e-8;1.1461618517683124e-7;3.679022635059424e-7;-3.1782295497112147e-9;-4.8846026629616273e-8;-5.6133912995209784e-8
-8.64327560288541e-7;-1.8562987117385268e-7;-4.4114527447136834e-8;-1.5749926944415758e-7;-8.714339923010608e-7;-6.800619789999946e-7;-8.11684340040091e-7;-8.196077015755312e-7
5.373645812032264e-9;7.046603279780554e-9;2.9615930016990716e-9;7.791997085364123e-9;6.2329271572336145e-9;1.4568728838891262e-8;6.569821892446802e-9;7.96047514476868e-9
8.945828100926361e-7;8.944521591317587e-7;8.975659865987976e-7;8.940501858157307e-7;8.927008356981623e-7;8.880565750570442e-7;8.94036888333581e-7;8.925131767496383e-7
8.94520680814301e-7;8.942229958365595e-7;8.974487448232537e-7;8.93776598877087e-7;8.92611706821665e-7;8.875553080506267e-7;8.93824007626872e-7;8.923109008731226e-7
