x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
-8.817344359149853e-7;-8.788501733551386e-7;-8.872561637883804e-7;-8.711970980067558e-7;-8.559841646438083e-7;-8.413898928677186e-7;-8.82970676263685e-7;-8.725566455707114e-7
-8.331047606949249e-9;-1.3307097624756635e-8;-6.8629560237566e-9;-1.765409180021719e-8;-3.042735780031017e-8;-2.158645903671839e-8;-6.406217229469753e-9;-1.3052850271207975e-8
-2.0786598233040956e-9;-2.7817562254161067e-9;-1.1473219369897554e-9;-1.3842240461463017e-9;-7.546087500489671e-9;2.0523464458473676e-8;7.92293182057304e-8;2.188949029502787e-9
-2.661788266104691e-9;4.350731976115065e-10;-2.10165085253824e-9;-3.937455978528989e-10;-1.7667572228807692e-10;-4.216379361750676e-8;-6.949863106889082e-8;-8.48181741513689e-9
3.8158569561504774e-11;2.8339838613287425e-8;6.099628404352606e-8;7.905049622405928e-8;2.4351251353664434e-8;1.5683006526817638e-8;-1.0508180289958087e-8;5.16546997821883e-10
9.06595489516602e-10;8.63754737547563e-7;8.356420384415951e-7;8.032742696646095e-7;8.721344031314312e-7;8.541342005834047e-7;-1.4109573522960787e-9;1.4273559167699316e-10
4.83674737106527e-9;5.933356402924436e-9;2.1574155410631733e-9;9.345693067493563e-9;2.2926400806623277e-9;2.13525472589002e-8;4.383678039670144e-10;3.312098531911124e-8
7.997178544680314e-7;1.8325396343505446e-11;-3.2055079035024926e-10;-1.7024676407328494e-9;-3.1866231954496394e-9;2.026540747942432e-9;4.433915421208317e-9;8.618267590538474e-7
5.428435110829754e-8;-3.83676778060671e-9;-3.6764571974564927e-9;-7.881056483329893e-9;-4.59910684735483e-7;-1.2681481023360253e-8;1.0207486667523448e-8;-6.324418994836628e-10
2.254781186649915e-8;-1.1172536480517438e-8;-1.8859717730637318e-7;-1.4792575008751223e-8;-4.161077451532502e-7;-2.6225631557203142e-8;-8.95256858753004e-9;-7.63738708436195e-7
1.3580802451182882e-8;-3.4707197893440275e-8;-7.0223255030233e-7;-1.714782620131119e-8;-7.3018524958738005e-9;-7.964592806082076e-7;3.355890106697741e-8;-1.1624201316209848e-7
-8.897585074379169e-9;-8.323566897757667e-7;-5.981675497627773e-11;-8.427226198542534e-7;-1.4233392523971416e-9;-4.683938765948552e-8;4.5925402656258455e-8;-5.866414389395711e-9
-8.336975523960411e-7;-8.990372028535748e-9;-7.073050517117607e-10;4.696173085367074e-9;2.7046744339521366e-10;6.220731853688896e-10;-5.069378362247869e-8;3.892560165589845e-10
-4.399022273508391e-8;-9.872477954955222e-11;-6.432417927916988e-10;-5.096768224011086e-9;-1.9718058035821093e-9;1.035988617518643e-9;-2.8019066972721105e-8;-1.951832701074681e-9
-2.7567099652593503e-9;1.529554008138886e-9;1.0360800041232331e-9;-2.828736680346022e-10;3.2809135463300472e-9;2.7598182522126704e-9;-3.310917611332622e-10;1.1359516475317523e-9
8.317035837441779e-7;4.909871120468484e-10;4.1296662027381075e-11;4.902802157238694e-10;2.8172841366577704e-9;6.792651504490964e-8;8.444743862230489e-7;8.795272010193488e-7
6.31153485651866e-8;8.9747931630733e-10;5.336639779666303e-10;1.6238780445663434e-9;8.586656645926356e-7;8.214632918110039e-7;4.8266881563322395e-8;1.4607222794322923e-8
-1.8370119541362408e-9;3.3925354785459444e-8;1.7642412145822604e-9;1.67719685711693e-8;3.0018067379125677e-8;-4.0947830141222974e-10;-6.720526994524547e-9;-6.03555786502861e-9
-8.935448080423353e-7;-3.5558145852656005e-8;-3.118292194714123e-9;-1.9647267625958334e-8;-8.929314704494111e-7;-8.874286662593743e-7;-8.875405186014358e-7;-8.881874847577519e-7
5.535497740709037e-10;7.104449226020838e-10;2.452452324115754e-10;7.953071052065512e-10;7.409090210191298e-10;1.3316573826887988e-9;6.99554356301044e-10;8.49169486474329e-10
8.993901584890027e-7;8.993789071720002e-7;8.996736151146533e-7;8.993395220381251e-7;8.991911772322367e-7;8.987536689814832e-7;8.993357715093504e-7;8.991868843970358e-7
8.993552258967585e-7;8.993274741158119e-7;8.996566443506437e-7;8.992854669851613e-7;8.991694881214524e-7;8.987058989588907e-7;8.992874942796064e-7;8.991518699649868e-7
