x1;x2;x3;x4;x5;x6;x7;x8
8.628961782863236e-13;3.125761737560707e-13;2.012607490883653e-13;4.83407017985637e-13;1.7981332355280063e-12;2.3174935869982448e-12;1.4375535418786003e-12;1.912431773950775e-12
6.023896827060021e-13;2.628919180996034e-13;1.777145674501443e-13;3.7798862310125305e-13;1.698016931052367e-12;2.130590817778685e-12;1.1130259789750191e-12;1.6604474647138714e-12
4.78883918254842e-13;2.436275681981666e-13;1.6455460355976043e-13;3.4193300783331644e-13;1.6431131388650528e-12;2.1297813807093272e-12;1.0039617826467612e-12;1.523921639849478e-12
4.1793478295032806e-13;2.44666360676683e-13;1.577748185968789e-13;3.4942326375164403e-13;1.6244178914852718e-12;2.1732454023672068e-12;9.827027283104558e-13;1.4668056510119571e-12
4.3695952753827067e-13;3.2465151775693626e-13;1.4822957504538893e-13;4.0932726708269436e-13;1.628133588349478e-12;2.913485994237655e-12;1.0008024048712352e-12;1.484397068085239e-12
6.503264008001681e-13;7.802585033831429e-13;1.4711985019796496e-13;6.509968926415396e-13;1.6842074067171006e-12;7.1620447763337895e-12;1.351772427796218e-12;1.6778824568873109e-12
1.3240417318218888e-12;1.8540314816458214e-12;1.7263740435695585e-13;1.1172491074798164e-12;1.7802227533357224e-12;2.4040878710550374e-11;2.563942935093047e-12;4.3341845691005824e-12
1.0951431506874725e-11;4.859843803316933e-12;2.1398682549280756e-13;2.263259497341776e-12;2.0633860094667916e-12;7.341321194237981e-11;1.25964847536471e-11;2.040406311540201e-11
9.858139943087525e-11;5.6453510215569336e-12;2.7673577654067385e-13;3.4083516750026725e-12;3.6186380362370104e-12;8.553887345269554e-11;2.5900830283602864e-11;4.363652346600674e-10
2.4096566723041877e-10;4.133983187523546e-12;3.07329106350068e-13;3.481215363131262e-12;5.36722953043254e-12;2.817602039993671e-11;4.511851581823222e-11;1.410810810823279e-9
2.3721841862324444e-10;3.9283771591633984e-12;2.923429260634643e-13;3.1966100550531548e-12;7.0966965274170915e-12;1.9145222195259268e-11;2.4817006265959106e-11;1.3261061442494285e-9
1.2477715647752604e-10;3.3320916180957992e-12;2.7768890070645584e-13;2.4600457086643495e-12;8.900007986885253e-12;1.5159853873047534e-11;2.233022236587305e-11;9.777823671992123e-10
4.351151605583217e-11;3.6213104745025194e-12;2.4296569756103864e-13;1.9189682901135443e-12;9.649011355883232e-12;1.461883734367893e-11;2.1424968204726207e-11;5.324719521350013e-10
4.2470449581396874e-11;3.4226164452302595e-12;2.414065820473582e-13;1.2667892927917063e-12;8.638442780840766e-12;1.5104633462106786e-11;3.265901600082777e-11;3.460532673146007e-10
4.216169531812621e-11;3.283626709288014e-12;2.7639436661823206e-13;1.2589265547028382e-12;7.286604737978088e-12;1.6908285439406e-11;5.3214828102676674e-11;2.1186411020394804e-10
6.918278359237379e-11;4.0697344790909974e-12;3.685107685472077e-13;1.4507343897540138e-12;6.885213591792886e-12;2.1623256494084122e-11;9.12677922188509e-11;1.5572471800266766e-10
2.1235888285855365e-10;5.862116813653702e-12;6.399005758665772e-13;2.1592615799765253e-12;1.0758051450339475e-11;4.019147558624616e-11;2.1154305502546924e-10;3.546587277431622e-10
2.1048890716134583e-9;4.428380918857841e-12;8.53104539048154e-13;1.888990349412598e-12;1.2587446731642174e-11;3.6648491185772887e-11;9.801036269932719e-10;1.189358327192972e-9
5.456005677846756e-10;3.1929559437943612e-12;9.042877905676513e-13;1.983589047779141e-12;1.3192539319375294e-11;1.025826827557148e-10;3.3446571395877816e-10;2.903633840847651e-10
1.1273219102893484e-10;2.8966255500534143e-12;1.0015227824929388e-12;1.7648062198114065e-12;1.3745307241480739e-11;5.47954220064392e-11;1.1613790874635812e-10;6.664646036494415e-11
1.6403131487178666e-11;2.1615672612414755e-12;1.008674560409516e-12;1.3786341794943923e-12;9.331507131314385e-12;2.2030365889610878e-11;2.248686017144855e-11;2.011131225851584e-11
7.62114811519202e-12;1.1261581907802569e-12;9.346144215521827e-13;1.266528720880561e-12;6.145602360868044e-12;1.1907682424376438e-11;1.0370427852630743e-11;1.1080069892900406e-11
2.4642982361781045e-12;7.724447353444132e-13;5.445967070024583e-13;1.051742910980519e-12;3.411316083234637e-12;6.835610703752067e-12;4.128508589571697e-12;5.35680090211437e-12
1.1565704004605167e-12;4.079438042928967e-13;3.3823772131090884e-13;6.230486852126335e-13;2.0484604279317294e-12;3.791488179560206e-12;1.831422941942399e-12;2.7975488098286243e-12
