Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;1.151879889893824e-12;-11.925;-0.6819737616383406;0.0;0.0;-1.7538851489041896e-6;0.0
2.0;8.781204454360376e-13;-11.547;-0.6570097409197951;0.0;-1.5784966340137707e-6;1.987727790006006e-6;0.0
3.0;7.358449429330562e-13;-11.302;-0.6334901040092236;0.0;2.1061622661481258e-7;6.809688682227914e-7;-1.510078284957493e-6
4.0;7.083264789361463e-13;-11.26;-0.6168508141484373;0.0;2.5013319074565447e-6;8.770044286304832e-7;-1.3785004156271374e-7
5.0;7.476786727348652e-13;-11.355;-0.6049770343279235;0.0;3.4435524728806944e-6;4.046387462503114e-7;-2.161013694734438e-8
6.0;1.0402860962129967e-12;-11.845;-0.6118535375467283;0.0;3.831394252533512e-6;7.521810789389985e-8;-5.574774260129532e-8
7.0;1.4842053454499544e-12;-12.951;-0.6456085321664358;0.0;3.960649346436431e-6;1.90160076762791e-8;4.691824791900326e-9
8.0;6.927241061624076e-12;-14.665;-0.6995130531290543;1.9688402264233852e-7;3.972154549752772e-6;1.0580544755262189e-8;1.3594992632849597e-8
9.0;2.0796557555922155e-11;-16.079;-0.7269452805595116;1.3852665098796078e-5;3.9661742772077e-6;8.937888930458191e-9;2.1054242392032785e-7
10.0;3.2317906679228986e-11;-16.317;-0.6968757587891903;6.301527632327155e-5;3.7398857332392497e-6;9.391077033259175e-9;1.4616461833317267e-6
11.0;1.7609704566642696e-11;-15.94;-0.6479573460793628;0.00015816325041869672;2.12391239918283e-6;1.110923898058262e-8;1.6455672640907715e-7
12.0;1.0173996530116928e-11;-15.256;-0.600431408709781;0.00029966845516101153;1.9508575159042386e-6;1.2813200107252534e-8;9.42001705553411e-9
13.0;6.365934887211893e-12;-14.688;-0.5718807681402913;0.00043300579032020347;1.951727624631916e-6;1.9934589921296178e-8;-3.2061390895212427e-7
14.0;5.408606007561588e-12;-14.491;-0.5706304132070221;0.00045613374722251385;2.3257112594120903e-6;2.5869417708875215e-8;-1.2262744556578462e-6
15.0;5.990510741237678e-12;-14.592;-0.5933422765564651;0.0003297423147855968;3.7112883371773e-6;2.2410428201357696e-8;-1.588343616496645e-7
16.0;9.328972763016273e-12;-15.098;-0.6453491196862612;0.00015230389317900803;3.907569217779987e-6;1.5995655239865502e-8;-1.7656352738056622e-8
17.0;1.6950151838831678e-11;-15.817;-0.7200241622914523;4.583740924429033e-5;3.941192720283039e-6;1.0937880656163499e-8;1.4124457958055397e-8
18.0;1.7587475076088374e-10;-16.907;-0.8248368039085361;0.0;3.934948851425942e-6;8.635103052262838e-9;1.66855982516383e-6
19.0;4.8768874313345463e-11;-16.335;-0.8530347146023525;0.0;2.0883715879946913e-6;1.0714598978319158e-8;1.1659369485369785e-7
20.0;1.57900502441126e-11;-15.579;-0.8630025587345083;0.0;1.968257340078937e-6;1.929725404257519e-8;-8.540983681767523e-8
21.0;9.776923912586912e-12;-14.939;-0.8652058724699585;0.0;2.080327861669553e-6;5.622598640886579e-8;-1.6768327548538645e-6
22.0;4.860747179567387e-12;-14.095;-0.8392774711462101;0.0;3.9938707220445475e-6;1.3607439464208252e-8;1.2687160508224445e-8
23.0;2.0363565432494877e-12;-13.195;-0.7948590492485766;0.0;3.991621185480993e-6;3.19523023458556e-9;3.5904049052340207e-6
24.0;1.3675055378073129e-12;-12.566;-0.7555182179736699;0.0;4.758946980214696e-9;2.041139343694834e-9;3.590040436251689e-6
25.0;5.671273399601593e-12;-11.765;-0.6728482608817172;0.0;0.0;-1.4706306329967698e-6;0.0
26.0;4.2220348743135034e-12;-11.338;-0.6451483009211445;0.0;-1.3235675696970928e-6;1.8044571272527604e-6;0.0
27.0;3.4427408803327006e-12;-11.065;-0.6202388262212122;0.0;3.005762016328782e-7;4.546902089994576e-7;-1.3370713631532874e-6
28.0;3.1343616298396138e-12;-10.953;-0.6000736883408182;0.0;2.195402180060324e-6;5.404616436928822e-7;-1.788962494322999e-7
29.0;3.046012720589295e-12;-10.931;-0.5824418351668067;0.0;2.8803717296462453e-6;5.302807966300234e-7;1.7339128995266665e-7
30.0;3.2604580396624215e-12;-11.038;-0.5702692973945751;0.0;3.1646794206040068e-6;3.5913794548401515e-7;-1.0443574059705749e-7
31.0;4.314696699984254e-12;-11.445;-0.570720400825965;0.0;3.6036268153720673e-6;1.5981553864088927e-7;-3.651523968220789e-8
32.0;6.950371464419935e-12;-12.185;-0.581513375231798;1.3519351791483555e-5;3.7876729260031175e-6;7.329003915706692e-8;3.883111588804559e-8
33.0;1.0582277747220339e-11;-12.898;-0.5834912971190777;4.432852831614745e-5;3.810109509631827e-6;4.724577619407839e-8;-5.430030532349374e-9
34.0;1.764833597138421e-11;-13.817;-0.5903974232813587;7.53516005263047e-5;3.8582830645137004e-6;3.122079388340866e-8;1.1369579220390309e-7
35.0;2.1723204821066266e-11;-14.216;-0.5781108517886134;0.0001197959072314147;3.7596672926979807e-6;2.8733622682750758e-8;1.755176664038868e-7
36.0;2.2861161726745173e-11;-14.325;-0.5640227297706621;0.00016033350864227226;3.5901319570455343e-6;3.1202278816386e-8;4.242727077633574e-7
37.0;2.2902481392469513e-11;-14.334;-0.5583771378032292;0.00018441073203252862;3.146440875047514e-6;3.30550081071522e-8;6.004419986790158e-7
38.0;2.1251384886902046e-11;-14.194;-0.5592367230470194;0.00017963062062404208;2.5087179619464285e-6;3.539614722332728e-8;-2.74391082536742e-7
39.0;2.0856924918739555e-11;-14.143;-0.5753215024280003;0.00013846427300468858;2.8452026032476086e-6;3.5716972982975554e-8;-5.104265474849806e-7
40.0;2.129586664703613e-11;-14.152;-0.6051018282259839;7.615194658950402e-5;3.444203966988607e-6;3.598086209576335e-8;-2.3158886732957802e-7
41.0;2.4612113825025915e-11;-14.371;-0.6544164982044038;2.4909793010912828e-5;3.7335632861776263e-6;3.452752649866079e-8;-1.1665377523605327e-7
42.0;8.424334406700398e-11;-15.213;-0.7424560299111251;2.9289210226732314e-6;3.8938800095156405e-6;2.6658392903887048e-8;2.5711654219367034e-7
43.0;1.1978539648276004e-10;-15.359;-0.8022304148824675;0.0;3.6317981282463313e-6;2.3565756714099122e-8;1.4338916137219358e-6
44.0;4.516113819620445e-11;-14.772;-0.8184378851151308;0.0;2.0594312253407116e-6;3.585770981686225e-8;-2.856594334493291e-8
45.0;2.3568395214444648e-11;-14.127;-0.8183191265733807;0.0;2.123237158103279e-6;7.986271951499385e-8;-1.6141594571289681e-6
46.0;1.716575589240966e-11;-13.549;-0.8068605811266099;0.0;3.988411789872039e-6;2.9590859674990777e-8;2.772316690694926e-8
47.0;1.219237372348006e-11;-12.952;-0.7802619042801162;0.0;3.9838412036150445e-6;6.554571602188916e-9;3.581685568973218e-6
48.0;8.432394589298787e-12;-12.347;-0.7423866863114994;0.0;9.691301744187716e-9;4.026453829065206e-9;3.5809450318061054e-6
49.0;3.1368275780400793e-13;-10.096;-0.5746350940578079;0.0;0.0;-1.6791384786388506e-6;0.0
50.0;2.7840121415119185e-13;-9.897;-0.5549147277179841;0.0;-1.5112246307749655e-6;2.361210446509173e-6;0.0
51.0;2.6903692686515826e-13;-9.848;-0.5396705395679731;0.0;6.140158935932662e-7;8.923158107955038e-7;-1.520447418919144e-6
52.0;2.7635809554380917e-13;-9.91;-0.5281596120352297;0.0;3.1064247427411316e-6;4.764370261976967e-7;-1.5005157944186552e-7
53.0;3.3541357509326636e-13;-10.26;-0.5301559262434644;8.83394367212483e-6;3.7016314010024116e-6;8.83606646848657e-8;-2.1645907386452017e-8
54.0;5.297962416106251e-13;-11.008;-0.5489015776683266;7.897856320361726e-5;3.80483684428586e-6;1.9582772934765984e-8;-1.7982396446383957e-8
55.0;1.0250980675373803e-12;-11.991;-0.5720405317758479;0.00025142056247438573;3.842061296738703e-6;1.2361009437563905e-8;7.613216024663046e-8
56.0;1.2626713383620566e-12;-12.626;-0.5707837655036596;0.0004772572949256141;3.7682107099399147e-6;1.1417493921666219e-8;1.7426444690139332e-6
