Timestep;Price;G_WindOffshore;G_MidMerit;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
1.0;-12.100207924063934;4.447124182424448;1.594295016161359;3.203553846830519;8.944472843491496e-13;2.762252653836391;0.0;-0.20223134879665755;-0.07712636602767316;-0.4044626976641119;-11.925;0.0
2.0;-27.31798814557483;4.461040085530353;1.5942950153635715;3.20355384682871;8.919026306387337e-13;2.6787810026141115;0.0;-0.19460893718421193;-0.07490531898792605;-0.38921676298200114;-11.547;0.0
3.0;-5.18141398940496;3.860668378909526;1.594295019146526;3.2035538468372877;9.036930371181765e-13;2.5574176167851514;0.0;-0.18699733997347653;-0.07411338084252032;-0.37399467967182287;-11.302;0.0
4.0;-1.281842974376212;3.93283702613929;1.624453137139589;3.233254949185687;0.0058203250308532265;2.5978485762086305;0.0;-0.17443262487661523;-0.07563901325430851;-0.3566113088183597;-11.26;0.0
5.0;0.038321297745002786;3.7459344843879987;2.121762398069653;3.729790316032574;9.324937219027681e-12;2.3680751844737014;0.0;-0.17430304397598043;-0.08125848218955115;-0.3495154425496713;-11.355;0.0
6.0;0.02501401019296915;3.756097423871709;2.5749407085160416;4.183917948446866;1.0210268707319643e-11;1.9418576121872202;0.0;-0.17293443516532314;-0.09193849216144727;-0.346913307918432;-11.845;0.0
7.0;0.02501718461752991;3.747967343957008;3.3666215366761496;4.975741729274011;1.0210735847298654e-11;1.506387233690331;0.0;-0.17879793391500343;-0.10821596371477421;-0.35867586431093124;-12.951;0.0
8.0;0.03984688196511439;3.2743902383364616;5.944794654187063;4.999999735903613;1.567167260671412e-11;1.1440424943030496;0.0005357084604671076;-0.19024876127993406;-0.12617599384287162;-0.3823311854602499;-14.665;1.9688402264233852e-7
9.0;0.039846099128348605;3.522357718334544;7.3032516113011665;4.999999735325179;1.5667956268090935e-11;0.9422755444372792;0.037499994641189145;-0.19672953393585493;-0.13429458730304844;-0.39535129208384256;-16.079;1.3852665098796078e-5
10.0;0.03984176292225502;3.6991869833358884;7.239567543449223;4.999999735433669;1.5668652949159645e-11;0.9058619794469105;0.16874999216752593;-0.18929876915766186;-0.12665379981645286;-0.3804064294752433;-16.317;6.301527632327155e-5
11.0;0.03983856220947241;3.260162593336632;6.819971159215907;4.999999735948818;1.5671964309525226e-11;1.0921083993429264;0.4151785592633565;-0.17716447765004564;-0.11425397323452842;-0.3559981291317486;-15.94;0.00015816325041869672
12.0;0.03982879103915864;3.4247967433365307;5.3011827845577635;4.999999735785437;1.5670913929838237e-11;1.3678963639602097;0.7619642740219698;-0.16488166262339396;-0.10367857122916072;-0.3312784116647284;-15.256;0.00029966845516101153
13.0;0.039760280171924886;3.4959349533012882;4.037775015770649;4.99999972900856;1.5627925423337014e-11;1.6714422084057616;1.054107133900177;-0.15719601458205026;-0.09826207007637422;-0.3157934238148488;-14.688;0.00043300579032020347
14.0;0.03999470976027353;3.711382108397184;3.518206079890857;4.999999746910477;1.5744084735186904e-11;1.7753104034109046;1.0560714190722909;-0.15658387821086373;-0.09881329618743448;-0.3145650370751767;-14.491;0.00045613374722251385
15.0;0.039778636270866544;3.5020325133101315;4.217812380694579;4.999999730696388;1.5638524258584063e-11;1.7368075383104293;0.7280357039856412;-0.16215825549390359;-0.10473487632709386;-0.3257882487643817;-14.592;0.0003297423147855968
16.0;0.03983442194445409;3.432926823335703;5.364674387166852;4.9999997356216825;1.5669861173763918e-11;1.6201050535550325;0.32499998947107367;-0.17514291890584596;-0.1176269181740495;-0.35193225254906596;-15.098;0.00015230389317900803
17.0;0.039849535212346944;3.5609756033376407;6.2775463329250805;4.999999735879122;1.5671515577201705e-11;1.6013013285895585;0.09660713866835319;-0.19351898062319;-0.13701287741520166;-0.38889038601799086;-15.817;4.583740924429033e-5
18.0;0.039861899799284194;3.5975609683341654;7.561159271277945;4.999999735189975;1.566708788442093e-11;1.5726480336337607;0.0;-0.2193349388307598;-0.1642349222463054;-0.4407829844737575;-16.907;0.0
19.0;0.0398702242871895;3.6341463333370823;6.919774999702637;4.99999973571244;1.5670442783494302e-11;1.633536288533879;0.0;-0.22484611386738773;-0.17573668491767572;-0.4518588924918074;-16.335;0.0
20.0;0.039873584887244;3.428861783337426;6.304573100828553;4.999999735951187;1.5671978231931156e-11;1.7078557734118642;0.0;-0.22677349333830293;-0.17976878504486948;-0.4557323559749353;-15.579;0.0
21.0;0.03987440980300008;3.2317073083362806;5.848295040837608;4.999999735907278;1.567169546527463e-11;1.7233763083849558;0.0;-0.22847858360082107;-0.17672488436747538;-0.45915865479144724;-14.939;0.0
22.0;0.03986835806426575;2.8089430833322875;5.439506048509848;4.999999735540714;1.566933897887176e-11;1.684873443446716;0.0;-0.22449958636701103;-0.16264457969842272;-0.45116231155130243;-14.095;0.0
23.0;0.03985748964603323;2.2865853583264175;5.12567801454644;4.9999997349412215;1.566549245732631e-11;1.5765281686245507;0.0;-0.21657844031505036;-0.14195387588700312;-0.4352442116363764;-13.195;0.0
24.0;0.03983255152269029;2.481707308310855;4.309916066917225;4.99999973177019;1.5645299891688344e-11;1.5287726786772657;0.0;-0.2100961628957082;-0.1220646891993888;-0.4222146989956401;-12.566;0.0
25.0;0.03985769270311591;1.1829267793077227;5.312992045684804;4.999998155504916;6.17066727899814e-11;0.9407831640753594;0.0;-0.19792735334421832;-0.07597070809055087;-0.3977638323978698;-11.765;0.0
26.0;0.039837778708400544;1.2215446641213978;4.69997324843799;4.999998147168752;6.167563128275314e-11;1.0604703638420652;0.0;-0.18956340497580446;-0.07343089157014572;-0.3809531921818408;-11.338;0.0
27.0;0.039811520462568195;1.2520324689095828;4.234890778653139;4.999998133615509;6.162548898498062e-11;1.1971704585762046;0.0;-0.18161942544044818;-0.07244402424371359;-0.36498652719905367;-11.065;0.0
28.0;0.03978511633477762;1.3658536085034836;3.8674636506859033;4.9999981162129;6.156166832909903e-11;1.318648493051984;0.0;-0.17445825515426944;-0.07386403342380181;-0.3505935353565386;-10.953;0.0
29.0;0.03987721624522704;1.4390243389798076;3.620059700464252;4.999998173150698;6.177284446961142e-11;1.4532592830041215;0.0;-0.16717700434204774;-0.07816620438808035;-0.33596835684410664;-10.931;0.0
30.0;0.040626946032377334;1.5528454798087963;3.4326314986918223;4.999998264651973;6.212747500441848e-11;1.6218958679423108;0.0;-0.16066080556699702;-0.08562268432411409;-0.3228851036298146;-11.038;0.0
31.0;0.03981012630539051;1.567073118535034;3.663997373622524;4.999998144827512;6.166693419087421e-11;1.7836675913105073;0.0;-0.1575370444051688;-0.09557533647392408;-0.31659189161966006;-11.445;0.0
32.0;0.03979040671033684;1.579268243392346;4.193080553874342;4.999998132269575;6.162053953243447e-11;1.9564827791157529;0.03678570449420777;-0.15807586315461097;-0.10483338898229196;-0.3176700944039712;-12.185;1.3519351791483555e-5
33.0;0.039818830363361424;1.5873983235546119;4.65800421194265;4.9999981485752345;6.168085960885342e-11;2.115269787339742;0.11999998226586071;-0.15780516014233018;-0.10771300404331248;-0.31712070074514176;-12.898;4.432852831614745e-5
34.0;0.03983328837771073;1.9857723083917245;4.9570000989253025;4.999998154946556;6.170454120306168e-11;2.2621179203591586;0.2017856918066351;-0.16029188465117497;-0.10723983825245641;-0.32211143489893057;-13.817;7.53516005263047e-5
