Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
1.0;0.007550701240002724;0.0;0.0;1.307232793264784e-12;0.0;0.0;0.0;-0.20751329626316695;-0.07957463479298162;-0.41622132959075553;-11.664;0.0
2.0;0.007252117241265159;0.0;0.0;1.0255688523446578e-12;0.0;0.0;0.0;-0.19816959003794268;-0.0766803112957338;-0.39743196123809066;-11.206;0.0
3.0;0.007081106593449252;0.0;0.0;8.601638251559405e-13;0.0;0.0;0.0;-0.19014106065884592;-0.07575429714905982;-0.3813060531440607;-10.951;0.0
4.0;0.0070056450605031585;0.0;0.0;7.968033806816325e-13;0.0;0.0;0.0;-0.1827823939001259;-0.07729621880858532;-0.366539755295905;-10.848;0.0
5.0;0.007051242492704241;0.0;0.0;8.344389497477136e-13;0.0;0.0;0.0;-0.1769148991596068;-0.08261981668528554;-0.35477953657323424;-10.935;0.0
6.0;0.007344337048722827;0.0;0.0;1.1290695372238476e-12;0.0;0.0;0.0;-0.175631963417492;-0.0934977552335578;-0.352246214103859;-11.408;0.0
7.0;0.00806434150054669;0.0;0.0;1.6096110117271688e-12;0.0;0.0;0.0;-0.182607251118962;-0.11070990887578583;-0.3663363519544599;-12.549;0.0
8.0;0.009060819783404006;0.0;0.0;6.117897902693202e-12;0.0;0.0;0.0;-0.19366473027674364;-0.12841954529912514;-0.38866708697359853;-14.13;0.0
9.0;0.00981283209784512;0.0;0.0;1.5135337449833537e-11;0.0;0.0;0.0;-0.1982109487839813;-0.13533906538517126;-0.3979051437723565;-15.341;2.770533019759216e-7
10.0;0.010087986536455082;0.0;0.0;2.0855105727255415e-11;0.0;0.0;0.0;-0.19367095124447334;-0.12964391543545098;-0.3888319367208427;-15.811;6.6282735095589325e-6
11.0;0.010030736962407834;0.0;0.0;1.9490347400288805e-11;0.0;0.0;0.0;-0.18489300218800322;-0.1193219778012215;-0.3711956035116167;-15.754;2.1142855225494103e-5
12.0;0.009981402289724717;0.0;0.0;1.8397629907166603e-11;0.0;0.0;0.0;-0.17916340311173704;-0.11278077716311079;-0.3596820907623493;-15.697;3.4903965867035055e-5
13.0;0.009888838625354598;0.0;0.0;1.6524838895408976e-11;0.0;0.0;0.0;-0.17587355238317856;-0.110092016009897;-0.3530618539737596;-15.558;4.5596543912566484e-5
14.0;0.009715878978280123;0.0;0.0;1.3528700976883401e-11;0.0;0.0;0.0;-0.17441925818353196;-0.1102037537645326;-0.3501173322833077;-15.279;5.220780065560656e-5
15.0;0.009545718294096122;0.0;0.0;1.108699342613313e-11;0.0;0.0;0.0;-0.17600051971024144;-0.11375951161739738;-0.3532669283129018;-14.992;5.2482165281934044e-5
16.0;0.009620626014273138;0.0;0.0;1.2107396404922378e-11;0.0;0.0;0.0;-0.1847428498914936;-0.12411512341188975;-0.3708292763884887;-15.078;4.352376639692422e-5
17.0;0.009831885028071885;0.0;0.0;1.5472188161153287e-11;0.0;0.0;0.0;-0.1985277815230575;-0.1405942911503512;-0.3985366542957305;-15.366;2.7875244559831018e-5
18.0;0.010394503200872145;0.0;0.0;5.515597348825878e-11;0.0;0.0;0.0;-0.22173613285434296;-0.16611569487559874;-0.4452291775266641;-16.192;1.0192645158902843e-5
19.0;0.010322726899978396;0.0;0.0;4.23817466693173e-11;0.0;0.0;0.0;-0.23285402746054518;-0.18208116720078774;-0.46754142107741453;-16.025;1.1323013005811012e-7
20.0;0.009955465749637269;0.0;0.0;1.7850310440859795e-11;0.0;0.0;0.0;-0.23679025733429815;-0.18776237884536032;-0.4753784925486429;-15.406;0.0
21.0;0.009458975384530357;0.0;0.0;1.0001562645557782e-11;0.0;0.0;0.0;-0.2358663668574459;-0.18244410041950648;-0.473432902941043;-14.601;0.0
