x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2363452466112342e-6;1.0711818126778734e-6;1.2943552816958347e-6;1.2783045059206323e-6;1.2344216038469043e-6;1.2397795988859987e-6;1.258089554998322e-6;1.2873274576506226e-6
1.6948518443858289e-6;1.3987653363188392e-6;1.815248836290034e-6;1.644957566331877e-6;1.6930322835815722e-6;1.7058832809024657e-6;1.7367834833669245e-6;1.8048990360937572e-6
1.8437830997050993e-6;1.382334766706729e-6;2.078144717150696e-6;1.8536731787127442e-6;1.852904230301425e-6;1.8796323053301274e-6;1.928233571348618e-6;2.021956980203643e-6
1.7958285438305587e-6;2.861346649329483e-6;2.223457294999363e-6;1.9966262402389806e-6;1.836078615828451e-6;1.8808583155878677e-6;1.93380547825532e-6;2.081391135007033e-6
1.5621722186347077e-6;2.521251282107846e-6;2.2698768217684877e-6;2.0736882546306924e-6;2.651118799365061e-6;2.644029921175473e-6;1.7851923641729666e-6;1.9887072920284797e-6
2.9098433124777923e-6;2.2804300150563696e-6;2.2873730719801185e-6;2.1577635975563595e-6;2.4971565440988703e-6;2.5325858706080874e-6;2.800420598026113e-6;1.805703190530819e-6
2.5318650708866474e-6;2.1560544634295767e-6;2.3024949493379833e-6;2.310699312895085e-6;2.3832769653654044e-6;2.4721728790124554e-6;2.612298853105489e-6;2.7352450327588297e-6
2.28740096096771e-6;2.090220163345739e-6;2.3279324266042304e-6;2.6167873160423455e-6;2.3497178903090535e-6;2.5220518432850222e-6;2.5274403185314976e-6;2.5037572537791953e-6
2.163780741113341e-6;2.055128561014907e-6;2.375854800080365e-6;2.9420161696539442e-6;2.3855594227485387e-6;2.627520767364812e-6;2.603953267401834e-6;2.336940434384303e-6
2.1008575708334513e-6;2.0360644790481863e-6;2.4372048239480352e-6;1.3802457844081562e-6;2.506138995198414e-6;1.8468841007114443e-6;2.752141303892705e-6;2.2505802887371365e-6
2.0696227081213216e-6;2.0261674304786507e-6;2.096763869913726e-6;1.4756772810327846e-6;2.668481765053689e-6;1.897476423489779e-6;1.649100051575054e-6;2.2067398350530435e-6
2.0569390539973502e-6;2.0220370002940266e-6;2.1287954509634577e-6;1.7276930536885345e-6;1.8505731562906496e-6;1.934948077078397e-6;1.7058002951761366e-6;2.1854861861822406e-6
2.0579057327927973e-6;2.0223992881028606e-6;2.1444003033463633e-6;1.8110629982276358e-6;1.9606456305352054e-6;1.8707152233934565e-6;1.7662420710568467e-6;2.177576911014066e-6
2.0731234952875557e-6;2.0268336488799955e-6;2.1139163603943775e-6;1.727286202049972e-6;2.1229921915610416e-6;2.6081234588921415e-6;1.6899292262857796e-6;2.179708806801369e-6
2.109403300318648e-6;2.038556057668932e-6;2.4578135757995294e-6;1.5098251735221758e-6;2.2193982825514953e-6;2.4770969353274942e-6;2.719785513445414e-6;2.1928667025236683e-6
2.1849408479304747e-6;2.061270513430048e-6;2.4117440890787464e-6;2.968167235576719e-6;2.275704998624011e-6;2.377654098345442e-6;2.539994643387094e-6;2.22313185283976e-6
2.3458882872160606e-6;2.105914357908181e-6;2.3793573004795788e-6;2.6481494008761613e-6;2.316576483458467e-6;2.3497422179745638e-6;2.4295572161767955e-6;2.285788053029995e-6
2.683078032049231e-6;2.1966358284293396e-6;2.3954355984663447e-6;2.5018049889618366e-6;2.360893121368993e-6;2.3855917465935672e-6;2.445576953134207e-6;2.4172482826556293e-6
3.069207706790727e-6;2.4085515199921315e-6;2.470955442012662e-6;2.5951299648442837e-6;2.430283024454412e-6;2.5129670875717295e-6;2.619816303467976e-6;2.6904876937544536e-6
1.7787818578684006e-6;2.996217731479934e-6;2.651911281418252e-6;3.100523619286809e-6;2.5613718291700062e-6;2.8284838823966616e-6;3.0659893293975017e-6;3.0688239138294426e-6
2.178228918419837e-6;4.065190815595374e-6;2.9964983388994297e-6;4.104870341946358e-6;2.7808198997043613e-6;3.4036892650419676e-6;3.598934710983252e-6;2.438857441706144e-6
2.506003852916355e-6;4.0722039793538276e-6;2.9061702612529467e-6;4.106446769517252e-6;2.448228239596339e-6;3.4155891320930346e-6;2.436154693003265e-6;2.3009778586591496e-6
