Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;12.350896054165592;-11.664;-0.6869171165293313;0.0;0.0;1.1003803636386513e-5;0.0
2.0;11.86345747362191;-11.206;-0.6574805569085902;0.0;9.903423272747862e-6;9.84356829173128e-6;0.0
3.0;11.586894624774995;-10.951;-0.6359207698886387;0.0;1.876164439297874e-5;8.657095149932679e-6;4.7539423398496205e-6
4.0;11.46983004229567;-10.848;-0.6218570512323313;0.0;2.0384613511724666e-5;8.011777040474955e-6;5.862265246012291e-6
5.0;11.555351874064709;-10.935;-0.6203776470172638;0.0;2.107954633567619e-5;7.78976246631331e-6;6.4451555035554704e-6
6.0;12.051126058190864;-11.408;-0.6431485570262165;0.0;2.142190082274995e-5;7.772702184904333e-6;6.6945746231229614e-6
7.0;13.24980842647321;-12.549;-0.7009027230729038;0.0;2.1471734466031943e-5;7.737263866610125e-6;6.746202094597411e-6
8.0;14.899716576039497;-14.13;-0.7698077668037357;0.0;2.143230478229099e-5;7.728270606020071e-6;6.721534236080889e-6
9.0;16.13832178993284;-15.341;-0.7974115488860161;3.306489631098215e-8;2.141219383867239e-5;7.717607204960245e-6;6.705396977069429e-6
10.0;16.58398700256007;-15.811;-0.7730778756088322;1.5058882075692963e-6;2.1400418132984808e-5;7.711140813876413e-6;6.696685025856616e-6
11.0;16.481364122990055;-15.754;-0.7274573004573517;6.154286043992123e-6;2.1392503798684378e-5;7.707893811840943e-6;6.691474160307823e-6
12.0;16.395051772617606;-15.697;-0.6981458265983876;1.150635574498343e-5;2.13874578045952e-5;7.706214474486453e-6;6.688328509326612e-6
13.0;16.24173185878075;-15.558;-0.6838265042316094;1.6357438851423696e-5;2.1384396079243307e-5;7.704662653675417e-6;6.686465303973491e-6
14.0;15.959444136011124;-15.279;-0.6805390935148488;1.9895094049333624e-5;2.138200824950414e-5;7.703642526854114e-6;6.685252071904107e-6
15.0;15.684625503147696;-14.992;-0.6927201081099008;2.0614906664233674e-5;2.138005058004144e-5;7.702867451230206e-6;6.684698131236227e-6
16.0;15.816243488789661;-15.078;-0.7383362048155171;1.6796450707161452e-5;2.137801102791513e-5;7.70124442942291e-6;6.685492025641725e-6
17.0;16.176567335638488;-15.366;-0.8106562343410997;9.908815853272724e-6;2.1373628855222473e-5;7.698288084044135e-6;6.687752852461308e-6
18.0;17.11916941170841;-16.192;-0.9272569604656249;2.942320930495807e-6;2.1364074380106655e-5;7.691695653167666e-6;6.694605365669053e-6
19.0;17.016772655367948;-16.025;-0.9918652420060814;1.3029318085253032e-8;2.134097376908536e-5;7.677632097114094e-6;6.708401448150538e-6
20.0;16.420571500632263;-15.406;-1.0146667704525887;0.0;2.1289889287141958e-5;7.646929558463829e-6;6.740750617147829e-6
21.0;15.60052854755684;-14.601;-0.9996219497395925;0.0;2.117523410775342e-5;7.575449929686801e-6;6.817514752208775e-6
22.0;14.726891945033858;-13.772;-0.9549809335278145;0.0;2.091096524458246e-5;7.397299593812107e-6;7.0101788080647485e-6
23.0;13.788310341758606;-12.903;-0.8853982462849402;0.0;2.0272316332837276e-5;7.009208128488366e-6;7.4190263736982926e-6
24.0;12.986881771954792;-12.174;-0.8129705510173839;0.0;1.8830173894265738e-5;7.756720574222129e-6;6.6574453555684975e-6
25.0;11.051448757169567;-10.439;-0.6124733155993604;0.0;0.0;1.1024697898252245e-5;0.0
26.0;10.769003036142294;-10.178;-0.5910295203533891;0.0;9.92222810842702e-6;9.865096818643304e-6;0.0
