x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.69762853883786e-6;3.5503399488725885e-6;3.7021351560335164e-6;3.563575494690421e-6;3.6402523311942345e-6;3.66689278250504e-6;3.6190117409764374e-6;3.676758076555187e-6
7.079935171639019e-6;6.809578224131452e-6;7.033128718087667e-6;6.978517514303706e-6;6.919152124125134e-6;7.008382951464559e-6;6.862491071692739e-6;6.975215094475358e-6
8.543114587623098e-6;8.319623119700255e-6;8.464319678502163e-6;8.47707669935825e-6;8.39176936914696e-6;8.637519004009788e-6;8.361878695568454e-6;8.407565130541062e-6
9.258893963041502e-6;9.09744985531842e-6;9.121987736638463e-6;9.094497124597777e-6;9.136114662383546e-6;9.601774930158812e-6;9.145437983992405e-6;9.084026780669004e-6
9.736706216104221e-6;9.484457568238947e-6;9.49079645485289e-6;9.46485320564968e-6;9.5293199124996e-6;9.731090834846078e-6;9.561633932750808e-6;9.463503922726568e-6
1.0100686843132655e-5;9.651893116622321e-6;9.652892871205486e-6;9.660063473928806e-6;9.710817833451333e-6;9.700971115875528e-6;9.67935628501496e-6;9.633578142006927e-6
1.0495937238639608e-5;9.738604463738273e-6;9.708117833620298e-6;9.741454253729784e-6;9.624604636752499e-6;9.600600000307301e-6;9.716635113683128e-6;9.699293067205855e-6
1.0120451268068472e-5;9.809687471782215e-6;9.709384221552465e-6;9.769393672665744e-6;9.671569991681544e-6;9.42427766570133e-6;9.726760490964967e-6;9.71737848830515e-6
9.850957062384461e-6;9.898121834807072e-6;9.677797058846776e-6;9.776489572827686e-6;9.697298940543834e-6;9.15535178224354e-6;9.72864616068932e-6;9.716868155910543e-6
9.628958311427681e-6;9.826995106143361e-6;9.64407597868109e-6;9.781862711756132e-6;9.708212778040763e-6;9.411046414985042e-6;9.728897270593936e-6;9.710727986796215e-6
9.36987329740942e-6;9.47763037157501e-6;9.583026245465983e-6;9.799567063678041e-6;9.712043634139795e-6;9.585704204307811e-6;9.730468115901175e-6;9.703646894989915e-6
9.026222579405546e-6;9.570110669593027e-6;9.670878030270617e-6;9.843939349995797e-6;9.712882308203467e-6;9.70764246803366e-6;9.736091477169631e-6;9.696666541726903e-6
9.478971227973833e-6;9.633324281642843e-6;9.751282479076404e-6;9.93711667324695e-6;9.713003447593981e-6;9.826280476031068e-6;9.74967790316883e-6;9.689331073690354e-6
9.898661004578004e-6;9.665336660422369e-6;9.841217963205347e-6;1.011917914503434e-5;9.714076689100915e-6;9.99127321652493e-6;9.7780971250326e-6;9.680573829775288e-6
1.035189812531529e-5;9.679515634680456e-6;9.784850995811615e-6;1.0464446438500676e-5;9.718081254732276e-6;1.024328845220575e-5;9.833930743673182e-6;9.668347861352253e-6
1.0033675615733537e-5;9.682455031653497e-6;9.727271355377792e-6;1.1058952393171363e-5;9.727982033127297e-6;9.981473022115109e-6;9.940780921965415e-6;9.64871284344741e-6
9.81814390413051e-6;9.675577704061687e-6;9.68512095782205e-6;1.0363441180611296e-5;9.749120577034244e-6;9.80905739915716e-6;1.0119428097260751e-5;9.615078486726201e-6
9.65879081182745e-6;9.655629807461134e-6;9.641131680608788e-6;9.903699849555867e-6;9.7895631750646e-6;9.684550023830593e-6;9.873015825320226e-6;9.554783291819656e-6
9.490337315082491e-6;9.613498722091625e-6;9.577103904900007e-6;9.551368442783965e-6;9.833198765279444e-6;9.555179119818152e-6;9.673034723222043e-6;9.446563434204023e-6
9.248120722287786e-6;9.53019094359419e-6;9.46885530854819e-6;9.160843290468438e-6;9.259192934400602e-6;9.369655280229595e-6;9.458683153065411e-6;9.24897527362866e-6
8.826075379512772e-6;9.367564608273453e-6;9.268243518050992e-6;8.555103716274596e-6;9.175533147019869e-6;9.048374043131731e-6;9.13862676600566e-6;8.874039803038061e-6
8.013365146458691e-6;9.046401942035929e-6;8.864239944033879e-6;7.388127574199366e-6;8.897868249162945e-6;8.433170655126832e-6;8.564084480305358e-6;8.123387038578267e-6
6.603000069873954e-6;8.44450551378069e-6;8.118408976948437e-6;5.26006551282573e-6;8.282473078479383e-6;7.291921965671413e-6;7.5597478224104746e-6;6.713173610407531e-6
