x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.84636410148314e-6;9.262411180137043e-6;9.887373160778677e-6;1.0195936272237357e-5;9.49501974100403e-6;9.55268644978333e-6;9.385817155468109e-6;9.80813065817188e-6
1.8742875559989736e-5;1.773715540381986e-5;1.875838285517877e-5;1.9337186766398958e-5;1.811693282449961e-5;1.8239456666262022e-5;1.7875538780474005e-5;1.8619162621515645e-5
1.671952178038121e-5;1.6084483515936498e-5;1.6740111323678492e-5;1.7320777333582692e-5;1.6358193918457404e-5;1.6540065575595044e-5;1.61605942764531e-5;1.664911899968462e-5
1.5019242213556015e-5;1.4935026434367074e-5;1.5021407431981527e-5;1.521840943688771e-5;1.5081636105213772e-5;1.529768029310066e-5;1.4957552232937717e-5;1.4998200907252251e-5
1.4903925065084988e-5;1.4831617492701054e-5;1.4870323926548692e-5;1.4901117365844769e-5;1.4918690972831097e-5;1.4974788329822056e-5;1.4871502359087602e-5;1.4879403643619884e-5
1.493866565609968e-5;1.469216567640306e-5;1.4783856402716562e-5;1.4809227340054537e-5;1.478260104372434e-5;1.4766385377394966e-5;1.4718425174437196e-5;1.4841732615750613e-5
1.5108511859397224e-5;1.4582181964070278e-5;1.4686937084314675e-5;1.4722164569127544e-5;1.457823590797444e-5;1.4611581678378271e-5;1.4591726622217839e-5;1.4823528827341582e-5
1.4724686208541505e-5;1.4524210475999804e-5;1.4577881210451624e-5;1.462826974463729e-5;1.4503079365583837e-5;1.4452119220980964e-5;1.450494614620292e-5;1.4627565466330584e-5
1.4506271751567822e-5;1.4528930873998964e-5;1.4493811462460633e-5;1.4545689155531499e-5;1.4435755692130198e-5;1.4230462312246924e-5;1.445316619520202e-5;1.449126019527355e-5
1.4368559729263212e-5;1.4479356365034932e-5;1.4430689371636606e-5;1.4485482183593529e-5;1.4350165947687042e-5;1.4274254622368365e-5;1.4425006465069153e-5;1.4388888051033011e-5
1.4166408442075391e-5;1.4289422926905214e-5;1.4368628050941151e-5;1.444110968445047e-5;1.4384398118560298e-5;1.437514905349797e-5;1.4408259017411279e-5;1.4272749432342688e-5
1.4040743671647274e-5;1.435063292367166e-5;1.4390825283348353e-5;1.440767100201323e-5;1.4398956741341943e-5;1.4423377858448028e-5;1.4397283253244928e-5;1.4344980087923752e-5
1.4288008208556735e-5;1.4381074812824489e-5;1.4407607332315721e-5;1.4387077493352675e-5;1.4416632673700647e-5;1.4488641353206057e-5;1.4389685408556624e-5;1.4406995879198413e-5
1.4487064224166169e-5;1.43851607211064e-5;1.4446021157867935e-5;1.440223282646299e-5;1.4467447425925161e-5;1.447015789847174e-5;1.4385253098053682e-5;1.449319556742998e-5
1.4772622102716343e-5;1.4383847072527196e-5;1.4443744687182918e-5;1.4533343112116735e-5;1.4406070598159067e-5;1.4570271093277935e-5;1.4390608381678402e-5;1.440457025518201e-5
1.449906316211985e-5;1.4383675550721153e-5;1.4506574848935395e-5;1.484910746551627e-5;1.4379595155711495e-5;1.4433153612767716e-5;1.4429105783897306e-5;1.4361884696198787e-5
1.4369449518527501e-5;1.4382823556935074e-5;1.439296560391552e-5;1.4486473501211621e-5;1.4375358614859978e-5;1.4369314421960205e-5;1.452620462418464e-5;1.4342822486252514e-5
1.4310663967674273e-5;1.4372620456149578e-5;1.4323658756718315e-5;1.4304036870222664e-5;1.4397823131851877e-5;1.4340013805635239e-5;1.4402083090863048e-5;1.431169991851781e-5
1.4271209229655534e-5;1.4349314643291442e-5;1.4271239959458114e-5;1.4222971836721066e-5;1.4439739064369994e-5;1.4306221898073992e-5;1.433062776011525e-5;1.427542769660038e-5
1.4216315724440646e-5;1.4303659744852677e-5;1.4199860144563811e-5;1.4153136172642823e-5;1.4144326522801378e-5;1.4250801528894975e-5;1.427726764126956e-5;1.4220819163389845e-5
1.4035738850381196e-5;1.4177981386637659e-5;1.4002985681514698e-5;1.393031038780291e-5;1.408477147646494e-5;1.4108936010929176e-5;1.4144891553374273e-5;1.405786806236464e-5
1.3327879209389815e-5;1.3769101593371126e-5;1.3360605078785912e-5;1.3054413550645254e-5;1.3672930510375656e-5;1.3577735020269813e-5;1.3667894006017832e-5;1.3393548325300104e-5
1.166321825869614e-5;1.2795657095722181e-5;1.2257218473671598e-5;1.0925581193969526e-5;1.259427851561073e-5;1.221974607143828e-5;1.2478288479775444e-5;1.1719420708091368e-5
