x1;x2;x3;x4;x5;x6;x7;x8
4.012886858516498e-6;3.4047776861208087e-6;4.004270442582535e-6;1.909448214667338e-6;4.0249373846039975e-6;3.876176389276651e-6;3.926488818336686e-6;3.874071635116738e-6
3.651070928828561e-6;2.3876725627404853e-6;3.6189392781331936e-6;4.117686410199308e-6;3.7144823216532957e-6;3.4031882609709743e-6;3.4415812231863773e-6;3.394013816881272e-6
3.2607758187570703e-6;3.4234543183902687e-6;3.1969614082926844e-6;3.8055582516096425e-6;3.4477688717331884e-6;2.968186118801981e-6;3.055353246367324e-6;2.892393504903749e-6
3.0771104162265676e-6;3.2085292683728124e-6;2.9878442971387013e-6;3.7014817586563363e-6;3.3344504251651368e-6;2.734196209732832e-6;3.1534615494021117e-6;2.6475170132328856e-6
3.0351908906309124e-6;2.992868231555811e-6;2.889206504819762e-6;3.738762252701686e-6;3.350840442285474e-6;2.5244861103932934e-6;2.991768791224831e-6;2.463885332634495e-6
3.1661514087641785e-6;2.945157973006514e-6;2.8573580466968163e-6;6.712932198075307e-7;1.7588907317199237e-6;2.408777741026591e-6;2.6477638630814733e-6;2.3722383245235142e-6
3.451927574642298e-6;3.019654578995074e-6;1.7816754419693483e-6;6.471371064573739e-7;1.7834200269651718e-6;2.310987403484632e-6;2.6589636844339793e-6;2.3211049891956166e-6
1.5751955271707662e-6;3.190843679408787e-6;2.8146311903416774e-6;3.537622327001904e-6;1.6713090211427759e-6;2.1811078859801085e-6;2.6654062497942412e-6;2.291586017193874e-6
1.8181054006615057e-6;2.000728939436658e-6;2.7175081446490802e-6;3.1258233988518443e-6;3.221042110336038e-6;1.9783752579397474e-6;2.669608868976389e-6;2.2762184096572074e-6
1.8798749731940527e-6;2.1672002527697207e-6;2.6752074139767284e-6;2.8784270159850634e-6;2.9724460550793454e-6;1.7718799600288227e-6;2.6754748055440734e-6;2.2681608388762244e-6
1.7992861638716369e-6;2.183993554110262e-6;2.6462674359537634e-6;2.7534083457549485e-6;2.825973255149491e-6;3.4374469247109193e-6;2.686073986770868e-6;2.2636141629118066e-6
1.674555409868809e-6;2.0715563373301096e-6;2.6343408217938076e-6;2.713525503047977e-6;2.7517386443336842e-6;3.269677822402386e-6;2.7068626200200016e-6;2.2603687976089597e-6
3.947368897988495e-6;1.906970591211732e-6;2.63376546083974e-6;2.7482524268554567e-6;2.7206266119387055e-6;3.263477130767001e-6;2.7466169440931755e-6;2.2574521257951626e-6
3.92444596418382e-6;3.1614177077404096e-6;2.6459597722895814e-6;2.8769958243064275e-6;2.720503127210483e-6;3.4096412098871864e-6;2.8219197173500002e-6;2.253955037563e-6
1.7711790684255192e-6;2.938192802341436e-6;2.6761318175054248e-6;3.1477229962715638e-6;2.7515936576000553e-6;1.8681651402735801e-6;2.9696204607102973e-6;2.2488765977520144e-6
1.977985424461326e-6;2.806213394798382e-6;2.722844682037189e-6;3.5913959113784015e-6;2.8256615852314642e-6;2.1051682004741674e-6;3.197046476632926e-6;2.240257445216747e-6
2.0753383633785515e-6;2.7355234785506508e-6;2.8300162912600594e-6;1.1774605204047912e-6;2.9767745988852362e-6;2.2204907498252006e-6;1.9506355268744517e-6;2.2248763791415456e-6
2.1037865617620594e-6;2.692419319761289e-6;2.9118911795186996e-6;1.4550934488005133e-6;3.207589426905187e-6;2.2636781175086506e-6;2.161046032427265e-6;2.1969111387324637e-6
2.077439131764991e-6;2.6582318434004465e-6;8.900950579475267e-7;1.5688637294972288e-6;1.7551436826186002e-6;2.2530945101919464e-6;2.239682845906302e-6;2.1485729125920693e-6
1.9833835019378773e-6;2.6175972908432635e-6;2.8951329235560785e-6;1.5694438455619764e-6;1.858585568927149e-6;2.182023567951004e-6;2.217832362024294e-6;2.058987211604929e-6
1.7663221542568846e-6;2.5445816433884406e-6;2.602227706438847e-6;1.4414919241161712e-6;1.7247932825347543e-6;2.010221648334943e-6;2.0764905175058957e-6;1.8730729117521549e-6
1.3455641652501638e-6;2.4055315730482853e-6;2.273086771906741e-6;1.0755868120536728e-6;1.465899817211161e-6;1.637185837409865e-6;1.747129287665291e-6;1.462283868638256e-6
9.062450432123193e-7;2.1622880198316583e-6;1.8610020878490155e-6;4.3916399312724595e-7;2.3430565325986367e-6;1.0465575706542865e-6;1.214580634701839e-6;8.008068158859893e-7
1.9291735736751952e-6;2.2699616839876386e-6;1.9420792897360104e-6;3.1305516266354433e-7;2.1821877059668697e-6;9.027293836088063e-7;1.0823389970866099e-6;6.425083592693494e-7
