x1;x2;x3;x4;x5;x6;x7;x8
4.305945805384985e-6;4.3307673805860044e-6;4.299068663565689e-6;4.54620165812028e-6;4.182055204962737e-6;4.172890356194711e-6;4.211547428556263e-6;4.200425420757562e-6
3.910014693074574e-6;3.9627908894828146e-6;3.899634739079951e-6;3.824706506005157e-6;3.791939727525654e-6;3.7558366994051087e-6;3.818679847439252e-6;3.8640659946278395e-6
3.366135371591682e-6;3.4498765020672734e-6;3.351914485882597e-6;3.2349577940626342e-6;3.3747429469733364e-6;3.3763582678339076e-6;3.375698098103393e-6;3.36444789935153e-6
3.169215711044895e-6;3.287561056497336e-6;3.1451954536231874e-6;3.021366956713899e-6;3.2306152605432813e-6;3.2322301541467655e-6;3.211121407648483e-6;3.2010185564827384e-6
3.102720177320679e-6;3.316773538436189e-6;3.0407371532329137e-6;2.9262038569282266e-6;3.112480086868984e-6;3.1047212675009813e-6;3.093044666479848e-6;3.070680562636802e-6
3.1282328802905236e-6;2.6276061291860065e-6;2.9844864260649175e-6;2.869343001317543e-6;3.1138242724959917e-6;3.1006050105773705e-6;3.082111605531953e-6;3.014409032518664e-6
3.2174246469708265e-6;2.7358030367544977e-6;2.94737457015144e-6;2.8240438442954982e-6;2.799205468090901e-6;2.813367753910681e-6;3.115314869469027e-6;3.0396276621191884e-6
2.5827393149169216e-6;2.7717141026657736e-6;2.9241036494685457e-6;2.782925077602786e-6;2.854841181051183e-6;2.8575423624790953e-6;2.7167929756780723e-6;3.0989434081331553e-6
2.678903112800843e-6;2.7871799366000824e-6;2.9114597696790537e-6;2.733556589714774e-6;2.8745817496678043e-6;2.863229765104374e-6;2.7903191426556797e-6;2.7297067606410416e-6
2.7704508053869655e-6;2.79427118609188e-6;2.9008061721719517e-6;2.63935021002444e-6;2.8756364217251796e-6;2.8367898805980504e-6;2.802081357157883e-6;2.8109998445652307e-6
2.786254135305758e-6;2.7957753949063505e-6;2.8838606812318215e-6;2.502172631060295e-6;2.860580779833798e-6;2.7881721551058907e-6;2.76456224165382e-6;2.845281458771137e-6
2.7935129474836127e-6;2.795298278799218e-6;2.8593467217354303e-6;3.1673957641851185e-6;2.8209579154588484e-6;3.060191324294996e-6;2.693913758818891e-6;2.858584512146887e-6
2.7963883713448024e-6;2.793459642380346e-6;2.9759074379578934e-6;3.0175814150378824e-6;2.7608476552641503e-6;3.014536305396686e-6;3.094015474741686e-6;2.8634132589690904e-6
2.7967131998558035e-6;2.7925387323569455e-6;2.9542975227455986e-6;2.9673718360034403e-6;3.055535907757899e-6;3.0238129556935182e-6;3.02636368318272e-6;2.8647037565904814e-6
2.798407584799044e-6;2.793950610444681e-6;2.9563726208323064e-6;2.9775512984859553e-6;2.9872668400173915e-6;3.066550027349474e-6;3.0385205657312496e-6;2.864644277783728e-6
2.800189377192945e-6;2.796838082310061e-6;2.9727009083784296e-6;3.0506722566459876e-6;2.9579774638616608e-6;2.7985665705031035e-6;3.0999683843238767e-6;2.8631415328942525e-6
2.7604288320079103e-6;2.7593493504702232e-6;2.8525821067262436e-6;3.179071272966286e-6;2.94260342455187e-6;2.8541864435054235e-6;2.706095713675358e-6;2.858122917945267e-6
2.743544943067984e-6;2.759445525624137e-6;2.8772674227626034e-6;2.493586595033549e-6;2.9329134443485617e-6;2.8736479693125396e-6;2.7829071629866913e-6;2.847255043183963e-6
2.696789512550885e-6;2.742638764142527e-6;2.8495424437150753e-6;2.6325514156855144e-6;2.9221566463598706e-6;2.87072628818045e-6;2.8038252885299906e-6;2.8283656597745303e-6
2.5880072224712516e-6;2.699341858052467e-6;2.838917235932625e-6;2.6538619018256783e-6;2.903324220919219e-6;2.8497433157330343e-6;2.784046853711578e-6;2.784945174657338e-6
2.4109353123902038e-6;2.5945676375641976e-6;2.789756448492642e-6;2.574004523006317e-6;2.866740355688724e-6;2.794107668585828e-6;2.710180331678931e-6;2.6868018029398887e-6
2.877368517880934e-6;2.3686300991145003e-6;2.7018498241999354e-6;2.3517496603748955e-6;2.782154803340635e-6;2.6579665120607287e-6;2.5228593772987455e-6;2.5052543688002666e-6
2.4707566803967486e-6;1.8640305888103247e-6;2.4742676184775193e-6;1.8437315912891347e-6;2.6143733918139314e-6;2.377009084073825e-6;2.1926189187193726e-6;2.6476520680508693e-6
2.8132687727968683e-6;1.9068371368216716e-6;2.8559133661366243e-6;1.8833876828298012e-6;2.9379930301888134e-6;2.465404256547225e-6;2.8295409959926857e-6;2.8321228142372496e-6
