x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.6564347687195754e-6;3.659068144216123e-6;3.6576071361356748e-6;3.41921714066525e-6;3.793609707124373e-6;3.6287556166723653e-6;3.6521751637474127e-6;3.6931747625945458e-6
6.848811269374693e-6;6.842460838557971e-6;6.747575160843865e-6;6.1493338565572246e-6;7.3810598018487775e-6;6.868448678172641e-6;6.847099710570996e-6;7.013519619015338e-6
8.25122779359649e-6;8.229235595405622e-6;8.143288155478233e-6;7.222633231148231e-6;9.839204101892873e-6;8.312387223573506e-6;8.253546479727305e-6;8.621221288796348e-6
8.881266640546458e-6;8.835675127040193e-6;8.804921142483122e-6;7.65014311732087e-6;1.2093806939166865e-5;8.970752320575461e-6;8.887055283009805e-6;9.541040249407118e-6
9.234136766368292e-6;9.149850278227325e-6;9.1431117707835e-6;7.692897713642948e-6;1.4743474931431011e-5;9.3264216474477e-6;9.244460964962881e-6;1.0376733041448094e-5
9.412487064006723e-6;9.267059918566939e-6;9.321508882933774e-6;7.269395063753965e-6;1.1442696790042455e-5;9.482486630551468e-6;9.426124714766728e-6;1.1323314417160532e-5
9.484010353527405e-6;9.229329881620097e-6;9.4144372915809e-6;6.192946850429961e-6;8.463225810830375e-6;9.542486916710629e-6;9.504099914108455e-6;1.0559741617593576e-5
9.50477905984284e-6;9.054295949624194e-6;9.464879824240489e-6;3.996689933074424e-6;5.148624959765791e-6;9.564803344497124e-6;9.537923433594792e-6;1.0082636625909283e-5
9.498743996977898e-6;8.691437418787644e-6;9.502270127988837e-6;8.32745807307907e-7;1.3398775142802547e-6;9.580638560804079e-6;9.556961672921867e-6;9.813978970777657e-6
9.480177746664628e-6;8.04484488470935e-6;9.549369493119787e-6;3.7653380717781305e-6;4.18951627202808e-6;9.612865801200301e-6;9.584145457017858e-6;9.656039376036212e-6
9.456753074512359e-6;7.047555520743825e-6;9.628486338085658e-6;6.339148151592987e-6;6.641129738023968e-6;9.687629417408183e-6;9.642478906995444e-6;9.55647693317716e-6
9.43203211439484e-6;8.350783671505557e-6;9.7716401592355e-6;7.83649373162488e-6;8.2671398601622e-6;9.83936387050084e-6;9.762406629613543e-6;9.490410927529618e-6
9.406272368962607e-6;9.48846335439206e-6;1.0031375899183755e-5;8.788872061976274e-6;9.530627057820861e-6;1.0124893584826605e-5;9.994515474401568e-6;9.442445014660688e-6
9.376891096479933e-6;1.0619517603777354e-5;1.0493573874594446e-5;9.521688537578033e-6;1.0798546632188943e-5;1.0646931365611447e-5;1.0425325160504131e-5;9.401449840590638e-6
9.338695884835862e-6;1.2028097629747103e-5;1.1301437735323607e-5;1.0272587006211182e-5;1.2441167354304832e-5;1.1546995544253796e-5;1.1200979650349179e-5;9.357440280885774e-6
9.282909289579343e-6;1.1514420550558218e-5;1.268875775016819e-5;1.129694496991932e-5;1.4818303220662442e-5;1.157918419018764e-5;1.2556809256455557e-5;9.2984834202006e-6
9.19491906229733e-6;1.1721060817704502e-5;1.497161376422218e-5;1.2888277341191765e-5;1.2299518167450447e-5;1.2374227030342012e-5;1.47224907222489e-5;9.20789709287946e-6
9.047744495140338e-6;1.2792652694608517e-5;1.231478527295134e-5;1.4840675336210599e-5;1.0730918795223054e-5;1.407133277712153e-5;1.035412725803395e-5;9.056015543766855e-6
8.78981587528475e-6;1.4896636520328662e-5;1.0419278427052382e-5;1.2013658725046588e-5;9.652601679627545e-6;1.039566781822917e-5;5.987282609829089e-6;8.78595007076518e-6
8.310540783234267e-6;1.1568322814510232e-5;8.819275258616339e-6;9.937109984910478e-6;8.698894429910205e-6;6.76656067205144e-6;1.4404075537418204e-6;8.27470475854223e-6
7.377788464672163e-6;8.677689755761596e-6;7.155977180595513e-6;8.018119713745216e-6;7.52154472313215e-6;2.8695439614686688e-6;3.6788765123994713e-6;7.313563179480596e-6
5.538823816822197e-6;5.3863520066434795e-6;4.675614258550507e-6;5.311575717504191e-6;5.2398715517584005e-6;3.833646881215757e-6;4.601389571588496e-6;5.673868291495024e-6
2.669559261312094e-6;7.233760992245826e-8;1.8943817578969812e-8;8.822419005234062e-8;1.0469829570881551e-7;3.249359746776751e-6;2.8347279032999007e-6;5.02817004424997e-6
