x1;x2;x3;x4;x5;x6;x7;x8
4.062705298577306e-6;4.065631271351248e-6;4.0640079290396384e-6;3.7991301562947225e-6;4.215121896804859e-6;4.031950685191517e-6;4.057972404163792e-6;4.10352751399394e-6
3.5474912712577666e-6;3.5375095568403e-6;3.433704206024226e-6;3.0338429306733786e-6;3.986477172994575e-6;3.6000621522910485e-6;3.550321960377732e-6;3.6896824154411685e-6
3.0411459605468185e-6;3.0226198326242036e-6;2.8941546735046825e-6;2.3304155148122067e-6;3.782764586149844e-6;3.1645234246763577e-6;3.0510306344444353e-6;3.2825571006958405e-6
2.780479899667674e-6;2.755400064776261e-6;2.5923492229622584e-6;2.0043532641148256e-6;3.7490911923811475e-6;2.9438908051572647e-6;2.7930393095751675e-6;3.0889231873114105e-6
2.6752201109964412e-6;2.6409149097127267e-6;2.4262743983354213e-6;1.7792160127807172e-6;3.97330843902534e-6;2.8426484927799363e-6;2.689905269220355e-6;3.0855556742326165e-6
2.6047092715779404e-6;2.556968481257691e-6;2.328960315231224e-6;1.5433079469551098e-6;7.315788303410256e-7;2.7787751154583e-6;2.62056512398122e-6;3.1618606647550822e-6
2.5581551221294825e-6;2.4855788292588627e-6;2.2779992262870074e-6;1.2550246245633726e-6;8.444800406308704e-7;2.735658742320169e-6;2.576046678683898e-6;2.2309727573942914e-6
2.523879605697236e-6;2.405476238562332e-6;2.2492404869211395e-6;8.730548649006619e-7;7.199800702337447e-7;2.7100268032290617e-6;2.5445290658871254e-6;2.367831776734452e-6
2.5000057227846985e-6;2.296982542204867e-6;2.2341859905893375e-6;5.951275038394828e-7;5.46633479429676e-7;2.698313860867725e-6;2.5269140521364787e-6;2.4394036936132523e-6
2.484296538234941e-6;2.1528338317548266e-6;2.2312485913470418e-6;4.010555416010908e-6;3.995040224176943e-6;2.698860488021796e-6;2.5214428749690104e-6;2.4740628919257785e-6
2.4739373966538208e-6;1.9770203396145043e-6;2.240234865364909e-6;3.4360679365640716e-6;3.5044800912230695e-6;2.714608457163324e-6;2.5291843111825528e-6;2.4904545847781867e-6
2.467086219638991e-6;3.252755138970758e-6;2.2667792611236576e-6;3.072211739344719e-6;3.195280902847206e-6;2.7486136591982217e-6;2.554443569008941e-6;2.498731362354701e-6
2.4616635245337086e-6;3.136024503324951e-6;2.323302936550582e-6;2.8817542292680355e-6;3.078604521682635e-6;2.811919429378794e-6;2.607635905968222e-6;2.5019226590244207e-6
2.4561782775003336e-6;3.163469364710467e-6;2.429966932876692e-6;2.81441665261019e-6;3.1214159248869524e-6;2.923567693613039e-6;2.7067087362101796e-6;2.5012543838040806e-6
2.449161312310301e-6;3.32533626377761e-6;2.6244042128991626e-6;2.8491085665144797e-6;3.3485779521797498e-6;3.106754928598757e-6;2.8827131293255394e-6;2.4970704352614467e-6
2.4387208959267173e-6;2.2255301243881598e-6;2.973676288160736e-6;3.00144194038051e-6;3.768240422259181e-6;2.6042683842741565e-6;3.186024672386274e-6;2.4879789259602946e-6
2.4216364713814457e-6;2.5870204940877623e-6;3.5536556863048827e-6;3.3141681981910576e-6;8.983492148031473e-7;2.9905545205593255e-6;3.634762700564894e-6;2.4717324916276038e-6
2.3920999185182375e-6;3.021143203304504e-6;3.2012407457091306e-7;3.4816251729987866e-6;1.2117706342288088e-6;3.453212164457622e-6;4.0662031638210244e-7;2.4416801626881623e-6
2.337090129444143e-6;3.5852652817269452e-6;3.960601424986229e-7;7.707084289159588e-7;1.3720460156915477e-6;7.397577223642075e-7;4.164553807328726e-7;2.383003585710173e-6
2.2301410613978664e-6;5.860036422803106e-7;4.3169638253942445e-7;9.930017586148374e-7;1.4079907832482366e-6;7.70828271748461e-7;3.511227360136441e-7;2.2689962706955043e-6
2.0209850475697375e-6;7.005398561035903e-7;4.28801464918087e-7;1.028055416919965e-6;1.3147316277519801e-6;6.562082626735857e-7;3.617567740149199e-6;2.0581298783965376e-6
1.630647627737382e-6;6.050079902468675e-7;3.547164785919966e-7;7.982240596170155e-7;9.424330664608659e-7;2.973460740275948e-6;2.228251108388306e-6;1.7588152989925598e-6
1.18449939198113e-6;1.1581143243818491e-7;1.7507316621429332e-7;1.530955587465148e-7;1.8545077592454376e-7;1.7358638943787746e-6;1.2556130425519269e-6;2.287938897403655e-6
2.3060340829627683e-6;6.53304061567919e-8;3.401325032850754e-7;8.3996484960197e-8;9.847633696144766e-8;1.6777017833405605e-6;1.2053793037151937e-6;2.4160839766624322e-6
