x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.168749283158692e-7;1.222270655596995e-6;1.192497721194865e-6;1.1020686696216415e-6;1.2170383459009212e-6;8.53477278597737e-7;1.1193450804831907e-6;8.058010256289377e-7
1.1479763870061967e-6;1.7209278609218647e-6;1.6766586798855326e-6;1.5237026736624005e-6;1.7133342948450599e-6;1.011276109354872e-6;1.5719904801602698e-6;1.0348540377689613e-6
1.9530226246571494e-6;1.9018353146051152e-6;1.8530885672571448e-6;1.6803393114489866e-6;1.8874863639139868e-6;8.402990324117773e-7;1.6521586255017217e-6;1.1025109831066003e-6
1.6000731849052646e-6;2.028199363225689e-6;1.971737458802856e-6;1.746535537429075e-6;2.0056421468753413e-6;3.548352236013064e-6;2.3840290850398596e-6;1.161482580709562e-6
1.0956697032101072e-6;2.082816358684469e-6;2.078028036342239e-6;1.7832082511647785e-6;2.0686406288814563e-6;3.350570421345896e-6;2.3411892957064208e-6;1.2114225144620788e-6
3.6076222735664725e-6;2.100984842196831e-6;2.1903022699268223e-6;1.7954495540107223e-6;2.0984696192936726e-6;3.535735450576019e-6;2.291488474559976e-6;1.2411308859394874e-6
3.3601784898457504e-6;2.1045239590321188e-6;2.3771422825757185e-6;1.7896041423213537e-6;2.1247030633828716e-6;3.832196629041643e-6;2.3038994912432798e-6;1.2586788778793304e-6
3.60947902195222e-6;2.101792590032633e-6;2.585632299732434e-6;1.7718664828961557e-6;2.1625611913204027e-6;6.592974005490926e-7;2.33387799061836e-6;1.2684010279671545e-6
3.937075923154169e-6;2.097370222936266e-6;1.4465022186181429e-6;1.7397015965378766e-6;2.2363762934520036e-6;6.440599089532716e-7;1.6071091865043475e-6;1.2733641053964e-6
4.646685883291885e-7;2.0935773555098404e-6;1.5465912928791254e-6;1.6799769626692885e-6;2.3134559992645382e-6;1.0489849494924e-6;1.5667630535829843e-6;1.2759119653236759e-6
2.897603906134433e-7;2.0910007919954797e-6;1.658247009685407e-6;1.580916121128119e-6;1.5305454015820197e-6;1.2023317370774196e-6;2.1862347476288363e-6;1.278407875596741e-6
7.321363253529075e-7;2.0902088119015346e-6;1.6405344337731711e-6;1.424716337629754e-6;1.5220914655272552e-6;1.1221308709754717e-6;2.0179179146477915e-6;1.281794301732511e-6
8.062690907244851e-7;2.0918944841726077e-6;1.5029511520673094e-6;1.182740955845353e-6;2.313728601212831e-6;8.597606881323376e-7;1.790642960313918e-6;1.2873043252593368e-6
6.708205505615346e-7;2.0972510866073053e-6;2.610253097368689e-6;8.385614579308663e-7;2.2452299376993707e-6;2.9690967870254597e-6;1.4765029376531506e-6;1.297738109828078e-6
3.1755899593418424e-6;2.1084618334180838e-6;2.3933242142086276e-6;2.5253017610402397e-6;2.1724855397551046e-6;2.352319016296745e-6;1.0746845364053263e-6;1.3146345580427844e-6
2.7233210205804266e-6;2.129792190567338e-6;2.2467305868823155e-6;1.820547758111285e-6;2.1526452313101735e-6;2.0159449090890407e-6;3.2828903343945647e-6;1.3437940877658681e-6
2.676605929489261e-6;2.169845607079472e-6;2.215989799120005e-6;1.5197215707563658e-6;2.172666496132906e-6;1.8868374805340866e-6;2.863606995048933e-6;1.3907688256281602e-6
3.122480554877509e-6;2.251512333552485e-6;2.298038958664743e-6;1.4233138620065896e-6;2.244112823466742e-6;1.8883054417925934e-6;2.793920164079314e-6;1.4727659421901301e-6
3.636235381745875e-6;2.4128792429194527e-6;2.5355107552686486e-6;1.4780877457741995e-6;2.4106925373160077e-6;2.0561874605524427e-6;3.1785459432307932e-6;1.6505839595071553e-6
1.0054127366525548e-6;2.734295798246344e-6;3.0860148924090144e-6;2.1717474281019446e-6;2.766409642584127e-6;2.775144815380229e-6;3.750406974278126e-6;2.4378082627889463e-6
5.938151821681318e-7;3.1733102610571582e-6;3.6888553906017844e-6;4.955233103088479e-6;3.366815241446732e-6;4.751821716183838e-6;2.2151863464727187e-6;4.858379839870906e-6
2.0188975377139e-6;2.250397281065658e-6;2.2665479526462164e-6;4.92546455876257e-6;3.2506642810129393e-6;4.614642706140997e-6;1.1574982897617886e-6;4.772288430283939e-6
