x1;x2;x3;x4;x5;x6;x7;x8
4.0123323288931675e-6;4.01634923649983e-6;4.153937247172376e-6;3.98677801864147e-6;4.0366231301360185e-6;3.994414094587818e-6;4.00912433278499e-6;4.0083810528132735e-6
3.5975204944648804e-6;3.603985644925667e-6;3.805235526561651e-6;3.553334214895673e-6;3.6727683359950293e-6;3.5588045263269223e-6;3.5921716176100204e-6;3.591006140044129e-6
3.218054549262603e-6;3.2169684136169787e-6;3.4135435929628547e-6;3.168496630563626e-6;3.353571909223566e-6;3.2259083757879053e-6;3.2208730826776733e-6;3.243680385985461e-6
2.9838997507352535e-6;2.980924868945907e-6;3.220136459244835e-6;2.928761704173798e-6;2.8998463969252115e-6;2.9999708954311657e-6;2.9894205657067525e-6;3.02409567998546e-6
2.839035999445149e-6;2.838807006569163e-6;3.2643471223838714e-6;2.7700836843005566e-6;3.056539287302034e-6;2.843417219339918e-6;2.8443207587596354e-6;2.8905813779112165e-6
2.761848375647026e-6;2.7611758569728085e-6;2.1165099063708506e-6;2.6816640458200046e-6;2.539602526016427e-6;2.7740741663725233e-6;2.77168557853544e-6;2.846287194516708e-6
2.7227734068242663e-6;2.721398314040093e-6;2.19109998260684e-6;2.6259807840737563e-6;2.5399102438247573e-6;2.740420604748488e-6;2.741401051310081e-6;2.77243346613634e-6
2.7017467693399288e-6;2.6997551714537e-6;2.121266992958109e-6;2.5744267266545486e-6;2.5014343578366173e-6;2.722842797762487e-6;2.7362446726851467e-6;2.8110734712390895e-6
2.6905796141014886e-6;2.68778202639959e-6;1.9790758873844904e-6;2.5055638844607644e-6;2.436034940820861e-6;2.713766793738226e-6;2.754315437230848e-6;2.3749619504975196e-6
2.6843777950023396e-6;2.6868458460466884e-6;3.0755570564418563e-6;2.419571009838277e-6;2.855804715993082e-6;2.7099459977799708e-6;2.802741034107112e-6;2.3792275557118136e-6
2.680845899586019e-6;2.6829748715276727e-6;2.8934372388100768e-6;2.8728280119772354e-6;2.784764714149542e-6;2.710046654635767e-6;2.880264520401598e-6;2.802720124730277e-6
2.6786346630026225e-6;2.6829100619959068e-6;2.8046073750586862e-6;2.7880082424193837e-6;2.7571449485342587e-6;2.714408606393942e-6;2.43162701546164e-6;2.7455813994416358e-6
2.677143001191741e-6;2.6859200613964066e-6;2.7798681781427575e-6;2.7489064670564593e-6;2.7613036561695293e-6;2.7247981848603025e-6;2.5190075063442904e-6;2.715945051883876e-6
2.6759693356284986e-6;2.693325223838367e-6;2.811341295596203e-6;2.739314227813867e-6;2.798489280279594e-6;2.7428216960136154e-6;2.561275188177845e-6;2.7002542718530977e-6
2.6747278951572636e-6;2.7088798681455857e-6;2.9118538939524385e-6;2.7554860445887026e-6;2.863886172613867e-6;2.705509981749291e-6;2.581109470284663e-6;2.691418987959901e-6
2.672857726871482e-6;2.739447201835774e-6;3.0826428853590284e-6;2.80187590164849e-6;2.455294277658482e-6;2.747745891708655e-6;2.588245270586502e-6;2.6855879201247662e-6
2.6694998804488762e-6;2.7906125837236444e-6;2.0593630960633514e-6;2.83170047637381e-6;2.5277290901743205e-6;2.797507584050876e-6;2.585838845676201e-6;2.6802499056560197e-6
2.6630539765752043e-6;2.8725140720625795e-6;2.2314938546342833e-6;2.416729667225803e-6;2.5549900334568e-6;2.49751794908368e-6;2.572710198124353e-6;2.6728993477572916e-6
2.651082358005398e-6;2.3384776625725343e-6;2.286092166858843e-6;2.476543442332275e-6;2.5522348032175736e-6;2.525061129756946e-6;2.5431721839105495e-6;2.6605194237969123e-6
2.628176975277672e-6;2.3889015504195405e-6;2.2586295467300773e-6;2.4716666807633e-6;2.518865457719829e-6;2.4944220939658647e-6;2.483337108677388e-6;2.6369939788433254e-6
2.583279013373535e-6;2.3400063096104198e-6;2.1317701681395367e-6;2.4017806928226404e-6;2.438342012295854e-6;2.414414250966295e-6;2.3663406519196337e-6;2.591245019785655e-6
2.4931373861003274e-6;2.1678778955675536e-6;1.832590588577144e-6;2.231004492162084e-6;2.2694325452683888e-6;2.629225964817532e-6;2.1807961703898963e-6;2.506824117365062e-6
2.3339410671622803e-6;1.8464130091232205e-6;1.3534989323777417e-6;1.926160578703645e-6;1.9751600540379546e-6;2.4240169568949937e-6;2.4338434389225605e-6;2.4519910648648704e-6
2.5711630412560396e-6;1.9082124069154128e-6;1.3490450842341146e-6;1.9942232047325838e-6;2.046511876572466e-6;2.591947418289663e-6;2.575479640830188e-6;2.6807263586724503e-6
