x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.2503782458087442e-6;1.2519154389555496e-6;1.2324466999218325e-6;1.2190123323175208e-6;1.202770740190721e-6;1.243051833477605e-6;1.2487430005088401e-6;1.2452298402760351e-6
1.7074073518561676e-6;1.710166165669545e-6;1.6536027539149236e-6;1.6594141732272877e-6;1.6091214141929521e-6;1.6978542211129478e-6;1.7044342462214714e-6;1.6977373927170775e-6
1.949203295601841e-6;1.9488183691094992e-6;1.747858380217811e-6;1.9030052873593525e-6;1.7920160147611957e-6;1.960099341733585e-6;1.9487977186571445e-6;1.9412142193836307e-6
2.0918188310053052e-6;2.0904947270866694e-6;1.7584061638097669e-6;2.0533407241039375e-6;2.2681655208915945e-6;2.1039015870403563e-6;2.0912665291299787e-6;2.0721508726562146e-6
2.148986265438029e-6;2.148456798191269e-6;2.8564041789659915e-6;2.1273786738350544e-6;2.2894710904054004e-6;2.158630269637911e-6;2.1464056145915133e-6;2.18711334818735e-6
2.169508824567855e-6;2.169496071973275e-6;2.911047632029528e-6;2.1798789562468114e-6;2.3032901377745783e-6;2.1791645457319545e-6;2.1635311296772578e-6;2.195664965557604e-6
2.1760437019157295e-6;2.176639604971352e-6;1.8106992368592576e-6;2.247097539240634e-6;2.351527893903142e-6;2.186847969477948e-6;2.164221104812286e-6;2.191688375581841e-6
2.177581879009192e-6;2.1745542756217524e-6;1.8771639548733336e-6;2.330882497181393e-6;1.988348637671142e-6;2.189072648013065e-6;2.154748010398673e-6;2.18802013143805e-6
2.177407965264874e-6;2.17395495280842e-6;1.9936024176503e-6;1.953026506219037e-6;2.0355289484170924e-6;2.1880614620043635e-6;2.133287991997317e-6;2.185497114627542e-6
2.176777696321913e-6;2.172931087670153e-6;2.0523611743937975e-6;2.015411584122054e-6;2.081410620527182e-6;2.1839364949672024e-6;2.092757487098446e-6;2.1837721031628657e-6
2.1761454933286636e-6;2.170132621720807e-6;2.0694961592147245e-6;2.0783465390598327e-6;2.0873231110643864e-6;2.1754117507250395e-6;2.0396695123487583e-6;2.1826537269258315e-6
2.1757854723737895e-6;2.165170538676463e-6;2.053899465400486e-6;2.1023889395496865e-6;2.0542771049577803e-6;2.159206730150257e-6;2.402780678007481e-6;2.1821132102272074e-6
2.1759691158265605e-6;2.1563654278823642e-6;2.0005324010187587e-6;2.094396067691212e-6;1.991581953202763e-6;2.131773387143943e-6;1.9128080165544305e-6;2.1822845255972424e-6
2.177148350126657e-6;2.140535482694096e-6;1.8910841625323076e-6;2.0524467622138403e-6;2.333094556963219e-6;2.1437397888208374e-6;2.2951415001607673e-6;2.183483324387822e-6
2.1800855147684536e-6;2.115694487355513e-6;1.7267096239221724e-6;1.983955665544777e-6;2.268687075042257e-6;2.0894108713397813e-6;2.258225799767657e-6;2.1864648304112856e-6
2.1864994702488423e-6;2.063600919667366e-6;2.5757168563382066e-6;2.3675436791683198e-6;2.2205526941475206e-6;2.3399165974156427e-6;2.2298751608928957e-6;2.1927986476397088e-6
2.1989472605052545e-6;1.9950964075019136e-6;2.4205266044399073e-6;2.314261352058691e-6;2.2123003146494566e-6;2.317510687590765e-6;2.2487503920693877e-6;2.205070719251973e-6
2.223495956727547e-6;2.480141436330087e-6;2.3572170550484276e-6;2.296842017381782e-6;2.2418088125647805e-6;2.3343299193399584e-6;2.3256893483606323e-6;2.2297299950992008e-6
2.2723676848190903e-6;2.4986224214124597e-6;2.455459425492908e-6;2.3600654956177695e-6;2.3256193175509944e-6;2.409993672840915e-6;2.4576341443572973e-6;2.2787085493644608e-6
2.3721552800793927e-6;2.644559554080316e-6;2.807381556079258e-6;2.5462841141296514e-6;2.513215910644047e-6;2.2344649414427375e-6;2.164727106077394e-6;2.371220939848605e-6
2.550474406726106e-6;2.9977245947391694e-6;3.448381720223975e-6;2.903101942505296e-6;2.856418570836309e-6;2.4338152285779595e-6;2.4155785581785352e-6;2.448013454501026e-6
2.3141083650522473e-6;2.889571721008177e-6;3.367792830537967e-6;2.7996901253715897e-6;2.7512057463593947e-6;2.275697553025163e-6;2.2641908853252807e-6;2.2164322451898413e-6
