x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.5798436442170373e-6;3.5818430608956976e-6;3.5979802727183065e-6;3.5307254340868637e-6;3.612003779663937e-6;3.5600593188794527e-6;3.577351706730089e-6;3.580202386272615e-6
6.745830237521675e-6;6.7489722839701835e-6;6.806910799193491e-6;6.607960375103452e-6;6.893204456472374e-6;6.7231079110461706e-6;6.741621381299214e-6;6.764371631433308e-6
8.185848786256583e-6;8.18655863852762e-6;8.224785362178417e-6;7.989958679777052e-6;8.631389291240146e-6;8.1653233673354e-6;8.181863788619083e-6;8.23890436331246e-6
8.947622463617318e-6;8.94434549835557e-6;8.959138955458964e-6;8.70619752170471e-6;9.890153227091617e-6;8.933788196873325e-6;8.94495942117968e-6;9.057882268515288e-6
9.316346112461068e-6;9.306848185409895e-6;9.345685839451702e-6;8.985227514264543e-6;1.1026169917531838e-5;9.305317707106537e-6;9.314779315937265e-6;9.52504377706935e-6
9.484221944613446e-6;9.463156891708064e-6;9.520943236796224e-6;8.975491524095078e-6;1.0197901283711645e-5;9.479062787843686e-6;9.484732226003005e-6;9.849302408407562e-6
9.566921634647788e-6;9.525668121538198e-6;9.60151691151097e-6;8.71874807335184e-6;9.464286998220207e-6;9.568351516502911e-6;9.57046082042886e-6;9.779003131679256e-6
9.609766510301712e-6;9.532698258685814e-6;9.64372331257083e-6;8.12994762411099e-6;8.65202344951349e-6;9.618677419463049e-6;9.618064143079884e-6;9.726440416880975e-6
9.631940791544525e-6;9.490217966118726e-6;9.675192255154596e-6;7.16443698524724e-6;7.613816774607589e-6;9.650480335768375e-6;9.648292077118935e-6;9.696673617632663e-6
9.643046749625137e-6;9.386565171617322e-6;9.712151639651573e-6;8.148019476658137e-6;8.453699730465028e-6;9.675517288186349e-6;9.673509346625863e-6;9.679870897626923e-6
9.648151738589456e-6;9.209911348803856e-6;9.770577264379986e-6;8.832618634928665e-6;9.057845333625557e-6;9.703054837045005e-6;9.703742942544262e-6;9.66997384625123e-6
9.649785178936243e-6;9.479412012104096e-6;9.873255634684441e-6;9.243975895236242e-6;9.45980538616432e-6;9.743469522617413e-6;9.750603129903957e-6;9.663543510546286e-6
9.648942111866186e-6;9.71285568179311e-6;1.005679245506288e-5;9.50764680220773e-6;9.788131559522589e-6;9.811723032288743e-6;9.831539127710504e-6;9.658435348416848e-6
9.64552030692176e-6;9.963221823198294e-6;1.0383627725496373e-5;9.716166162119894e-6;1.0158939342795952e-5;9.932574457581502e-6;9.975968467574904e-6;9.65287061309922e-6
9.63838042651726e-6;1.0297837371127988e-5;1.0962776009321735e-5;9.94496813013967e-6;1.0696911169562107e-5;1.0137235208842804e-5;1.023426447238853e-5;9.64484293074205e-6
9.624958742425842e-6;1.0272041277976218e-5;1.1978990313244847e-5;1.027408072471835e-5;1.1523196152358943e-5;1.018146295608897e-5;1.0692852248111587e-5;9.63135556683957e-6
9.600285766887663e-6;1.0448317125759694e-5;1.3657658402353721e-5;1.0809906830537446e-5;1.0609888399726888e-5;1.0401153161645919e-5;1.1429084081442536e-5;9.607322187724735e-6
9.55487484388187e-6;1.0905436413797108e-5;1.154622606795968e-5;1.1531434264276452e-5;1.0002025905508079e-5;1.082456874339506e-5;1.004884179545796e-5;9.563389427292784e-6
9.470879502130706e-6;1.171314967874664e-5;1.0075219456609612e-5;1.0388834994687706e-5;9.530015246873844e-6;9.870263032694933e-6;8.70693406667973e-6;9.482083261123682e-6
9.313662678033616e-6;1.0159898957467199e-5;8.75740260908492e-6;9.44556680153783e-6;9.009385277903381e-6;8.913008620724095e-6;7.167667622369594e-6;9.329520748455413e-6
9.015511127941606e-6;8.657478785289827e-6;7.06389139977969e-6;8.387156162202338e-6;8.224603968685172e-6;7.7605114943753e-6;7.683400475332701e-6;9.041035779553093e-6
8.446137497712218e-6;6.685329618819205e-6;4.286701432230723e-6;6.75151629580904e-6;6.7985143472444815e-6;7.786458139673386e-6;7.677463805014671e-6;8.517863877423909e-6
7.441804715763257e-6;3.6600811844961045e-6;4.728838512621102e-7;4.026497146806699e-6;4.269846970498199e-6;7.230815367210896e-6;6.9148779148303995e-6;8.01356442897738e-6
