x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.4342081302272009e-5;1.4392553719623984e-5;1.4338103433840601e-5;1.465594600088295e-5;1.4041201750616976e-5;1.3987018145004525e-5;1.4186963601227173e-5;1.415754917992219e-5
2.7109791578048837e-5;2.7237504047032045e-5;2.7200463814633446e-5;2.7404186865300896e-5;2.6629326958950608e-5;2.6530987903962118e-5;2.6831682379953586e-5;2.683846950289902e-5
2.2612355679662097e-5;2.2684912969287032e-5;2.2747851812428892e-5;2.266536511235078e-5;2.217543318469217e-5;2.2103307400915888e-5;2.2331908703562213e-5;2.232933649636218e-5
2.007686825428012e-5;2.0161745976848072e-5;2.0034670604619352e-5;1.9986230760909026e-5;1.9747944021093822e-5;1.9705986747207877e-5;1.983889981572866e-5;1.9829638011031874e-5
1.9698084577686573e-5;2.0122620746313057e-5;1.9632801464394835e-5;1.9619534628508984e-5;1.9499647589621265e-5;1.946424978680355e-5;1.9500332825878436e-5;1.948846342319164e-5
1.956642779146093e-5;1.9562603709999614e-5;1.9384898818475773e-5;1.9378323753694348e-5;1.9473536027045865e-5;1.9435390075442842e-5;1.9322243876066218e-5;1.929142626840449e-5
1.973606076851779e-5;1.928364795431811e-5;1.9247305203575507e-5;1.9235589702263127e-5;1.9236487650797398e-5;1.9217474208515194e-5;1.9300870291241066e-5;1.9210040022946282e-5
1.9345829448770127e-5;1.9167428571447036e-5;1.9170993324798e-5;1.914841971890624e-5;1.9131424942970223e-5;1.910914913600388e-5;1.9440933496889794e-5;1.9239408868423212e-5
1.9144687315878746e-5;1.9114483371502374e-5;1.9121992305104655e-5;1.9067573266172206e-5;1.9096993675937026e-5;1.9022305795435796e-5;1.9191405348571985e-5;1.9401323726562144e-5
1.9051743793332973e-5;1.908573881659997e-5;1.9072020246571116e-5;1.8902415718626833e-5;1.9083497064357265e-5;1.8877730501515173e-5;1.9003453837183296e-5;1.9196838209930305e-5
1.889972919466079e-5;1.9067755271622478e-5;1.8998487065938024e-5;1.8558371415034115e-5;1.906355883228898e-5;1.9014072627592194e-5;1.877489933514492e-5;1.9104819211381557e-5
1.8580010076720276e-5;1.9056258840582575e-5;1.9046510313250716e-5;1.8878940689223302e-5;1.899806494534827e-5;1.907588140777941e-5;1.8967344247575886e-5;1.9078881664407452e-5
1.8893877178352432e-5;1.9048626350369324e-5;1.906605583496598e-5;1.9020139602649252e-5;1.884647404773252e-5;1.9094403496671656e-5;1.9055465828927088e-5;1.907285902207691e-5
1.9062769242231757e-5;1.9043420244271677e-5;1.9070196952977594e-5;1.9055314336925832e-5;1.899988620674465e-5;1.9111979767614937e-5;1.9081605454292857e-5;1.907119288708326e-5
1.922724763765884e-5;1.904103139388956e-5;1.907510637500375e-5;1.906561995748363e-5;1.906918974854567e-5;1.9170467263524715e-5;1.9106479364178858e-5;1.9070449425513835e-5
1.954589115512704e-5;1.904313584159696e-5;1.909673137298711e-5;1.90989653021272e-5;1.9088020698012813e-5;1.9307972082545308e-5;1.9189753162586628e-5;1.9069939743561203e-5
1.921943377372859e-5;1.9026997246596605e-5;1.9150427818045555e-5;1.9235809671044096e-5;1.9092017898742932e-5;1.916934495584286e-5;1.938546948360482e-5;1.9068929131074966e-5
1.9062704700212428e-5;1.90122750637267e-5;1.9091562831974763e-5;1.954088342969312e-5;1.9092886842765507e-5;1.910826927024701e-5;1.9181854252505818e-5;1.9065971838854703e-5
1.8976401931467898e-5;1.8992225573729184e-5;1.9042646528292117e-5;1.9188501936297074e-5;1.9090491813465203e-5;1.9090099320867457e-5;1.9082179552374848e-5;1.9056622480044823e-5
1.8797804463663493e-5;1.8941301273974176e-5;1.899236141790219e-5;1.899677551911591e-5;1.907070822128714e-5;1.9066912370312984e-5;1.901101376581995e-5;1.9011514895170034e-5
1.835679983962167e-5;1.875662412509707e-5;1.8855816268001926e-5;1.879399482654145e-5;1.897132013081895e-5;1.8952775587292436e-5;1.8808518157240507e-5;1.882023448428572e-5
1.819526148282476e-5;1.8104759344490496e-5;1.841139654885046e-5;1.8179266670776376e-5;1.857814553265774e-5;1.8485358905072257e-5;1.818454677084192e-5;1.821201180008369e-5
1.719364112133247e-5;1.6477630336272166e-5;1.7315711610800697e-5;1.6492216616166526e-5;1.7627424614574413e-5;1.7327291663777584e-5;1.7336083432269785e-5;1.736708795803033e-5
