Timestep;total_gen;total_demand;total_cons;PV_cons;tot_SOC;tot_charging;tot_discharging
1.0;12.593692601052027;-11.925;-0.6686309596914126;0.0;0.0;1.9965679591902077e-5;0.0
2.0;12.192092058703054;-11.547;-0.6450302097087461;0.0;1.796911163271187e-5;1.7893243811009538e-5;0.0
3.0;11.92694468613735;-11.302;-0.6248816966137426;0.0;3.407123415145718e-5;1.5634246074842187e-5;1.2034338815791096e-5
4.0;11.874682909514272;-11.26;-0.6146202460052037;0.0;3.1415416070760226e-5;1.4206304345807473e-5;1.2527386113767467e-5
5.0;11.966302018435144;-11.355;-0.6112735127425708;0.0;3.0278630536193798e-5;1.3869528403586696e-5;1.2791279396314644e-5
6.0;12.478650578239115;-11.845;-0.6336240046581616;0.0;3.042150877358973e-5;1.4245837677722878e-5;1.2472776251521646e-5
7.0;13.637352172041492;-12.951;-0.6863270168579606;0.0;3.12569434529878e-5;1.4745495642203343e-5;1.1877419506917073e-5
8.0;15.402173429186332;-14.665;-0.7371580571472247;5.625739373815984e-7;3.32034942509554e-5;1.2074993678155761e-5;1.3921758473175465e-5
9.0;16.849849215882934;-16.079;-0.7708377974353513;2.097504314711516e-5;3.047491088591336e-5;1.247594908498229e-5;1.351950358015169e-5
10.0;17.052971304514017;-16.317;-0.7359597808640033;7.649535771044326e-5;2.8554410126489144e-5;1.2337864411034577e-5;1.3470456600706661e-5
11.0;16.619202817101616;-15.94;-0.6791922477145644;0.00016912642135878512;2.6564321854415788e-5;1.1939212584149528e-5;1.3798334477257522e-5
12.0;15.899509496576197;-15.256;-0.6434842234846999;0.0002961821439508558;2.3851337195249894e-5;1.4754168390912692e-5;1.1491775144440966e-5
13.0;15.300134181482186;-14.688;-0.6121087359477163;0.0004140020295526572;2.6234927763766297e-5;1.4244774983746232e-5;1.1726730550954283e-5
14.0;15.102970210094979;-14.491;-0.6119455929840949;0.00044305568866005783;2.789876434398344e-5;1.4145424273037441e-5;1.2031867531205104e-5
