Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeD;G_TypeB;Demand;Total_PV
1.0;0.03999762161226479;3.4163514473752943;2.0024124992435484;4.99999914890619;0.0;1.9328552274691633;0.0;-0.09430954114277325;-0.24954604455934998;-0.09429173460345998;-0.24946908501606535;-11.664;0.0
2.0;0.040001184866143936;2.459576657682197;2.7803331345527584;4.999999149198783;0.0;1.6242674296338466;0.0;-0.09087460814071217;-0.2382615027371529;-0.09085752734983202;-0.2381849130080872;-11.206;0.0
3.0;0.04000095780590916;2.3839269306639315;2.7114785760268383;4.999999149192283;0.0;1.4922144577995144;0.0;-0.0897740694906514;-0.2285826006959975;-0.0897577654871522;-0.22850749084258057;-10.951;0.0
4.0;0.03999992532936282;2.6273672837498925;2.4872383257939714;4.999999149122217;0.0;1.3559535418969397;0.0;-0.09159974838567285;-0.21972608705892746;-0.09158377812843164;-0.21965153973869297;-10.848;0.0
5.0;0.04000201634874187;2.2679940779250916;2.986534004805576;4.999999149263443;0.0;1.3015536058616335;0.0;-0.09790934560146726;-0.2126784270287236;-0.09789398472544532;-0.21260418379754445;-10.935;0.0
6.0;0.03999934845478248;3.175175421385661;2.4168683290635595;4.999999149036695;0.0;1.4598258917135776;0.0;-0.11080485168313498;-0.2111752546777627;-0.1107902861462433;-0.21110121077950603;-11.408;0.0
7.0;0.040001322323493904;3.4598887026035148;3.1745341650808303;4.999999149221522;0.0;1.6162347153665473;0.0;-0.13121477281061297;-0.21966240579405727;-0.13119744786481222;-0.21958851951675448;-12.549;0.0
8.0;0.04000288279943408;4.11171860551751;3.979215716680516;4.999999149318811;0.0;1.8096374299448748;0.0;-0.15222335802381326;-0.23311114829455848;-0.15220703948915273;-0.23303742882492004;-14.13;0.0
9.0;0.04000358324227926;4.23003898790451;4.758124365470017;4.99999914934441;0.0;2.1508874906963937;0.00012889419797405978;-0.16044073432600614;-0.23869740230591668;-0.16042477465435132;-0.2386237878792064;-15.341;3.306489631098215e-8
10.0;0.04000095008630095;4.277522904136486;4.837517723946201;4.999999149096182;0.0;2.4640632344372273;0.005744376387451374;-0.15369716644171064;-0.23327203030191246;-0.15368176626780405;-0.2331991077666509;-15.811;1.5058882075692963e-6
11.0;0.0400038771286331;4.268019059986409;4.465272608695118;4.99999914941363;0.0;2.7263612405433904;0.02256094369809627;-0.14146340669630672;-0.22268989798972558;-0.14144989280553755;-0.22261923534019398;-15.754;6.154286043992123e-6
12.0;0.04000377110413305;4.256144213491738;4.224165339404472;4.999999149415526;0.0;2.8759597935520187;0.03962851902219788;-0.13371117587736328;-0.21578160740189115;-0.1337000115391901;-0.21571358724978779;-15.697;1.150635574498343e-5
13.0;0.040003447042605014;4.1684425588498515;3.987793242380739;4.999999149396689;0.0;3.0345097135325076;0.05183145761042331;-0.13052365198606197;-0.21180620061177316;-0.13051478853574128;-0.21174059361836275;-15.558;1.6357438851423696e-5
14.0;0.040002475544337245;4.156614397346284;3.5866872645790098;4.999999149324621;0.0;3.1595758667963403;0.05741292125397854;-0.13065327009721833;-0.21003112255890607;-0.13064621212631045;-0.20996728177577428;-15.279;1.9895094049333624e-5
15.0;0.04000234783526596;3.841743453958191;3.5754179483004984;4.99999914930748;0.0;3.213737481651639;0.054574975684282656;-0.13486428395201283;-0.21191123812603924;-0.13485782428749957;-0.2118477709530059;-14.992;2.0614906664233674e-5
16.0;0.04000223508570766;3.853417530486051;3.6432431879259775;4.999999149277261;0.0;3.2785885056065323;0.04184893490191312;-0.14713932830153667;-0.2224496620517687;-0.14713153607623677;-0.2223843516299359;-15.078;1.6796450707161452e-5
17.0;0.04000162805816579;4.185011390426396;3.5736166492122363;4.999999149196623;0.0;3.3946474644220106;0.024155450774849326;-0.16667626850260936;-0.23908141068089647;-0.16666572543051436;-0.23901282155404344;-15.366;9.908815853272724e-6
18.0;0.04000205818081437;4.18501139043386;4.3479086997544;4.9999991492245845;0.0;3.579798372555435;0.007330881593973585;-0.19694200774349196;-0.26712778394352554;-0.19692883958456678;-0.26705671257811286;-16.192;2.942320930495807e-6
19.0;0.040001369816185905;4.187379259276193;4.127209674742998;4.99999914914942;0.0;3.7030328766188756;3.448076616959447e-5;-0.21586568184867663;-0.28050765155650514;-0.2158514423656909;-0.28043592268124823;-16.025;1.3029318085253032e-8
20.0;0.04000064198691788;4.1731753967785625;3.5105432190646035;4.99999914903868;0.0;3.7377415246209273;0.0;-0.22259071352935883;-0.2851826635927872;-0.222576644829988;-0.2851113366542994;-15.406;0.0
21.0;0.039999694468636895;4.161344989564595;2.7600795101207622;4.999999148878909;0.0;3.679996921973828;0.0;-0.21627241891920596;-0.28397899334080573;-0.21625838019100113;-0.28390792710621293;-14.601;0.0
22.0;0.0399984776716671;4.192115666339863;1.9301035486026434;4.999999148668404;0.0;3.6055695703248762;0.0;-0.19898167322111335;-0.2789497231034638;-0.19896821058403993;-0.2788791715293856;-13.772;0.0
23.0;0.03999726172616468;4.189747351125467;1.088514702096427;4.999999148412706;0.0;3.5109364954715874;0.0;-0.17380676084110316;-0.26932321374234464;-0.17379629244377356;-0.2692534141664092;-12.903;0.0
24.0;0.039998991281716724;4.20396058553679;0.45330347272805377;4.99999914832919;0.0;3.3304945121902825;0.0;-0.1480685265086298;-0.25883741717536435;-0.14805723388210226;-0.25876715700896924;-12.174;0.0
25.0;0.039995524020643373;3.2794749836991595;1.6018105943970828;4.999999212404642;0.0;1.1708469537033988;0.0;-0.08465596484798021;-0.2219544264643013;-0.08463851858664914;-0.2218809100637814;-10.439;0.0
26.0;0.03999382822313366;3.4323808168226893;1.2207839142262187;4.99999921225806;0.0;1.1165270103949;0.0;-0.08343842351348064;-0.21244940526778397;-0.08342182297694897;-0.21237634725883264;-10.178;0.0
27.0;0.039996899089118056;2.728472514831693;1.884132270335905;4.999999212528687;0.0;1.0606834252048278;0.0;-0.08523343584099034;-0.20445453869482824;-0.08521780613304074;-0.2043830615719678;-10.094;0.0
28.0;0.039997162634509656;2.710843417244286;1.9391543395152937;4.999999212540945;0.0;1.0395111918106452;0.0;-0.09056776549484608;-0.1967303962746364;-0.09055270374247115;-0.19665964067982294;-10.115;0.0
29.0;0.04000017532786077;2.3645381663183374;2.617605814020393;4.999999212732344;0.0;1.0132793909072015;0.0;-0.10109212334146038;-0.19266425469004367;-0.10107786542789853;-0.19259389804236918;-10.408;0.0
30.0;0.040002015412673356;2.801392522939765;3.161570672049168;4.999999212821689;0.0;0.9825835912009399;0.0;-0.11829109173347294;-0.19802705145664745;-0.11827771471894956;-0.1979568269517021;-11.313;0.0
31.0;0.04000399313980864;2.592350487657518;4.313307120500114;4.999999213006442;0.0;0.9480224123314054;0.0031909447026285584;-0.13134487834298747;-0.20113830762890766;-0.13132897761317955;-0.2010685675345056;-12.192;8.100366259187103e-7
32.0;0.04000193137973546;2.280827750537998;4.819881418587049;4.999999212833763;0.0;0.9082836290247234;0.06980212074048602;-0.13000893985096612;-0.19342591000218312;-0.1300015926553785;-0.19336488218777545;-12.432;1.7904260132780002e-5
33.0;0.0400052378342374;1.8082420472841803;4.341946226031855;4.99999921305808;0.0;0.8356689087131693;0.34331251876383;-0.11421496410081712;-0.17337110189007704;-0.11424665151521994;-0.1733465908617102;-11.754;8.99991432319473e-5
34.0;0.04000177737908145;1.3673244923891401;3.1847315184552927;4.99999921295018;0.0;0.7039231019010005;0.8149282792797956;-0.09491253985896918;-0.14947213765143094;-0.09500946577309374;-0.14952236584143005;-10.582;0.00022230001921295358
