x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.7970990892567823e-6;3.6311502689134163e-6;3.7047284421859266e-6;3.7325464747371093e-6;3.6618858794100115e-6;3.764272562183982e-6;3.5550902628841793e-6;3.5815501733119056e-6
7.298354759250188e-6;6.861969776449402e-6;6.951251190980681e-6;6.963256201041237e-6;6.902295593027545e-6;7.26407908788063e-6;6.870215027116953e-6;6.6027996357397395e-6
9.332344200184207e-6;8.302281141726305e-6;8.359438814205397e-6;8.389048425603895e-6;8.333007052344885e-6;9.395302591761256e-6;8.488667912742577e-6;7.930946089288474e-6
1.0881695473663383e-5;8.970742317985073e-6;8.95728872428153e-6;9.017191677358676e-6;8.975075202147079e-6;1.1158036991672628e-5;9.38740998804519e-6;8.594473993929748e-6
1.1403990838891413e-5;9.333489766530004e-6;9.250447317547963e-6;9.329254334384641e-6;9.324002708239099e-6;1.3156482433288831e-5;1.00899997639116e-5;8.998174220606258e-6
1.2426440555447645e-5;9.491800540898497e-6;9.347568122338735e-6;9.485698478579627e-6;9.477072464254082e-6;1.101770423479275e-5;9.89750293644428e-6;9.22981849323692e-6
1.4221336271286288e-5;9.547200536328637e-6;9.288024607012366e-6;9.562872803202826e-6;9.520656384010137e-6;9.179537840082412e-6;9.70781797191892e-6;9.34670010099694e-6
1.1402469878953231e-5;9.556052308202201e-6;9.081903241316792e-6;9.607080559946798e-6;9.503127646963954e-6;7.151627874546235e-6;9.529633558917702e-6;9.39924462574572e-6
9.006663286927403e-6;9.545224392605094e-6;8.673175138130566e-6;9.649699225605363e-6;9.439036755762197e-6;4.707196464955326e-6;9.317964904575972e-6;9.415257720684023e-6
6.3885815304171915e-6;9.529315640907327e-6;8.054510859533266e-6;9.715320092714447e-6;9.322663369444047e-6;6.621128053171813e-6;9.061766594086924e-6;9.41059780053947e-6
3.356638968351921e-6;9.513639046407517e-6;8.74090152663112e-6;9.83505238276885e-6;9.127167545564854e-6;8.161503699818909e-6;9.629698803440102e-6;9.394914542709593e-6
5.850038731806038e-6;9.499490800100895e-6;9.2618062874071e-6;1.0060898198502588e-5;8.845434245380264e-6;9.302642855036361e-6;1.0239588619573162e-5;9.373224374028676e-6
8.044782796138124e-6;9.486449059207988e-6;9.69117541307876e-6;1.0477095555223657e-5;9.470039513106607e-6;1.0352622649884446e-5;1.0152529890693495e-5;9.34662257084947e-6
9.878644126793674e-6;9.472838720792962e-6;1.0175257721280072e-5;1.1222873429542468e-5;1.0091125612169102e-5;1.1637445516472818e-5;1.0276306850704637e-5;9.313473349450997e-6
1.1743397609277248e-5;9.456005810835398e-6;1.083217930842492e-5;1.2526285017593779e-5;9.812400612619953e-6;1.3458368473938026e-5;1.068616171992298e-5;9.269269778533664e-6
1.40358159806255e-5;9.43154800944543e-6;1.018198391008397e-5;1.4686446127165283e-5;9.616624232236796e-6;1.1585539633371737e-5;1.1510619440037519e-5;9.205074970731645e-6
1.1560819761745284e-5;9.392149674113133e-6;9.750594976687577e-6;1.2228456245547004e-5;9.481447184357132e-6;1.0461424029748338e-5;1.2906137079507877e-5;9.106451720804475e-6
9.698192824431e-6;9.32553070187263e-6;9.443959429476322e-6;1.0725029817245739e-5;9.357782255332506e-6;9.742200586042973e-6;1.1010567852760471e-5;8.946690107076824e-6
7.901631315307163e-6;9.20807455398788e-6;9.146629986271024e-6;9.65408175283662e-6;9.20152206963097e-6;9.152634010196609e-6;9.587564478124562e-6;8.681681434322906e-6
5.576081185825086e-6;8.995115910000539e-6;8.738488437248782e-6;8.699461803845912e-6;8.954038465776138e-6;8.481476722776368e-6;8.193904979834836e-6;8.221827607202468e-6
2.608862333155916e-6;8.591456279634064e-6;8.03821280730135e-6;7.56277559837154e-6;8.502514397424195e-6;7.425182649537789e-6;6.295470899955839e-6;7.333071755272848e-6
3.8124377136835742e-6;7.805046299979718e-6;6.715264196163321e-6;5.283035110514441e-6;7.620715549516224e-6;5.265171373963479e-6;3.6183667149719933e-6;5.1830330482248515e-6
3.5447887797362715e-6;6.463753933789252e-6;4.598453986412158e-6;2.6121821116722286e-7;6.042657546853693e-6;1.1722455059914057e-6;3.098491181812716e-6;7.044551974066094e-7
